feature_order,feature,dependency_class,live_rebuild_status,forward_risk
1,log_return_1,us100_technical_market_feature,live_computable_with_feature_contract,US100 M5 가격열과 feature contract(피처 계약)가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다.
2,log_return_3,us100_technical_market_feature,live_computable_with_feature_contract,US100 M5 가격열과 feature contract(피처 계약)가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다.
3,return_zscore_20,us100_technical_market_feature,live_computable_with_feature_contract,US100 M5 가격열과 feature contract(피처 계약)가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다.
4,hl_zscore_50,us100_technical_market_feature,live_computable_with_feature_contract,US100 M5 가격열과 feature contract(피처 계약)가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다.
5,return_1_over_atr_14,us100_technical_market_feature,live_computable_with_feature_contract,US100 M5 가격열과 feature contract(피처 계약)가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다.
6,close_ema20_ratio,us100_technical_market_feature,live_computable_with_feature_contract,US100 M5 가격열과 feature contract(피처 계약)가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다.
7,close_ema50_ratio,us100_technical_market_feature,live_computable_with_feature_contract,US100 M5 가격열과 feature contract(피처 계약)가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다.
8,ema9_ema20_diff,us100_technical_market_feature,live_computable_with_feature_contract,US100 M5 가격열과 feature contract(피처 계약)가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다.
9,ema20_ema50_diff,us100_technical_market_feature,live_computable_with_feature_contract,US100 M5 가격열과 feature contract(피처 계약)가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다.
10,ema50_ema200_diff,us100_technical_market_feature,live_computable_with_feature_contract,US100 M5 가격열과 feature contract(피처 계약)가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다.
11,rsi_14,us100_technical_market_feature,live_computable_with_feature_contract,US100 M5 가격열과 feature contract(피처 계약)가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다.
12,rsi_50,us100_technical_market_feature,live_computable_with_feature_contract,US100 M5 가격열과 feature contract(피처 계약)가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다.
13,rsi_14_slope_3,us100_technical_market_feature,live_computable_with_feature_contract,US100 M5 가격열과 feature contract(피처 계약)가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다.
14,rsi_14_minus_50,us100_technical_market_feature,live_computable_with_feature_contract,US100 M5 가격열과 feature contract(피처 계약)가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다.
15,stoch_kd_diff,us100_technical_market_feature,live_computable_with_feature_contract,US100 M5 가격열과 feature contract(피처 계약)가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다.
16,stochrsi_kd_diff,us100_technical_market_feature,live_computable_with_feature_contract,US100 M5 가격열과 feature contract(피처 계약)가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다.
17,ppo_hist_12_26_9,us100_technical_market_feature,live_computable_with_feature_contract,US100 M5 가격열과 feature contract(피처 계약)가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다.
18,roc_12,us100_technical_market_feature,live_computable_with_feature_contract,US100 M5 가격열과 feature contract(피처 계약)가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다.
19,trix_15,us100_technical_market_feature,live_computable_with_feature_contract,US100 M5 가격열과 feature contract(피처 계약)가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다.
20,atr_14_over_atr_50,us100_technical_market_feature,live_computable_with_feature_contract,US100 M5 가격열과 feature contract(피처 계약)가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다.
21,bollinger_width_20,us100_technical_market_feature,live_computable_with_feature_contract,US100 M5 가격열과 feature contract(피처 계약)가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다.
22,bb_position_20,us100_technical_market_feature,live_computable_with_feature_contract,US100 M5 가격열과 feature contract(피처 계약)가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다.
23,bb_squeeze,us100_technical_market_feature,live_computable_with_feature_contract,US100 M5 가격열과 feature contract(피처 계약)가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다.
24,historical_vol_20,us100_technical_market_feature,live_computable_with_feature_contract,US100 M5 가격열과 feature contract(피처 계약)가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다.
25,historical_vol_5_over_20,us100_technical_market_feature,live_computable_with_feature_contract,US100 M5 가격열과 feature contract(피처 계약)가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다.
26,adx_14,us100_technical_market_feature,live_computable_with_feature_contract,US100 M5 가격열과 feature contract(피처 계약)가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다.
27,di_spread_14,us100_technical_market_feature,live_computable_with_feature_contract,US100 M5 가격열과 feature contract(피처 계약)가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다.
28,supertrend_10_3,us100_technical_market_feature,live_computable_with_feature_contract,US100 M5 가격열과 feature contract(피처 계약)가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다.
29,vortex_indicator,us100_technical_market_feature,live_computable_with_feature_contract,US100 M5 가격열과 feature contract(피처 계약)가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다.
30,vix_change_1,macro_or_cross_symbol_market_feature,live_computable_with_data_contract,"브로커/외부 심볼 데이터, timestamp(시각) 정렬, 결측 처리가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다."
31,vix_zscore_20,macro_or_cross_symbol_market_feature,live_computable_with_data_contract,"브로커/외부 심볼 데이터, timestamp(시각) 정렬, 결측 처리가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다."
32,us10yr_change_1,macro_or_cross_symbol_market_feature,live_computable_with_data_contract,"브로커/외부 심볼 데이터, timestamp(시각) 정렬, 결측 처리가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다."
33,us10yr_zscore_20,macro_or_cross_symbol_market_feature,live_computable_with_data_contract,"브로커/외부 심볼 데이터, timestamp(시각) 정렬, 결측 처리가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다."
34,usdx_change_1,macro_or_cross_symbol_market_feature,live_computable_with_data_contract,"브로커/외부 심볼 데이터, timestamp(시각) 정렬, 결측 처리가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다."
35,usdx_zscore_20,macro_or_cross_symbol_market_feature,live_computable_with_data_contract,"브로커/외부 심볼 데이터, timestamp(시각) 정렬, 결측 처리가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다."
36,nvda_xnas_log_return_1,macro_or_cross_symbol_market_feature,live_computable_with_data_contract,"브로커/외부 심볼 데이터, timestamp(시각) 정렬, 결측 처리가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다."
37,aapl_xnas_log_return_1,macro_or_cross_symbol_market_feature,live_computable_with_data_contract,"브로커/외부 심볼 데이터, timestamp(시각) 정렬, 결측 처리가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다."
38,msft_xnas_log_return_1,macro_or_cross_symbol_market_feature,live_computable_with_data_contract,"브로커/외부 심볼 데이터, timestamp(시각) 정렬, 결측 처리가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다."
39,amzn_xnas_log_return_1,macro_or_cross_symbol_market_feature,live_computable_with_data_contract,"브로커/외부 심볼 데이터, timestamp(시각) 정렬, 결측 처리가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다."
40,mega8_equal_return_1,macro_or_cross_symbol_market_feature,live_computable_with_data_contract,"브로커/외부 심볼 데이터, timestamp(시각) 정렬, 결측 처리가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다."
41,top3_weighted_return_1,macro_or_cross_symbol_market_feature,live_computable_with_data_contract,"브로커/외부 심볼 데이터, timestamp(시각) 정렬, 결측 처리가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다."
42,mega8_pos_breadth_1,macro_or_cross_symbol_market_feature,live_computable_with_data_contract,"브로커/외부 심볼 데이터, timestamp(시각) 정렬, 결측 처리가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다."
43,mega8_dispersion_5,macro_or_cross_symbol_market_feature,live_computable_with_data_contract,"브로커/외부 심볼 데이터, timestamp(시각) 정렬, 결측 처리가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다."
44,us100_minus_mega8_equal_return_1,macro_or_cross_symbol_market_feature,live_computable_with_data_contract,"브로커/외부 심볼 데이터, timestamp(시각) 정렬, 결측 처리가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다."
45,us100_minus_top3_weighted_return_1,macro_or_cross_symbol_market_feature,live_computable_with_data_contract,"브로커/외부 심볼 데이터, timestamp(시각) 정렬, 결측 처리가 맞으면 live-like(실거래 유사) 피처로 다시 만들 수 있다."
46,payoff_edge_score,upstream_research_score_dependency,requires_full_upstream_rebuild,"Stage316/317 또는 점수 표면(score surface, 점수 표면) 산출물이 필요해 raw market(원천 시장) 피처만으로는 재현되지 않는다."
47,anti_meta_score,upstream_research_score_dependency,requires_full_upstream_rebuild,"Stage316/317 또는 점수 표면(score surface, 점수 표면) 산출물이 필요해 raw market(원천 시장) 피처만으로는 재현되지 않는다."
48,profit_quality_score,upstream_research_score_dependency,requires_full_upstream_rebuild,"Stage316/317 또는 점수 표면(score surface, 점수 표면) 산출물이 필요해 raw market(원천 시장) 피처만으로는 재현되지 않는다."
49,density_head_score,upstream_research_score_dependency,requires_full_upstream_rebuild,"Stage316/317 또는 점수 표면(score surface, 점수 표면) 산출물이 필요해 raw market(원천 시장) 피처만으로는 재현되지 않는다."
50,runtime_calibration_score,upstream_research_score_dependency,requires_full_upstream_rebuild,"Stage316/317 또는 점수 표면(score surface, 점수 표면) 산출물이 필요해 raw market(원천 시장) 피처만으로는 재현되지 않는다."
51,profit_scale_score,upstream_research_score_dependency,requires_full_upstream_rebuild,"Stage316/317 또는 점수 표면(score surface, 점수 표면) 산출물이 필요해 raw market(원천 시장) 피처만으로는 재현되지 않는다."
52,smooth_curve_score,upstream_research_score_dependency,requires_full_upstream_rebuild,"Stage316/317 또는 점수 표면(score surface, 점수 표면) 산출물이 필요해 raw market(원천 시장) 피처만으로는 재현되지 않는다."
53,anti_regime_flag,upstream_research_score_dependency,requires_full_upstream_rebuild,"Stage316/317 또는 점수 표면(score surface, 점수 표면) 산출물이 필요해 raw market(원천 시장) 피처만으로는 재현되지 않는다."
54,smooth_regime_flag,upstream_research_score_dependency,requires_full_upstream_rebuild,"Stage316/317 또는 점수 표면(score surface, 점수 표면) 산출물이 필요해 raw market(원천 시장) 피처만으로는 재현되지 않는다."
55,precondition_pass,upstream_research_score_dependency,requires_full_upstream_rebuild,"Stage316/317 또는 점수 표면(score surface, 점수 표면) 산출물이 필요해 raw market(원천 시장) 피처만으로는 재현되지 않는다."
56,stage316_positive_hour_sell_score,upstream_research_score_dependency,requires_full_upstream_rebuild,"Stage316/317 또는 점수 표면(score surface, 점수 표면) 산출물이 필요해 raw market(원천 시장) 피처만으로는 재현되지 않는다."
57,stage316_intrahour_stagger_score,upstream_research_score_dependency,requires_full_upstream_rebuild,"Stage316/317 또는 점수 표면(score surface, 점수 표면) 산출물이 필요해 raw market(원천 시장) 피처만으로는 재현되지 않는다."
58,stage316_curve_guard_score,upstream_research_score_dependency,requires_full_upstream_rebuild,"Stage316/317 또는 점수 표면(score surface, 점수 표면) 산출물이 필요해 raw market(원천 시장) 피처만으로는 재현되지 않는다."
59,stage317_adx_short_score,upstream_research_score_dependency,requires_full_upstream_rebuild,"Stage316/317 또는 점수 표면(score surface, 점수 표면) 산출물이 필요해 raw market(원천 시장) 피처만으로는 재현되지 않는다."
60,stage317_usdx_extreme_score,upstream_research_score_dependency,requires_full_upstream_rebuild,"Stage316/317 또는 점수 표면(score surface, 점수 표면) 산출물이 필요해 raw market(원천 시장) 피처만으로는 재현되지 않는다."
61,stage317_momentum_breadth_score,upstream_research_score_dependency,requires_full_upstream_rebuild,"Stage316/317 또는 점수 표면(score surface, 점수 표면) 산출물이 필요해 raw market(원천 시장) 피처만으로는 재현되지 않는다."
62,stage317_quality_scale_score,upstream_research_score_dependency,requires_full_upstream_rebuild,"Stage316/317 또는 점수 표면(score surface, 점수 표면) 산출물이 필요해 raw market(원천 시장) 피처만으로는 재현되지 않는다."
63,stage317_bollinger_extreme_score,upstream_research_score_dependency,requires_full_upstream_rebuild,"Stage316/317 또는 점수 표면(score surface, 점수 표면) 산출물이 필요해 raw market(원천 시장) 피처만으로는 재현되지 않는다."
64,stage317_hybrid_router_score,upstream_research_score_dependency,requires_full_upstream_rebuild,"Stage316/317 또는 점수 표면(score surface, 점수 표면) 산출물이 필요해 raw market(원천 시장) 피처만으로는 재현되지 않는다."
