protocol_id,branch_id,branch_name,proxy_expected_required,mt5_runtime_probe_required,comparison_dimensions,difference_read,usability_judgment_rule,blocked_if,allowed_claim,claim_boundary
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,true,true_for_runtime_or_forward_interpretation,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",proxy_expected_minus_mt5_actual_and_direction_of_disagreement,usable_only_if_proxy_and_MT5_agree_on_risk_shape_or_disagreement_is_explained_by_logged_runtime_cost_fill_session_or_handoff_difference,"[""proxy_expected_missing"", ""MT5_runtime_probe_missing_when_runtime_claim_is_needed"", ""difference_unexplained"", ""proxy_positive_but_MT5_risk_shape_negative"", ""MT5_positive_without_matching_subject_or_handoff_identity""]",proxy_vs_MT5_comparison_evidence_only_no_candidate_selection,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__curve_noncalendar_state_holdout,run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,true,true_for_runtime_or_forward_interpretation,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",proxy_expected_minus_mt5_actual_and_direction_of_disagreement,usable_only_if_proxy_and_MT5_agree_on_risk_shape_or_disagreement_is_explained_by_logged_runtime_cost_fill_session_or_handoff_difference,"[""proxy_expected_missing"", ""MT5_runtime_probe_missing_when_runtime_claim_is_needed"", ""difference_unexplained"", ""proxy_positive_but_MT5_risk_shape_negative"", ""MT5_positive_without_matching_subject_or_handoff_identity""]",proxy_vs_MT5_comparison_evidence_only_no_candidate_selection,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__direction_symmetry_no_side_drop,run335C_b03_direction_symmetry_no_side_drop,direction_symmetry_no_side_drop,true,true_for_runtime_or_forward_interpretation,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",proxy_expected_minus_mt5_actual_and_direction_of_disagreement,usable_only_if_proxy_and_MT5_agree_on_risk_shape_or_disagreement_is_explained_by_logged_runtime_cost_fill_session_or_handoff_difference,"[""proxy_expected_missing"", ""MT5_runtime_probe_missing_when_runtime_claim_is_needed"", ""difference_unexplained"", ""proxy_positive_but_MT5_risk_shape_negative"", ""MT5_positive_without_matching_subject_or_handoff_identity""]",proxy_vs_MT5_comparison_evidence_only_no_candidate_selection,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__drawdown_underwater_recovery_quality,run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,true,true_for_runtime_or_forward_interpretation,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",proxy_expected_minus_mt5_actual_and_direction_of_disagreement,usable_only_if_proxy_and_MT5_agree_on_risk_shape_or_disagreement_is_explained_by_logged_runtime_cost_fill_session_or_handoff_difference,"[""proxy_expected_missing"", ""MT5_runtime_probe_missing_when_runtime_claim_is_needed"", ""difference_unexplained"", ""proxy_positive_but_MT5_risk_shape_negative"", ""MT5_positive_without_matching_subject_or_handoff_identity""]",proxy_vs_MT5_comparison_evidence_only_no_candidate_selection,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__regime_predeclared_macro_state,run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,true,true_for_runtime_or_forward_interpretation,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",proxy_expected_minus_mt5_actual_and_direction_of_disagreement,usable_only_if_proxy_and_MT5_agree_on_risk_shape_or_disagreement_is_explained_by_logged_runtime_cost_fill_session_or_handoff_difference,"[""proxy_expected_missing"", ""MT5_runtime_probe_missing_when_runtime_claim_is_needed"", ""difference_unexplained"", ""proxy_positive_but_MT5_risk_shape_negative"", ""MT5_positive_without_matching_subject_or_handoff_identity""]",proxy_vs_MT5_comparison_evidence_only_no_candidate_selection,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__runtime_identity_strict_handoff,run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,true,true_for_runtime_or_forward_interpretation,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",proxy_expected_minus_mt5_actual_and_direction_of_disagreement,usable_only_if_proxy_and_MT5_agree_on_risk_shape_or_disagreement_is_explained_by_logged_runtime_cost_fill_session_or_handoff_difference,"[""proxy_expected_missing"", ""MT5_runtime_probe_missing_when_runtime_claim_is_needed"", ""difference_unexplained"", ""proxy_positive_but_MT5_risk_shape_negative"", ""MT5_positive_without_matching_subject_or_handoff_identity""]",proxy_vs_MT5_comparison_evidence_only_no_candidate_selection,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cp322a_exact_blocker_control,run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,true,true_for_runtime_or_forward_interpretation,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",proxy_expected_minus_mt5_actual_and_direction_of_disagreement,usable_only_if_proxy_and_MT5_agree_on_risk_shape_or_disagreement_is_explained_by_logged_runtime_cost_fill_session_or_handoff_difference,"[""proxy_expected_missing"", ""MT5_runtime_probe_missing_when_runtime_claim_is_needed"", ""difference_unexplained"", ""proxy_positive_but_MT5_risk_shape_negative"", ""MT5_positive_without_matching_subject_or_handoff_identity""]",proxy_vs_MT5_comparison_evidence_only_no_candidate_selection,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cost_curve_drawdown_interaction_guard,run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,true,true_for_runtime_or_forward_interpretation,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",proxy_expected_minus_mt5_actual_and_direction_of_disagreement,usable_only_if_proxy_and_MT5_agree_on_risk_shape_or_disagreement_is_explained_by_logged_runtime_cost_fill_session_or_handoff_difference,"[""proxy_expected_missing"", ""MT5_runtime_probe_missing_when_runtime_claim_is_needed"", ""difference_unexplained"", ""proxy_positive_but_MT5_risk_shape_negative"", ""MT5_positive_without_matching_subject_or_handoff_identity""]",proxy_vs_MT5_comparison_evidence_only_no_candidate_selection,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__regime_direction_interaction_guard,run335C_b09_regime_direction_interaction_guard,regime_direction_interaction_guard,true,true_for_runtime_or_forward_interpretation,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",proxy_expected_minus_mt5_actual_and_direction_of_disagreement,usable_only_if_proxy_and_MT5_agree_on_risk_shape_or_disagreement_is_explained_by_logged_runtime_cost_fill_session_or_handoff_difference,"[""proxy_expected_missing"", ""MT5_runtime_probe_missing_when_runtime_claim_is_needed"", ""difference_unexplained"", ""proxy_positive_but_MT5_risk_shape_negative"", ""MT5_positive_without_matching_subject_or_handoff_identity""]",proxy_vs_MT5_comparison_evidence_only_no_candidate_selection,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__subject_swap_negative_control,run335C_b10_subject_swap_negative_control,subject_swap_negative_control,true,true_for_runtime_or_forward_interpretation,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",proxy_expected_minus_mt5_actual_and_direction_of_disagreement,usable_only_if_proxy_and_MT5_agree_on_risk_shape_or_disagreement_is_explained_by_logged_runtime_cost_fill_session_or_handoff_difference,"[""proxy_expected_missing"", ""MT5_runtime_probe_missing_when_runtime_claim_is_needed"", ""difference_unexplained"", ""proxy_positive_but_MT5_risk_shape_negative"", ""MT5_positive_without_matching_subject_or_handoff_identity""]",proxy_vs_MT5_comparison_evidence_only_no_candidate_selection,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
