queue_id,protocol_id,branch_id,branch_name,materialization_action,required_protocol_payload,minimum_outputs,forbidden_outputs,selection_eligible,ready_for_run335G
run335G_materialize_guarded_branch_probe_inputs_v1__cost_spread_slippage_grid_guard,run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,materialize_probe_input_specs_no_scoring,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/protocol_payloads/run335C_b01_cost_spread_slippage_grid_guard.json,"[""probe_input_manifest"", ""measurement_plan"", ""proxy_mt5_comparison_contract"", ""proxy_expected_result_manifest"", ""mt5_runtime_probe_result_or_block"", ""negative_control_plan"", ""stop_condition_plan"", ""runtime_bridge_or_out_of_scope"", ""no_retune_guard""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",false,true
run335G_materialize_guarded_branch_probe_inputs_v1__curve_noncalendar_state_holdout,run335F_design_guarded_branch_probe_protocols_v1__curve_noncalendar_state_holdout,run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,materialize_probe_input_specs_no_scoring,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/protocol_payloads/run335C_b02_curve_noncalendar_state_holdout.json,"[""probe_input_manifest"", ""measurement_plan"", ""proxy_mt5_comparison_contract"", ""proxy_expected_result_manifest"", ""mt5_runtime_probe_result_or_block"", ""negative_control_plan"", ""stop_condition_plan"", ""runtime_bridge_or_out_of_scope"", ""no_retune_guard""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",false,true
run335G_materialize_guarded_branch_probe_inputs_v1__direction_symmetry_no_side_drop,run335F_design_guarded_branch_probe_protocols_v1__direction_symmetry_no_side_drop,run335C_b03_direction_symmetry_no_side_drop,direction_symmetry_no_side_drop,materialize_probe_input_specs_no_scoring,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/protocol_payloads/run335C_b03_direction_symmetry_no_side_drop.json,"[""probe_input_manifest"", ""measurement_plan"", ""proxy_mt5_comparison_contract"", ""proxy_expected_result_manifest"", ""mt5_runtime_probe_result_or_block"", ""negative_control_plan"", ""stop_condition_plan"", ""runtime_bridge_or_out_of_scope"", ""no_retune_guard""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",false,true
run335G_materialize_guarded_branch_probe_inputs_v1__drawdown_underwater_recovery_quality,run335F_design_guarded_branch_probe_protocols_v1__drawdown_underwater_recovery_quality,run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,materialize_probe_input_specs_no_scoring,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/protocol_payloads/run335C_b04_drawdown_underwater_recovery_quality.json,"[""probe_input_manifest"", ""measurement_plan"", ""proxy_mt5_comparison_contract"", ""proxy_expected_result_manifest"", ""mt5_runtime_probe_result_or_block"", ""negative_control_plan"", ""stop_condition_plan"", ""runtime_bridge_or_out_of_scope"", ""no_retune_guard""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",false,true
run335G_materialize_guarded_branch_probe_inputs_v1__regime_predeclared_macro_state,run335F_design_guarded_branch_probe_protocols_v1__regime_predeclared_macro_state,run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,materialize_probe_input_specs_no_scoring,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/protocol_payloads/run335C_b05_regime_predeclared_macro_state.json,"[""probe_input_manifest"", ""measurement_plan"", ""proxy_mt5_comparison_contract"", ""proxy_expected_result_manifest"", ""mt5_runtime_probe_result_or_block"", ""negative_control_plan"", ""stop_condition_plan"", ""runtime_bridge_or_out_of_scope"", ""no_retune_guard""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",false,true
run335G_materialize_guarded_branch_probe_inputs_v1__runtime_identity_strict_handoff,run335F_design_guarded_branch_probe_protocols_v1__runtime_identity_strict_handoff,run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,materialize_probe_input_specs_no_scoring,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/protocol_payloads/run335C_b06_runtime_identity_strict_handoff.json,"[""probe_input_manifest"", ""measurement_plan"", ""proxy_mt5_comparison_contract"", ""proxy_expected_result_manifest"", ""mt5_runtime_probe_result_or_block"", ""negative_control_plan"", ""stop_condition_plan"", ""runtime_bridge_or_out_of_scope"", ""no_retune_guard""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",false,true
run335G_materialize_guarded_branch_probe_inputs_v1__cp322a_exact_blocker_control,run335F_design_guarded_branch_probe_protocols_v1__cp322a_exact_blocker_control,run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,materialize_probe_input_specs_no_scoring,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/protocol_payloads/run335C_b07_cp322a_exact_blocker_control.json,"[""probe_input_manifest"", ""measurement_plan"", ""proxy_mt5_comparison_contract"", ""proxy_expected_result_manifest"", ""mt5_runtime_probe_result_or_block"", ""negative_control_plan"", ""stop_condition_plan"", ""runtime_bridge_or_out_of_scope"", ""no_retune_guard""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",false,true
run335G_materialize_guarded_branch_probe_inputs_v1__cost_curve_drawdown_interaction_guard,run335F_design_guarded_branch_probe_protocols_v1__cost_curve_drawdown_interaction_guard,run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,materialize_probe_input_specs_no_scoring,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/protocol_payloads/run335C_b08_cost_curve_drawdown_interaction_guard.json,"[""probe_input_manifest"", ""measurement_plan"", ""proxy_mt5_comparison_contract"", ""proxy_expected_result_manifest"", ""mt5_runtime_probe_result_or_block"", ""negative_control_plan"", ""stop_condition_plan"", ""runtime_bridge_or_out_of_scope"", ""no_retune_guard""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",false,true
run335G_materialize_guarded_branch_probe_inputs_v1__regime_direction_interaction_guard,run335F_design_guarded_branch_probe_protocols_v1__regime_direction_interaction_guard,run335C_b09_regime_direction_interaction_guard,regime_direction_interaction_guard,materialize_probe_input_specs_no_scoring,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/protocol_payloads/run335C_b09_regime_direction_interaction_guard.json,"[""probe_input_manifest"", ""measurement_plan"", ""proxy_mt5_comparison_contract"", ""proxy_expected_result_manifest"", ""mt5_runtime_probe_result_or_block"", ""negative_control_plan"", ""stop_condition_plan"", ""runtime_bridge_or_out_of_scope"", ""no_retune_guard""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",false,true
run335G_materialize_guarded_branch_probe_inputs_v1__subject_swap_negative_control,run335F_design_guarded_branch_probe_protocols_v1__subject_swap_negative_control,run335C_b10_subject_swap_negative_control,subject_swap_negative_control,materialize_probe_input_specs_no_scoring,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/protocol_payloads/run335C_b10_subject_swap_negative_control.json,"[""probe_input_manifest"", ""measurement_plan"", ""proxy_mt5_comparison_contract"", ""proxy_expected_result_manifest"", ""mt5_runtime_probe_result_or_block"", ""negative_control_plan"", ""stop_condition_plan"", ""runtime_bridge_or_out_of_scope"", ""no_retune_guard""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",false,true
