gate,status,evidence_path,detail
parent_run335E_gate_inheritance,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335E/required_gate_coverage_audit.csv,parent_failed_gates=0;failed_reviews=0
protocol_design_count,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/probe_protocol_design_matrix.csv,protocol_rows=11
protocol_payload_count,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/protocol_payload_manifest.csv,payload_rows=11;missing_payloads=0
measurement_plan_coverage,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/predeclared_measurement_plan.csv,measurement_rows=66
negative_control_probe_coverage,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/negative_control_probe_plan.csv,negative_control_rows=21
stop_condition_probe_coverage,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/stop_condition_probe_plan.csv,stop_condition_rows=66
runtime_bridge_boundary,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/runtime_bridge_requirement_plan.csv,runtime_bridge_rows=27;no_runtime_authority_claimed
proxy_mt5_comparison_contract,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/proxy_mt5_comparison_contract.csv,proxy_mt5_contract_rows=11;future_proxy_expected_and_mt5_actual_difference_required
no_retune_guard,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/no_retune_probe_guard.csv,"threshold, lot, direct pocket filter, runtime authority, and goal achieve outputs remain forbidden"
run335G_queue_ready,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/run335G_probe_input_materialization_queue.csv,queue_rows=11;selection_true=0
selection_claim_guard,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/result_judgment.csv,selected_candidate=none;forward_passed=not_claimed;goal_achieve=not_claimed
