protocol_id,branch_id,branch_name,payload_path,payload_sha256,selection_eligible,payload_status,claim_boundary
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/protocol_payloads/run335C_b01_cost_spread_slippage_grid_guard.json,944f3dfec66c62ed77d6f9de8d51d8e18c67e3af7efca6e7368296b0d57a42a6,false,materialized_protocol_design_only,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__curve_noncalendar_state_holdout,run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/protocol_payloads/run335C_b02_curve_noncalendar_state_holdout.json,4653f28aab1fd6a6a609405ec2cbd9f2e1f9dd575c4d260c8879ce260ce02554,false,materialized_protocol_design_only,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__direction_symmetry_no_side_drop,run335C_b03_direction_symmetry_no_side_drop,direction_symmetry_no_side_drop,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/protocol_payloads/run335C_b03_direction_symmetry_no_side_drop.json,c89d1cceb10ec8f8f7a0a69bad2e564460c9fd2dc9ad42f92f5006e60e87ed0e,false,materialized_protocol_design_only,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__drawdown_underwater_recovery_quality,run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/protocol_payloads/run335C_b04_drawdown_underwater_recovery_quality.json,1b171983fa255395f4dc2c902e393e2bb86767e9a9aebbf0cb5f5fa58d59d551,false,materialized_protocol_design_only,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__regime_predeclared_macro_state,run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/protocol_payloads/run335C_b05_regime_predeclared_macro_state.json,dbf8f4b86cab8e9f8d756a9e388d207095aad0150f15c9d21c2c0794f81ec054,false,materialized_protocol_design_only,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__runtime_identity_strict_handoff,run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/protocol_payloads/run335C_b06_runtime_identity_strict_handoff.json,f829d692dac20cd89d7a232381afcc9cd2fd04198065cfbc3ef2e29732d056cb,false,materialized_protocol_design_only,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cp322a_exact_blocker_control,run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/protocol_payloads/run335C_b07_cp322a_exact_blocker_control.json,020c05c4e9f59591bceb7a806b5f1b828f100e48104b14e8aa51620d29836eba,false,materialized_protocol_design_only,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cost_curve_drawdown_interaction_guard,run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/protocol_payloads/run335C_b08_cost_curve_drawdown_interaction_guard.json,aa25fa4043b2901b5c48acd4640ec481aa570f2a44ce8e02096ae6cdeaedb84e,false,materialized_protocol_design_only,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__regime_direction_interaction_guard,run335C_b09_regime_direction_interaction_guard,regime_direction_interaction_guard,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/protocol_payloads/run335C_b09_regime_direction_interaction_guard.json,28ed8cdd748dc9071a06eee4b6fe4f644f6571dcbe44416f9bcd06c8794b48c4,false,materialized_protocol_design_only,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__subject_swap_negative_control,run335C_b10_subject_swap_negative_control,subject_swap_negative_control,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/protocol_payloads/run335C_b10_subject_swap_negative_control.json,edf9256bf57120bde5635ec448d45d21ffb76d34490b0a1cc53016b5a5fe0c48,false,materialized_protocol_design_only,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__null_adjacent_period_control,run335C_b11_null_adjacent_period_control,null_adjacent_period_control,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335F/protocol_payloads/run335C_b11_null_adjacent_period_control.json,79e9d545f71b770af2340877db9575a268989d2209019d388a7b809e2bcc272d,false,materialized_protocol_design_only,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
