adapter_id,split,atr_enabled,model_risk_enabled,max_model_risk_pct,max_actual_risk_pct_after_floor,risk_floor_applied_count,avg_executed_lot,avg_atr_points,avg_open_sl_points,avg_open_tp_points,risk_bucket,read
s254_stage252_control,validation_is,True,True,0.0305,0.0304859339,0,0.009917716375,3634.39774,7386.913407,16772.74557,mid,ATR/risk(ATR/위험)은 유지됐지만 lifecycle(생명주기) 축은 KPI(핵심 성과 지표)를 충분히 고치지 못했다.
s254_stage252_control,oos,True,True,0.0305,0.0303072839,0,0.006565137131,3903.364499,7933.588343,18014.02716,mid,ATR/risk(ATR/위험)은 유지됐지만 lifecycle(생명주기) 축은 KPI(핵심 성과 지표)를 충분히 고치지 못했다.
s254_hold4,validation_is,True,True,0.0305,0.0304411574,0,0.00912027631,3634.39774,7386.913407,16772.74557,mid,ATR/risk(ATR/위험)은 유지됐지만 lifecycle(생명주기) 축은 KPI(핵심 성과 지표)를 충분히 고치지 못했다.
s254_hold4,oos,True,True,0.0305,0.0303501207,0,0.005857067511,3903.364499,7933.588343,18014.02716,mid,ATR/risk(ATR/위험)은 유지됐지만 lifecycle(생명주기) 축은 KPI(핵심 성과 지표)를 충분히 고치지 못했다.
s254_hold5,validation_is,True,True,0.0305,0.0304525657,0,0.01003555465,3634.39774,7386.913407,16772.74557,mid,ATR/risk(ATR/위험)은 유지됐지만 lifecycle(생명주기) 축은 KPI(핵심 성과 지표)를 충분히 고치지 못했다.
s254_hold5,oos,True,True,0.0305,0.0302438991,0,0.005863660338,3903.364499,7933.588343,18014.02716,mid,ATR/risk(ATR/위험)은 유지됐지만 lifecycle(생명주기) 축은 KPI(핵심 성과 지표)를 충분히 고치지 못했다.
s254_hold4_flatclose,validation_is,True,True,0.0305,0.0304413027,0,0.005381958553,3634.39774,7386.913407,16772.74557,mid,ATR/risk(ATR/위험)은 유지됐지만 lifecycle(생명주기) 축은 KPI(핵심 성과 지표)를 충분히 고치지 못했다.
s254_hold4_flatclose,oos,True,True,0.0305,0.0304913655,0,0.00442378692,3903.364499,7933.588343,18014.02716,mid,ATR/risk(ATR/위험)은 유지됐지만 lifecycle(생명주기) 축은 KPI(핵심 성과 지표)를 충분히 고치지 못했다.
s254_hold4_reentry12,validation_is,True,True,0.0305,0.0304836847,0,0.008647907355,3634.39774,7386.913407,16772.74557,mid,ATR/risk(ATR/위험)은 유지됐지만 lifecycle(생명주기) 축은 KPI(핵심 성과 지표)를 충분히 고치지 못했다.
s254_hold4_reentry12,oos,True,True,0.0305,0.0303582505,0,0.005710706751,3903.364499,7933.588343,18014.02716,mid,ATR/risk(ATR/위험)은 유지됐지만 lifecycle(생명주기) 축은 KPI(핵심 성과 지표)를 충분히 고치지 못했다.
