run_id,gate,status,evidence,effect,claim_boundary
run364AY_train_threshold_edge_density_restore_cost_session_scout_without_db_v1,parent_materialization_gate(부모 물질화 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AX/final_decision.json,AX 물질화 완료와 다음 실행 ID를 확인한다.,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AY_train_threshold_edge_density_restore_cost_session_scout_without_db_v1,queue_replay_gate(대기열 재생 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AY/density_restore_cost_session_proxy_scout_surface.csv,실행 가능 AY 행을 proxy replay(프록시 재생)로 실행한다.,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AY_train_threshold_edge_density_restore_cost_session_scout_without_db_v1,kpi_contract_audit(KPI 계약 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AY/baseline_comparison.csv,net/PF/density/DD/side KPI(순수익/수익 팩터/밀도/낙폭/방향 지표)를 같은 표면에 둔다.,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AY_train_threshold_edge_density_restore_cost_session_scout_without_db_v1,topn_absence_gate(top_n 부재 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AY/queue_replay_audit.csv,top_n(상위 N개) 선택을 쓰지 않는다.,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AY_train_threshold_edge_density_restore_cost_session_scout_without_db_v1,trade_splitting_absence_gate(거래 쪼개기 부재 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AY/queue_replay_audit.csv,거래 쪼개기 없이 신호 발생 자체를 늘린다.,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AY_train_threshold_edge_density_restore_cost_session_scout_without_db_v1,oos_threshold_lock_gate(표본외 임계값 잠금 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AX/run364AY_scout_queue.csv,표본외 임계값 선택 금지를 유지한다.,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AY_train_threshold_edge_density_restore_cost_session_scout_without_db_v1,timestamp_boundary_gate(시점 경계 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AX/run364AY_scout_queue.csv,닫힌 봉 기준 진입 의미를 유지한다.,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AY_train_threshold_edge_density_restore_cost_session_scout_without_db_v1,implementation_required_visibility_gate(구현 필요 가시화 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AY/queue_replay_audit.csv,proxy(프록시)로 표현 못 한 행 2개를 숨기지 않고 기록한다.,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AY_train_threshold_edge_density_restore_cost_session_scout_without_db_v1,required_gate_coverage_audit(필수 게이트 커버리지 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AY/required_gate_coverage_audit.csv,work packet(작업 묶음)의 필수 게이트를 closeout(종료 기록)에 연결한다.,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AY_train_threshold_edge_density_restore_cost_session_scout_without_db_v1,final_claim_guard(최종 주장 가드),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AY/claim_boundary_receipt.json,runtime authority(런타임 권위)와 operating promotion(운영 승격)을 주장하지 않는다.,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
