ledger_row_id,stage_id,run_id,subrun_id,parent_run_id,record_view,tier_scope,kpi_scope,scoreboard_lane,status,judgment,path,primary_kpi,guardrail_kpi,external_verification_status,notes,hcardrail_kpi,run_number,date,decision,next_run_id,rows,gate_passes,gate_total,claim_boundary,report_path,trained_models,onnx_parity,best_proxy,candidate_rows,positive_proxy_rows,best_model_id,best_proxy_net,attempt_rows,feature_matrix_rows,runtime_completed_rows,matched_rows,mismatch_rows,positive_net_rows,best_net_profit,best_profit_factor,operating_ready_rows,run_date,primary_artifact,view,tier,metric_scope,net_profit,profit_factor,expectancy,drawdown,recovery_factor,trade_count,candidate_model_id,result_status,expected_probability_rows,long_trade_count,short_trade_count,feature_count,task_seed_rows,eligible_task_rows,trained_model_rows,best_inner_holdout_proxy_net,best_inner_holdout_profit_factor,candidate_model_ids,probe_priority_model,raw_top_model,lane,family,primary_report,balance_control_model,cost_control_model,primary_proxy_net,primary_profit_factor,primary_recovery_factor,sample_rows,attempt_count,source_package_run_id,row_id,scoreboard,evidence_boundary,work_family,evidence_scope,run_key,question,next_action,trade_density_per_feature_day,trade_density_requirement_status,result_judgment,max_drawdown_amount,final_decision_path,created_at,gate_audit_path,expected_estimated_mt5_density,usable_report_rows,artifact_count,created_at_utc,required_gate_audit,kpi_summary,runtime_authority,operating_promotion,trade_density,source_authority,goal_achieve,run_family,run_type,input_run_id,output_path,result_path,selected_net_profit,selected_profit_factor,selected_trade_density,expected_net_profit,expected_profit_factor,expected_trade_count,expected_trade_density,route_attribution_boundary,scaled_density_estimate,max_drawdown_percent,strict_joint_pass_count,probability_parity_pass_rows,best_candidate_id,candidate_count,scout_clue_count,materialization_candidate_count,meaningful_signal_count,completion_candidate_count,model,drawdown_percent,trades_per_day,oos_trades_per_day,oos_net_profit,oos_profit_factor,oos_trade_count,oos_drawdown_percent,model_variants,selected_surfaces,runtime_attempt_rows
frontier91A_stage_open_regime_conditioned_density_cost_abstention_axis_v1__planned_current_run,stage_frontier_91__regime_conditioned_density_cost_abstention_axis,frontier91A_stage_open_regime_conditioned_density_cost_abstention_axis_v1,frontier91A_stage_open_regime_conditioned_density_cost_abstention_axis_v1__planned_current_run,frontier90D_time_to_barrier_repair_or_rotation_decision_v1,planned_current_run,not_applicable_planned,pending,stage_closeout_rotation,planned_current_run_no_authority,pending_formal_stage_open,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/00_spec/stage_brief.md,pending,pending_runtime_claim_forbidden,pending,F91 pending-open scaffold after F90D negative closeout.,,frontier91A,2026-06-19,pending_formal_stage_open,,0,0,0,pending_open_scaffold_only_no_runtime_authority_no_goal_achieve,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/00_spec/stage_brief.md,,,,,,,,,,,,,,,,,2026-06-19,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/00_spec/stage_brief.md,planned_current_run,not_applicable_planned,pending,,,,,,,,planned_current_run_no_authority,,,,,,,,,,,,,stage_closeout_rotation,publish_handoff,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/00_spec/stage_brief.md,,,,,,,,,frontier91A_stage_open_regime_conditioned_density_cost_abstention_axis_v1__planned_current_run,,planned_only_no_runtime_evidence,publish_handoff,,,Can regime-conditioned density/cost abstention create a runtime-compatible US100 M5 surface?,formal_f91a_stage_open,,,pending,,,2026-06-19T02:05:17Z,,,,0,2026-06-19T02:05:17Z,,,not_claimed,not_claimed,,not_claimed,not_claimed,publish_handoff,planned_current_run,frontier90D_time_to_barrier_repair_or_rotation_decision_v1,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/00_spec/stage_brief.md,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0
frontier91A_stage_open_regime_conditioned_density_cost_abstention_axis_v1__tier_a_stage_open,stage_frontier_91__regime_conditioned_density_cost_abstention_axis,frontier91A_stage_open_regime_conditioned_density_cost_abstention_axis_v1,frontier91A_stage_open_regime_conditioned_density_cost_abstention_axis_v1__tier_a_stage_open,frontier90D_time_to_barrier_repair_or_rotation_decision_v1,tier_a_stage_open,Tier A separate,stage_open_design,stage_open_design,f91a_stage_open_design_prepared_no_candidate_no_authority,design_only_stage_open_regime_conditioned_density_cost_abstention_axis,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91A/r/summary.md,design_only_no_kpi,F91B must measure Tier A.,out_of_scope_by_claim_no_runtime_claim,F91A design-only stage open; no runtime authority.,,frontier91A,2026-06-19,formal_open_design_only,frontier91B_regime_density_cost_abstention_proxy_scout_v1,0,13,13,design_only_stage_open_for_regime_conditioned_density_cost_abstention_axis_no_model_candidate_no_wfo_pass_no_stress_pass_no_mt5_runtime_evidence_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91A/r/summary.md,,,,,,,,,,,,,,,,,2026-06-19,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91A/d/experiment_design.json,,,,,,,,,,,f91a_stage_open_design_prepared_no_candidate_no_authority,,,,,,,,,,,,,stage_open_design,experiment_design,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91A/r/summary.md,,,,,,,,,frontier91A_stage_open_regime_conditioned_density_cost_abstention_axis_v1__tier_a_stage_open,,design_only_no_runtime_evidence,,,,Can F91A open a regime-conditioned density/cost abstention axis?,frontier91B_regime_density_cost_abstention_proxy_scout_v1,,,design_only_stage_open_regime_conditioned_density_cost_abstention_axis,,,2026-06-19T02:27:41Z,docs/agent_control/packets/frontier91A_stage_open_regime_conditioned_density_cost_abstention_axis_v1/required_gate_coverage_audit.json,,,,2026-06-19T02:27:41Z,docs/agent_control/packets/frontier91A_stage_open_regime_conditioned_density_cost_abstention_axis_v1/required_gate_coverage_audit.json,,not_claimed,not_claimed,,,not_claimed,experiment_design,stage_open_design,frontier90D_time_to_barrier_repair_or_rotation_decision_v1,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91A,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91A/r/summary.md,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
frontier91A_stage_open_regime_conditioned_density_cost_abstention_axis_v1__tier_b_missing_required_pending,stage_frontier_91__regime_conditioned_density_cost_abstention_axis,frontier91A_stage_open_regime_conditioned_density_cost_abstention_axis_v1,frontier91A_stage_open_regime_conditioned_density_cost_abstention_axis_v1__tier_b_missing_required_pending,frontier90D_time_to_barrier_repair_or_rotation_decision_v1,tier_b_missing_required_pending,Tier B separate,stage_open_design,stage_open_design,planned_missing_required_check,design_only_stage_open_regime_conditioned_density_cost_abstention_axis,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91A/r/summary.md,missing_required_pending_f91b,F91B must not omit Tier B.,out_of_scope_by_claim_no_runtime_claim,F91A design-only stage open; no runtime authority.,,frontier91A,2026-06-19,formal_open_design_only,frontier91B_regime_density_cost_abstention_proxy_scout_v1,0,13,13,design_only_stage_open_for_regime_conditioned_density_cost_abstention_axis_no_model_candidate_no_wfo_pass_no_stress_pass_no_mt5_runtime_evidence_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91A/r/summary.md,,,,,,,,,,,,,,,,,2026-06-19,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91A/d/experiment_design.json,,,,,,,,,,,f91a_stage_open_design_prepared_no_candidate_no_authority,,,,,,,,,,,,,stage_open_design,experiment_design,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91A/r/summary.md,,,,,,,,,frontier91A_stage_open_regime_conditioned_density_cost_abstention_axis_v1__tier_b_missing_required_pending,,design_only_no_runtime_evidence,,,,Can F91A open a regime-conditioned density/cost abstention axis?,frontier91B_regime_density_cost_abstention_proxy_scout_v1,,,design_only_stage_open_regime_conditioned_density_cost_abstention_axis,,,2026-06-19T02:27:41Z,docs/agent_control/packets/frontier91A_stage_open_regime_conditioned_density_cost_abstention_axis_v1/required_gate_coverage_audit.json,,,,2026-06-19T02:27:41Z,docs/agent_control/packets/frontier91A_stage_open_regime_conditioned_density_cost_abstention_axis_v1/required_gate_coverage_audit.json,,not_claimed,not_claimed,,,not_claimed,experiment_design,stage_open_design,frontier90D_time_to_barrier_repair_or_rotation_decision_v1,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91A,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91A/r/summary.md,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
frontier91A_stage_open_regime_conditioned_density_cost_abstention_axis_v1__tier_ab_blocked_pending,stage_frontier_91__regime_conditioned_density_cost_abstention_axis,frontier91A_stage_open_regime_conditioned_density_cost_abstention_axis_v1,frontier91A_stage_open_regime_conditioned_density_cost_abstention_axis_v1__tier_ab_blocked_pending,frontier90D_time_to_barrier_repair_or_rotation_decision_v1,tier_ab_blocked_pending,Tier A+B combined,stage_open_design,stage_open_design,planned_combined_check,design_only_stage_open_regime_conditioned_density_cost_abstention_axis,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91A/r/summary.md,blocked_pending_tier_b,Combined read blocked until Tier B condition is known.,out_of_scope_by_claim_no_runtime_claim,F91A design-only stage open; no runtime authority.,,frontier91A,2026-06-19,formal_open_design_only,frontier91B_regime_density_cost_abstention_proxy_scout_v1,0,13,13,design_only_stage_open_for_regime_conditioned_density_cost_abstention_axis_no_model_candidate_no_wfo_pass_no_stress_pass_no_mt5_runtime_evidence_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91A/r/summary.md,,,,,,,,,,,,,,,,,2026-06-19,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91A/d/experiment_design.json,,,,,,,,,,,f91a_stage_open_design_prepared_no_candidate_no_authority,,,,,,,,,,,,,stage_open_design,experiment_design,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91A/r/summary.md,,,,,,,,,frontier91A_stage_open_regime_conditioned_density_cost_abstention_axis_v1__tier_ab_blocked_pending,,design_only_no_runtime_evidence,,,,Can F91A open a regime-conditioned density/cost abstention axis?,frontier91B_regime_density_cost_abstention_proxy_scout_v1,,,design_only_stage_open_regime_conditioned_density_cost_abstention_axis,,,2026-06-19T02:27:41Z,docs/agent_control/packets/frontier91A_stage_open_regime_conditioned_density_cost_abstention_axis_v1/required_gate_coverage_audit.json,,,,2026-06-19T02:27:41Z,docs/agent_control/packets/frontier91A_stage_open_regime_conditioned_density_cost_abstention_axis_v1/required_gate_coverage_audit.json,,not_claimed,not_claimed,,,not_claimed,experiment_design,stage_open_design,frontier90D_time_to_barrier_repair_or_rotation_decision_v1,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91A,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91A/r/summary.md,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
frontier91B_regime_density_cost_abstention_proxy_scout_v1__planned_current_run,stage_frontier_91__regime_conditioned_density_cost_abstention_axis,frontier91B_regime_density_cost_abstention_proxy_scout_v1,frontier91B_regime_density_cost_abstention_proxy_scout_v1__planned_current_run,frontier91A_stage_open_regime_conditioned_density_cost_abstention_axis_v1,planned_current_run,Tier A/B/combined planned,planned_proxy_scout,planned_proxy_scout,planned_after_f91a_formal_open,planned_proxy_scout_no_result_yet,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91A/d/f91b_proxy_scout_brief.json,planned_only,F91B must record Tier A/B/combined and runtime trigger if candidate appears.,not_applicable_planned_design_only,F91B planned proxy scout; no result yet.,,frontier91B,2026-06-19,planned_proxy_scout,,0,0,0,planned_proxy_scout_only_no_candidate_no_runtime_authority,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91A/d/f91b_proxy_scout_brief.json,,,,,,,,,,,,,,,,,2026-06-19,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91A/d/f91b_proxy_scout_brief.json,,,,,,,,,,,planned_after_f91a_formal_open,,,,,,,,,,,,,planned_proxy_scout,experiment_execution,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91A/d/f91b_proxy_scout_brief.json,,,,,,,,,frontier91B_regime_density_cost_abstention_proxy_scout_v1__planned_current_run,,planned_proxy_scout_only_no_runtime_evidence,,,,Can F91B proxy scout regime-conditioned density/cost abstention?,run_f91b_proxy_scout,,,planned_proxy_scout_no_result_yet,,,2026-06-19T02:27:41Z,,,,,2026-06-19T02:27:41Z,,,not_claimed,not_claimed,,,not_claimed,experiment_execution,planned_proxy_scout,frontier91A_stage_open_regime_conditioned_density_cost_abstention_axis_v1,,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91A/d/f91b_proxy_scout_brief.json,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
frontier91B_regime_density_cost_abstention_proxy_scout_v1__tier_a_separate,stage_frontier_91__regime_conditioned_density_cost_abstention_axis,frontier91B_regime_density_cost_abstention_proxy_scout_v1,frontier91B_regime_density_cost_abstention_proxy_scout_v1__tier_a_separate,frontier91A_stage_open_regime_conditioned_density_cost_abstention_axis_v1,tier_a_separate,Tier A separate,regime_density_cost_abstention_proxy,proxy_scout,f91b_regime_density_cost_abstention_proxy_scout_negative_no_candidate_no_authority,negative_proxy_scout_validation_oos_joint_gate_failed_no_runtime_trigger,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91B/reports/result_summary.md,net=0.01486713;pf=1.003169;dd=1.07435142;tpd=10.743169,random_net=-0.44267147;side_min=0.299084;cost_high=0.742625,out_of_scope_by_claim_no_strategy_tester_runtime_claim,F91B proxy scout recorded no candidate and no runtime authority.,,frontier91B,2026-06-19,plan_f91c_repair_or_rotation_after_regime_density_cost_abstention_proxy_failure,frontier91C_regime_density_cost_abstention_repair_or_rotation_decision_v1,59048,15,15,f91b_proxy_scout_only_no_runnable_candidate_no_mt5_runtime_evidence_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91B/reports/result_summary.md,,,,,,,,,,,,,,,,,2026-06-19,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91B/proxy_scout/candidate_gate.json,tier_a_separate,Tier A separate,proxy_validation,0.01486713,1.003169,,1.07435142,,1966,,f91b_regime_density_cost_abstention_proxy_scout_negative_no_candidate_no_authority,,1378,588,,,,,,,,,,regime_density_cost_abstention_proxy_scout,experiment_execution,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91B/reports/result_summary.md,,,,,,,,,frontier91B_regime_density_cost_abstention_proxy_scout_v1__tier_a_separate,,proxy_scout_only_no_runtime_evidence,experiment_execution,,,Can regime-conditioned density/cost abstention create a proxy candidate?,frontier91C_regime_density_cost_abstention_repair_or_rotation_decision_v1,,,negative_proxy_scout_validation_oos_joint_gate_failed_no_runtime_trigger,,,2026-06-19T02:54:32Z,docs/agent_control/packets/frontier91B_regime_density_cost_abstention_proxy_scout_v1/required_gate_coverage_audit.json,,,35,2026-06-19T02:54:32Z,docs/agent_control/packets/frontier91B_regime_density_cost_abstention_proxy_scout_v1/required_gate_coverage_audit.json,,not_claimed,not_claimed,,not_claimed,not_claimed,experiment_execution,proxy_scout,frontier91A_stage_open_regime_conditioned_density_cost_abstention_axis_v1,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91B,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91B/reports/result_summary.md,,,,,,,,,,,,,ridge_regime_dense_q85,0,0,0,0,0,,,10.743169,,,,,,,,0
frontier91B_regime_density_cost_abstention_proxy_scout_v1__tier_b_separate,stage_frontier_91__regime_conditioned_density_cost_abstention_axis,frontier91B_regime_density_cost_abstention_proxy_scout_v1,frontier91B_regime_density_cost_abstention_proxy_scout_v1__tier_b_separate,frontier91A_stage_open_regime_conditioned_density_cost_abstention_axis_v1,tier_b_separate,Tier B separate,regime_density_cost_abstention_proxy,proxy_scout,f91b_regime_density_cost_abstention_proxy_scout_negative_no_candidate_no_authority,negative_proxy_scout_validation_oos_joint_gate_failed_no_runtime_trigger,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91B/reports/result_summary.md,net=-0.03274413;pf=0.685211;dd=0.04491546;tpd=0.722973,random_net=-0.02668081;side_min=0.383178;cost_high=0.261682,out_of_scope_by_claim_no_strategy_tester_runtime_claim,F91B proxy scout recorded no candidate and no runtime authority.,,frontier91B,2026-06-19,plan_f91c_repair_or_rotation_after_regime_density_cost_abstention_proxy_failure,frontier91C_regime_density_cost_abstention_repair_or_rotation_decision_v1,59048,15,15,f91b_proxy_scout_only_no_runnable_candidate_no_mt5_runtime_evidence_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91B/reports/result_summary.md,,,,,,,,,,,,,,,,,2026-06-19,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91B/proxy_scout/candidate_gate.json,tier_b_separate,Tier B separate,proxy_validation,-0.03274413,0.685211,,0.04491546,,107,,f91b_regime_density_cost_abstention_proxy_scout_negative_no_candidate_no_authority,,41,66,,,,,,,,,,regime_density_cost_abstention_proxy_scout,experiment_execution,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91B/reports/result_summary.md,,,,,,,,,frontier91B_regime_density_cost_abstention_proxy_scout_v1__tier_b_separate,,proxy_scout_only_no_runtime_evidence,experiment_execution,,,Can regime-conditioned density/cost abstention create a proxy candidate?,frontier91C_regime_density_cost_abstention_repair_or_rotation_decision_v1,,,negative_proxy_scout_validation_oos_joint_gate_failed_no_runtime_trigger,,,2026-06-19T02:54:32Z,docs/agent_control/packets/frontier91B_regime_density_cost_abstention_proxy_scout_v1/required_gate_coverage_audit.json,,,35,2026-06-19T02:54:32Z,docs/agent_control/packets/frontier91B_regime_density_cost_abstention_proxy_scout_v1/required_gate_coverage_audit.json,,not_claimed,not_claimed,,not_claimed,not_claimed,experiment_execution,proxy_scout,frontier91A_stage_open_regime_conditioned_density_cost_abstention_axis_v1,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91B,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91B/reports/result_summary.md,,,,,,,,,,,,,ridge_regime_dense_q85,0,0,0,0,0,,,0.722973,,,,,,,,0
frontier91B_regime_density_cost_abstention_proxy_scout_v1__tier_ab_combined,stage_frontier_91__regime_conditioned_density_cost_abstention_axis,frontier91B_regime_density_cost_abstention_proxy_scout_v1,frontier91B_regime_density_cost_abstention_proxy_scout_v1__tier_ab_combined,frontier91A_stage_open_regime_conditioned_density_cost_abstention_axis_v1,tier_ab_combined,Tier A+B combined,regime_density_cost_abstention_proxy,proxy_scout,f91b_regime_density_cost_abstention_proxy_scout_negative_no_candidate_no_authority,negative_proxy_scout_validation_oos_joint_gate_failed_no_runtime_trigger,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91B/reports/result_summary.md,net=-0.01787701;pf=0.996272;dd=1.08958305;tpd=11.205405,random_net=-0.5240869;side_min=0.315485;cost_high=0.7178,out_of_scope_by_claim_no_strategy_tester_runtime_claim,F91B proxy scout recorded no candidate and no runtime authority.,,frontier91B,2026-06-19,plan_f91c_repair_or_rotation_after_regime_density_cost_abstention_proxy_failure,frontier91C_regime_density_cost_abstention_repair_or_rotation_decision_v1,59048,15,15,f91b_proxy_scout_only_no_runnable_candidate_no_mt5_runtime_evidence_no_selected_baseline_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91B/reports/result_summary.md,,,,,,,,,,,,,,,,,2026-06-19,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91B/proxy_scout/candidate_gate.json,tier_ab_combined,Tier A+B combined,proxy_validation,-0.01787701,0.996272,,1.08958305,,2073,,f91b_regime_density_cost_abstention_proxy_scout_negative_no_candidate_no_authority,,1419,654,,,,,,,,,,regime_density_cost_abstention_proxy_scout,experiment_execution,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91B/reports/result_summary.md,,,,,,,,,frontier91B_regime_density_cost_abstention_proxy_scout_v1__tier_ab_combined,,proxy_scout_only_no_runtime_evidence,experiment_execution,,,Can regime-conditioned density/cost abstention create a proxy candidate?,frontier91C_regime_density_cost_abstention_repair_or_rotation_decision_v1,,,negative_proxy_scout_validation_oos_joint_gate_failed_no_runtime_trigger,,,2026-06-19T02:54:32Z,docs/agent_control/packets/frontier91B_regime_density_cost_abstention_proxy_scout_v1/required_gate_coverage_audit.json,,,35,2026-06-19T02:54:32Z,docs/agent_control/packets/frontier91B_regime_density_cost_abstention_proxy_scout_v1/required_gate_coverage_audit.json,,not_claimed,not_claimed,,not_claimed,not_claimed,experiment_execution,proxy_scout,frontier91A_stage_open_regime_conditioned_density_cost_abstention_axis_v1,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91B,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91B/reports/result_summary.md,,,,,,,,,,,,,ridge_regime_dense_q85,0,0,0,0,0,,,11.205405,,,,,,,,0
frontier91C_regime_density_cost_abstention_repair_or_rotation_decision_v1__planned_current_run,stage_frontier_91__regime_conditioned_density_cost_abstention_axis,frontier91C_regime_density_cost_abstention_repair_or_rotation_decision_v1,frontier91C_regime_density_cost_abstention_repair_or_rotation_decision_v1__planned_current_run,frontier91B_regime_density_cost_abstention_proxy_scout_v1,planned_current_run,not_applicable_planned,pending,proxy_scout,planned_current_run_no_authority,pending_repair_or_rotation_decision,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis,pending,pending_runtime_claim_forbidden,pending,Planned after F91B proxy scout negative result.,,frontier91C,2026-06-19,pending_execution,,0,0,0,planned_current_run_no_authority_no_runtime_claim_no_goal_achieve,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/00_spec/stage_brief.md,,,,,,,,,,,,,,,,,2026-06-19,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/00_spec/stage_brief.md,planned_current_run,not_applicable_planned,pending,,,,,,,,planned_current_run_no_authority,,,,,,,,,,,,,regime_density_cost_abstention_proxy_scout,experiment_execution,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/00_spec/stage_brief.md,,,,,,,,,frontier91C_regime_density_cost_abstention_repair_or_rotation_decision_v1__planned_current_run,,planned_only_no_runtime_evidence,experiment_execution,,,Should F91 repair the abstention axis or rotate?,decide_repair_or_rotation,,,pending,,,2026-06-19T02:54:32Z,,,,0,2026-06-19T02:54:32Z,,,not_claimed,not_claimed,,not_claimed,not_claimed,experiment_execution,planned_current_run,frontier91B_regime_density_cost_abstention_proxy_scout_v1,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/00_spec/stage_brief.md,,,,,,,,,,,,,ridge_regime_dense_q85,0,0,0,0,0,,,,,,,,,,,0
frontier91C_regime_density_cost_abstention_repair_or_rotation_decision_v1__tier_a_closeout,stage_frontier_91__regime_conditioned_density_cost_abstention_axis,frontier91C_regime_density_cost_abstention_repair_or_rotation_decision_v1,frontier91C_regime_density_cost_abstention_repair_or_rotation_decision_v1__tier_a_closeout,frontier91B_regime_density_cost_abstention_proxy_scout_v1,tier_a_closeout,Tier A separate,f91_closeout_decision,stage_closeout_rotation,f91c_closed_negative_regime_density_cost_abstention_rotate_to_f92_no_authority,negative_regime_density_cost_abstention_proxy_no_candidate_no_runtime_trigger,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91C/r/summary.md,source_best=ridge_regime_dense_q85;validation_gate_failed,Tier A retained; no candidate.,out_of_scope_by_claim_no_strategy_tester_runtime_claim,F91 closeout; no runtime claim; F92 pending-open scaffold.,,frontier91C,2026-06-19,close_f91_negative_rotate_to_path_conditioned_trade_shape_labeling_axis,frontier92A_stage_open_path_conditioned_trade_shape_labeling_axis_v1,59048,15,15,f91c_stage_closeout_rotation_only_no_candidate_no_selected_baseline_no_mt5_runtime_evidence_no_operating_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91C/r/summary.md,,,,,,,,,,,,,,,,,2026-06-19,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91C/d/decision.json,tier_a_closeout,Tier A separate,stage_closeout_rotation,,,,,,,,negative_memory,,,,,,,,,,,,,stage_closeout_rotation,publish_handoff,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91C/r/summary.md,,,,,,,,,frontier91C_regime_density_cost_abstention_repair_or_rotation_decision_v1__tier_a_closeout,,stage_closeout_rotation_only_no_runtime_evidence,publish_handoff,,,Should F91 repair entry abstention or rotate after validation gate failure?,frontier92A_stage_open_path_conditioned_trade_shape_labeling_axis_v1,,,negative_regime_density_cost_abstention_proxy_no_candidate_no_runtime_trigger,,,2026-06-19T03:14:53Z,docs/agent_control/packets/frontier91C_regime_density_cost_abstention_repair_or_rotation_decision_v1/required_gate_coverage_audit.json,,,51,2026-06-19T03:14:53Z,docs/agent_control/packets/frontier91C_regime_density_cost_abstention_repair_or_rotation_decision_v1/required_gate_coverage_audit.json,,not_claimed,not_claimed,,not_claimed,not_claimed,publish_handoff,stage_closeout_rotation,frontier91B_regime_density_cost_abstention_proxy_scout_v1,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91C,stages/stage_frontier_91__regime_conditioned_density_cost_abstention_axis/02_runs/frontier91C/r/summary.md,,,,,,,,,,,,,,0,1,0,0,0,,,,,,,,,,,0
