run_id,scan_id,source_bucket,runtime_param,operator,threshold,baseline_trade_count,kept_trade_count,removed_trade_count,baseline_net,kept_net,removed_net,losses_kept,proxy_effect,selection_boundary,timestamp_safety,claim_boundary
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_edge_short_vs_long_ge_q10,synthetic_short_overlay,InpSyntheticShortSourceMarginVsLongMin,>=,0.0805669784,39,35,4,69.19,66.84,2.35,18,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_long_le_q80,synthetic_short_overlay,not_directly_runtime_supported,<=,0.3721641958,39,31,8,69.19,45.07,24.12,17,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_short_ge_q10,synthetic_short_overlay,InpSyntheticShortSourcePShortMin,>=,0.4448249698,39,35,4,69.19,42.47,26.72,18,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_flat_le_q80,synthetic_short_overlay,not_directly_runtime_supported,<=,0.1974754721,39,31,8,69.19,34.8,34.39,16,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_short_ge_q40,synthetic_short_overlay,InpSyntheticShortSourcePShortMin,>=,0.453248465,39,23,16,69.19,30.75,38.44,12,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_short_ge_q20,synthetic_short_overlay,InpSyntheticShortSourcePShortMin,>=,0.4483761609,39,31,8,69.19,29.89,39.3,16,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_flat_le_q60,synthetic_short_overlay,not_directly_runtime_supported,<=,0.1847290159,39,23,16,69.19,29.54,39.65,11,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_long_le_q70,synthetic_short_overlay,not_directly_runtime_supported,<=,0.3678095102,39,27,12,69.19,23.24,45.95,15,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_long_le_q60,synthetic_short_overlay,not_directly_runtime_supported,<=,0.3643920004,39,23,16,69.19,22.7,46.49,13,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BZ_materialize_bx03_december_late_session_guard_inputs_without_db_v1,p_short_ge_q50,synthetic_short_overlay,InpSyntheticShortSourcePShortMin,>=,0.456787765,39,20,19,69.19,21.38,47.81,11,negative_or_weak(부정 또는 약함),post_run_trade_outcome_scan_not_runtime_authority(사후 거래 결과 탐색이며 런타임 권위 아님),threshold can be evaluated from closed-bar probabilities before entry(임계값은 진입 전 닫힌 봉 확률로 평가 가능),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
