stage_id,run_id,parent_run_id,run_date,status,judgment,decision,next_run_id,primary_artifact,report_path,gate_passes,gate_total,claim_boundary,view,tier,metric_scope,candidate_model_id,net_profit,profit_factor,drawdown,recovery_factor,trade_count,result_status,sample_rows,feature_count,matched_rows,expectancy,attempt_count
339_runtime_lifecycle_exit__side_balance_probe_review,run339A_branch_stage338_to_lifecycle_exit_probe_review_without_db_v1,run338M_materialize_lifecycle_exit_side_balance_recovery_expansion_mt5_probe_package_without_db_v1,2026-06-01,completed_stage339A_branch_from_stage338_lifecycle_exit_probe_review_opened_no_selection,stage_branch_completed_stage338_overweight_handoff_to_recovered_probe_review_no_selection,stage339A_open_run339B_review_recovered_lifecycle_exit_probe_outputs,run339B_review_recovered_lifecycle_exit_side_balance_mt5_probe_without_db_v1,stages/339_runtime_lifecycle_exit__side_balance_probe_review/02_runs/run339A/final_decision.json,stages/339_runtime_lifecycle_exit__side_balance_probe_review/03_reviews/run339A_stage_branch.md,7,7,state_sync_stage_branch_and_unreviewed_runtime_output_handoff_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A separate(Tier A 분리),Tier A,stage_branch_handoff_with_unreviewed_runtime_preview,logreg_balanced_c025_m02_p55_h12,168.12,3.55,89.31,1.88,24.0,unreviewed_runtime_output_handoff(미검토 런타임 출력 인계),,,34962.0,7.0,6.0
339_runtime_lifecycle_exit__side_balance_probe_review,run339A_branch_stage338_to_lifecycle_exit_probe_review_without_db_v1,run338M_materialize_lifecycle_exit_side_balance_recovery_expansion_mt5_probe_package_without_db_v1,2026-06-01,completed_stage339A_branch_from_stage338_lifecycle_exit_probe_review_opened_no_selection,stage_branch_completed_stage338_overweight_handoff_to_recovered_probe_review_no_selection,stage339A_open_run339B_review_recovered_lifecycle_exit_probe_outputs,run339B_review_recovered_lifecycle_exit_side_balance_mt5_probe_without_db_v1,stages/339_runtime_lifecycle_exit__side_balance_probe_review/02_runs/run339A/final_decision.json,stages/339_runtime_lifecycle_exit__side_balance_probe_review/03_reviews/run339A_stage_branch.md,7,7,state_sync_stage_branch_and_unreviewed_runtime_output_handoff_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier B separate(Tier B 분리),Tier B,missing_required,,,,,,,missing_required(필수 누락),,,,,
339_runtime_lifecycle_exit__side_balance_probe_review,run339A_branch_stage338_to_lifecycle_exit_probe_review_without_db_v1,run338M_materialize_lifecycle_exit_side_balance_recovery_expansion_mt5_probe_package_without_db_v1,2026-06-01,completed_stage339A_branch_from_stage338_lifecycle_exit_probe_review_opened_no_selection,stage_branch_completed_stage338_overweight_handoff_to_recovered_probe_review_no_selection,stage339A_open_run339B_review_recovered_lifecycle_exit_probe_outputs,run339B_review_recovered_lifecycle_exit_side_balance_mt5_probe_without_db_v1,stages/339_runtime_lifecycle_exit__side_balance_probe_review/02_runs/run339A/final_decision.json,stages/339_runtime_lifecycle_exit__side_balance_probe_review/03_reviews/run339A_stage_branch.md,7,7,state_sync_stage_branch_and_unreviewed_runtime_output_handoff_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A+B combined(Tier A+B 합산),Tier A+B,same_as_tier_a_until_tier_b_available,logreg_balanced_c025_m02_p55_h12,168.12,3.55,89.31,1.88,24.0,unreviewed_runtime_output_handoff(미검토 런타임 출력 인계),,,34962.0,7.0,6.0
339_runtime_lifecycle_exit__side_balance_probe_review,run339B_review_recovered_lifecycle_exit_side_balance_mt5_probe_without_db_v1,run339A_branch_stage338_to_lifecycle_exit_probe_review_without_db_v1,2026-06-01,completed_stage339B_recovered_lifecycle_exit_probe_reviewed_positive_clue_no_selection,m02_shorter_hold_improved_profit_recovery_but_trade_count_side_balance_below_floor_no_selection,stage339B_open_run339C_shorter_hold_side_balance_trade_count_expansion,run339C_materialize_shorter_hold_side_balance_trade_count_expansion_mt5_probe_package_without_db_v1,stages/339_runtime_lifecycle_exit__side_balance_probe_review/02_runs/run339B/final_decision.json,stages/339_runtime_lifecycle_exit__side_balance_probe_review/03_reviews/run339B_lifecycle_probe_review.md,10,10,research_development_recovered_lifecycle_exit_mt5_probe_review_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A separate(Tier A 분리),Tier A,mt5_runtime_probe_review,logreg_balanced_c025_m02_p55_h12,168.12,3.55,89.31,1.88,24.0,"reviewed_positive_clue_no_selection(검토된 긍정 단서, 선정 없음)",,53.0,34962.0,7.0,6.0
339_runtime_lifecycle_exit__side_balance_probe_review,run339B_review_recovered_lifecycle_exit_side_balance_mt5_probe_without_db_v1,run339A_branch_stage338_to_lifecycle_exit_probe_review_without_db_v1,2026-06-01,completed_stage339B_recovered_lifecycle_exit_probe_reviewed_positive_clue_no_selection,m02_shorter_hold_improved_profit_recovery_but_trade_count_side_balance_below_floor_no_selection,stage339B_open_run339C_shorter_hold_side_balance_trade_count_expansion,run339C_materialize_shorter_hold_side_balance_trade_count_expansion_mt5_probe_package_without_db_v1,stages/339_runtime_lifecycle_exit__side_balance_probe_review/02_runs/run339B/final_decision.json,stages/339_runtime_lifecycle_exit__side_balance_probe_review/03_reviews/run339B_lifecycle_probe_review.md,10,10,research_development_recovered_lifecycle_exit_mt5_probe_review_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier B separate(Tier B 분리),Tier B,missing_required,,,,,,,missing_required(필수 누락),,53.0,,,
339_runtime_lifecycle_exit__side_balance_probe_review,run339B_review_recovered_lifecycle_exit_side_balance_mt5_probe_without_db_v1,run339A_branch_stage338_to_lifecycle_exit_probe_review_without_db_v1,2026-06-01,completed_stage339B_recovered_lifecycle_exit_probe_reviewed_positive_clue_no_selection,m02_shorter_hold_improved_profit_recovery_but_trade_count_side_balance_below_floor_no_selection,stage339B_open_run339C_shorter_hold_side_balance_trade_count_expansion,run339C_materialize_shorter_hold_side_balance_trade_count_expansion_mt5_probe_package_without_db_v1,stages/339_runtime_lifecycle_exit__side_balance_probe_review/02_runs/run339B/final_decision.json,stages/339_runtime_lifecycle_exit__side_balance_probe_review/03_reviews/run339B_lifecycle_probe_review.md,10,10,research_development_recovered_lifecycle_exit_mt5_probe_review_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A+B combined(Tier A+B 합산),Tier A+B,same_as_tier_a_until_tier_b_available,logreg_balanced_c025_m02_p55_h12,168.12,3.55,89.31,1.88,24.0,"reviewed_positive_clue_no_selection(검토된 긍정 단서, 선정 없음)",,53.0,34962.0,7.0,6.0
339_runtime_lifecycle_exit__side_balance_probe_review,run339C_materialize_shorter_hold_side_balance_trade_count_expansion_mt5_probe_package_without_db_v1,run339B_review_recovered_lifecycle_exit_side_balance_mt5_probe_without_db_v1,2026-06-01,completed_stage339C_shorter_hold_side_balance_trade_count_probe_package_materialized_no_selection,shorter_hold_side_balance_trade_count_mt5_probe_package_ready_runtime_execution_required_no_selection,stage339C_open_run339D_execute_shorter_hold_side_balance_trade_count_probe,run339D_execute_shorter_hold_side_balance_trade_count_expansion_mt5_probe_without_db_v1,stages/339_runtime_lifecycle_exit__side_balance_probe_review/02_runs/run339C/final_decision.json,stages/339_runtime_lifecycle_exit__side_balance_probe_review/03_reviews/run339C_probe_package.md,11,11,research_development_shorter_hold_side_balance_trade_count_runtime_probe_package_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A separate(Tier A 분리),Tier A,mt5_package,logreg_balanced_c025,,,,,,mt5_probe_package_ready_runtime_execution_required(런타임 실행 필요),5827.0,53.0,,,9.0
339_runtime_lifecycle_exit__side_balance_probe_review,run339C_materialize_shorter_hold_side_balance_trade_count_expansion_mt5_probe_package_without_db_v1,run339B_review_recovered_lifecycle_exit_side_balance_mt5_probe_without_db_v1,2026-06-01,completed_stage339C_shorter_hold_side_balance_trade_count_probe_package_materialized_no_selection,shorter_hold_side_balance_trade_count_mt5_probe_package_ready_runtime_execution_required_no_selection,stage339C_open_run339D_execute_shorter_hold_side_balance_trade_count_probe,run339D_execute_shorter_hold_side_balance_trade_count_expansion_mt5_probe_without_db_v1,stages/339_runtime_lifecycle_exit__side_balance_probe_review/02_runs/run339C/final_decision.json,stages/339_runtime_lifecycle_exit__side_balance_probe_review/03_reviews/run339C_probe_package.md,11,11,research_development_shorter_hold_side_balance_trade_count_runtime_probe_package_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier B separate(Tier B 분리),Tier B,missing_required,,,,,,,missing_required(필수 누락),,,,,
339_runtime_lifecycle_exit__side_balance_probe_review,run339C_materialize_shorter_hold_side_balance_trade_count_expansion_mt5_probe_package_without_db_v1,run339B_review_recovered_lifecycle_exit_side_balance_mt5_probe_without_db_v1,2026-06-01,completed_stage339C_shorter_hold_side_balance_trade_count_probe_package_materialized_no_selection,shorter_hold_side_balance_trade_count_mt5_probe_package_ready_runtime_execution_required_no_selection,stage339C_open_run339D_execute_shorter_hold_side_balance_trade_count_probe,run339D_execute_shorter_hold_side_balance_trade_count_expansion_mt5_probe_without_db_v1,stages/339_runtime_lifecycle_exit__side_balance_probe_review/02_runs/run339C/final_decision.json,stages/339_runtime_lifecycle_exit__side_balance_probe_review/03_reviews/run339C_probe_package.md,11,11,research_development_shorter_hold_side_balance_trade_count_runtime_probe_package_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A+B combined(Tier A+B 합산),Tier A+B,same_as_tier_a_until_tier_b_available,logreg_balanced_c025,,,,,,mt5_probe_package_ready_runtime_execution_required(런타임 실행 필요),5827.0,53.0,,,9.0
339_runtime_lifecycle_exit__side_balance_probe_review,run339D_execute_shorter_hold_side_balance_trade_count_expansion_mt5_probe_without_db_v1,run339C_materialize_shorter_hold_side_balance_trade_count_expansion_mt5_probe_package_without_db_v1,2026-06-01,completed_stage339D_shorter_hold_side_balance_mt5_probe_executed_review_required_no_selection,mt5_shorter_hold_side_balance_probe_outputs_available_review_required_no_selection,stage339D_open_run339E_review_shorter_hold_side_balance_probe,run339E_review_shorter_hold_side_balance_trade_count_expansion_mt5_probe_without_db_v1,stages/339_runtime_lifecycle_exit__side_balance_probe_review/02_runs/run339D/final_decision.json,stages/339_runtime_lifecycle_exit__side_balance_probe_review/03_reviews/run339D_mt5_probe.md,9,9,research_development_shorter_hold_side_balance_mt5_runtime_probe_attempt_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A separate(Tier A 분리),Tier A,mt5_runtime_probe,,115.32,1.88,,1.29,29.0,mt5_shorter_hold_side_balance_probe_outputs_available_review_required_no_selection,,,52443.0,,9.0
339_runtime_lifecycle_exit__side_balance_probe_review,run339D_execute_shorter_hold_side_balance_trade_count_expansion_mt5_probe_without_db_v1,run339C_materialize_shorter_hold_side_balance_trade_count_expansion_mt5_probe_package_without_db_v1,2026-06-01,completed_stage339D_shorter_hold_side_balance_mt5_probe_executed_review_required_no_selection,mt5_shorter_hold_side_balance_probe_outputs_available_review_required_no_selection,stage339D_open_run339E_review_shorter_hold_side_balance_probe,run339E_review_shorter_hold_side_balance_trade_count_expansion_mt5_probe_without_db_v1,stages/339_runtime_lifecycle_exit__side_balance_probe_review/02_runs/run339D/final_decision.json,stages/339_runtime_lifecycle_exit__side_balance_probe_review/03_reviews/run339D_mt5_probe.md,9,9,research_development_shorter_hold_side_balance_mt5_runtime_probe_attempt_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier B separate(Tier B 분리),Tier B,missing_required,,,,,,,missing_required,,,,,
339_runtime_lifecycle_exit__side_balance_probe_review,run339D_execute_shorter_hold_side_balance_trade_count_expansion_mt5_probe_without_db_v1,run339C_materialize_shorter_hold_side_balance_trade_count_expansion_mt5_probe_package_without_db_v1,2026-06-01,completed_stage339D_shorter_hold_side_balance_mt5_probe_executed_review_required_no_selection,mt5_shorter_hold_side_balance_probe_outputs_available_review_required_no_selection,stage339D_open_run339E_review_shorter_hold_side_balance_probe,run339E_review_shorter_hold_side_balance_trade_count_expansion_mt5_probe_without_db_v1,stages/339_runtime_lifecycle_exit__side_balance_probe_review/02_runs/run339D/final_decision.json,stages/339_runtime_lifecycle_exit__side_balance_probe_review/03_reviews/run339D_mt5_probe.md,9,9,research_development_shorter_hold_side_balance_mt5_runtime_probe_attempt_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A+B combined(Tier A+B 합산),Tier A+B,same_as_tier_a_until_tier_b_available,,115.32,1.88,,1.29,29.0,same_as_tier_a_until_tier_b_available,,,52443.0,,9.0
339_runtime_lifecycle_exit__side_balance_probe_review,run339E_review_shorter_hold_side_balance_trade_count_expansion_mt5_probe_without_db_v1,run339D_execute_shorter_hold_side_balance_trade_count_expansion_mt5_probe_without_db_v1,2026-06-01,completed_stage339E_shorter_hold_side_balance_probe_reviewed_bifurcated_positive_clue_no_selection,profit_quality_and_side_balance_split_positive_clues_but_no_operating_ready_selection,stage339E_open_run339F_quality_balance_blend_probe_package,run339F_materialize_quality_balance_blend_mt5_probe_package_without_db_v1,stages/339_runtime_lifecycle_exit__side_balance_probe_review/02_runs/run339E/final_decision.json,stages/339_runtime_lifecycle_exit__side_balance_probe_review/03_reviews/run339E_shorter_hold_side_balance_probe_review.md,9,9,research_development_shorter_hold_side_balance_mt5_probe_review_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A separate(Tier A 분리),Tier A,mt5_runtime_probe_review,logreg_balanced_c025_c01_s55_l52_h12,115.32,1.88,89.31,1.29,29.0,"reviewed_positive_clue_no_selection(검토된 긍정 단서, 선정 없음)",,,52443.0,3.98,9.0
339_runtime_lifecycle_exit__side_balance_probe_review,run339E_review_shorter_hold_side_balance_trade_count_expansion_mt5_probe_without_db_v1,run339D_execute_shorter_hold_side_balance_trade_count_expansion_mt5_probe_without_db_v1,2026-06-01,completed_stage339E_shorter_hold_side_balance_probe_reviewed_bifurcated_positive_clue_no_selection,profit_quality_and_side_balance_split_positive_clues_but_no_operating_ready_selection,stage339E_open_run339F_quality_balance_blend_probe_package,run339F_materialize_quality_balance_blend_mt5_probe_package_without_db_v1,stages/339_runtime_lifecycle_exit__side_balance_probe_review/02_runs/run339E/final_decision.json,stages/339_runtime_lifecycle_exit__side_balance_probe_review/03_reviews/run339E_shorter_hold_side_balance_probe_review.md,9,9,research_development_shorter_hold_side_balance_mt5_probe_review_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier B separate(Tier B 분리),Tier B,missing_required,,,,,,,missing_required(필수 누락),,,,,
