queue_id,priority,workstream,candidate_alias,candidate_id,candidate_role,source_profile,target_period,target_split,hypothesis,decision_use,comparison_baseline,control_variables,changed_variables,sample_scope,success_criteria,failure_criteria,invalid_conditions,stop_conditions,evidence_plan,materialization_instruction,claim_boundary
run267bw_q00_directional_asymmetry_prune_receipt,P0,prune_receipt,pool_wide,all_baseline_candidates,diagnostic_only,directional_asymmetry,not_applicable,design_only,directional_asymmetry(방향 비대칭)는 독립 분기로는 약하고 진단 축으로만 가치가 있다.,같은 독립 방향 비대칭 실행을 반복하지 않게 막는다.,run267BU directional_asymmetry profile summary,same FPMarkets US100 M5 source(동일 FPMarkets US100 M5 원천); same candidate pool identity(동일 후보군 정체성); same MT5 tester/report parser where available(가능한 동일 MT5 테스터/보고서 파서); no selected candidate(선택 후보 없음); no ONNX(ONNX 없음),none; prune receipt(가지치기 영수증)만 남김,run267BU evidence only(267BU 근거 전용),negative result register(부정 결과 등록부)와 failure memory(실패 기억)에 반복 금지 조건이 남는다.,다음 물질화가 방향 비대칭을 다시 독립 후보처럼 실행한다.,run267BU source artifacts(원천 산출물)가 누락되거나 parser check(파서 확인)가 불일치한다.,즉시 종료. 이 큐는 MT5 실행 대상이 아니다.,feature/model/set/ini manifests(피처/모델/설정/초기화 목록); MT5 reports(MT5 보고서); trade_records(거래 기록); curve diagnostics(곡선 진단); time-slice KPI(시간 구간 핵심 성과 지표); parser checks(파서 확인); lineage(계보); ledgers(장부),MT5 attempt(MT5 시도)를 만들지 말고 prune receipt(가지치기 영수증)로만 소비한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267bw_q01_s258_stc_2023h2_aggressive_impulse_period_pressure,P0,aggressive_impulse_cross_period_pressure,s258_stc,s258_short_tight_control,stress_challenger,aggressive_impulse_replacement,2023H2,adjacent_pre_2024_strength_check,"공격형 임펄스 대체(aggressive impulse replacement, 공격형 임펄스 대체)가 2024 전용 주머니가 아니라면 인접 기간에서도 PF/DD(수익 팩터/손실폭)가 같이 버텨야 한다.","top-three aggressive clue(상위 3개 공격형 단서)를 계속 밀지, 실패 기억으로 낮출지 결정한다.",run267BU 2024 aggressive impulse candidate profile,same FPMarkets US100 M5 source(동일 FPMarkets US100 M5 원천); same candidate pool identity(동일 후보군 정체성); same MT5 tester/report parser where available(가능한 동일 MT5 테스터/보고서 파서); no selected candidate(선택 후보 없음); no ONNX(ONNX 없음),period stress(기간 압박) only; no calendar blacklist(달력 블랙리스트 없음); no defensive filter stacking(방어 필터 덧붙이기 없음),Tier A first(티어 A 우선) 2023H2; Tier B fallback(티어 B 대체)은 true fallback manifest(실제 대체 목록) 전까지 blocked(차단),"trade_count(거래 수)가 얇지 않고 PF(수익 팩터)>1.15, report DD(보고서 손실폭)<28%, worst month(최악 월) 손실이 run267BU보다 줄어든다.",PF(수익 팩터)가 1.0 근처로 얇거나 DD(손실폭)가 35% 이상 유지되거나 한 달/요일/중간 구간이 손실을 지배한다.,"feature frame(피처 프레임), score table(점수표), set/ini(설정/초기화), report(보고서), parser(파서) 중 하나가 연결되지 않는다.",한 번의 materialization/execution/review(물질화/실행/검토) 루프 후 확장 기간이 깨지면 이 공격형 분기를 낮춘다.,feature/model/set/ini manifests(피처/모델/설정/초기화 목록); MT5 reports(MT5 보고서); trade_records(거래 기록); curve diagnostics(곡선 진단); time-slice KPI(시간 구간 핵심 성과 지표); parser checks(파서 확인); lineage(계보); ledgers(장부),run267BS aggressive impulse profile(공격형 임펄스 프로필)을 period frame(기간 프레임)에 재구성해 MT5 attempt(MT5 시도)를 만든다. 불가능하면 blocked(차단)로 기록한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267bw_q01_s258_stc_2025h1_aggressive_impulse_period_pressure,P0,aggressive_impulse_cross_period_pressure,s258_stc,s258_short_tight_control,stress_challenger,aggressive_impulse_replacement,2025H1,adjacent_post_2024_forward_pressure,"공격형 임펄스 대체(aggressive impulse replacement, 공격형 임펄스 대체)가 2024 전용 주머니가 아니라면 인접 기간에서도 PF/DD(수익 팩터/손실폭)가 같이 버텨야 한다.","top-three aggressive clue(상위 3개 공격형 단서)를 계속 밀지, 실패 기억으로 낮출지 결정한다.",run267BU 2024 aggressive impulse candidate profile,same FPMarkets US100 M5 source(동일 FPMarkets US100 M5 원천); same candidate pool identity(동일 후보군 정체성); same MT5 tester/report parser where available(가능한 동일 MT5 테스터/보고서 파서); no selected candidate(선택 후보 없음); no ONNX(ONNX 없음),period stress(기간 압박) only; no calendar blacklist(달력 블랙리스트 없음); no defensive filter stacking(방어 필터 덧붙이기 없음),Tier A first(티어 A 우선) 2025H1; Tier B fallback(티어 B 대체)은 true fallback manifest(실제 대체 목록) 전까지 blocked(차단),"trade_count(거래 수)가 얇지 않고 PF(수익 팩터)>1.15, report DD(보고서 손실폭)<28%, worst month(최악 월) 손실이 run267BU보다 줄어든다.",PF(수익 팩터)가 1.0 근처로 얇거나 DD(손실폭)가 35% 이상 유지되거나 한 달/요일/중간 구간이 손실을 지배한다.,"feature frame(피처 프레임), score table(점수표), set/ini(설정/초기화), report(보고서), parser(파서) 중 하나가 연결되지 않는다.",한 번의 materialization/execution/review(물질화/실행/검토) 루프 후 확장 기간이 깨지면 이 공격형 분기를 낮춘다.,feature/model/set/ini manifests(피처/모델/설정/초기화 목록); MT5 reports(MT5 보고서); trade_records(거래 기록); curve diagnostics(곡선 진단); time-slice KPI(시간 구간 핵심 성과 지표); parser checks(파서 확인); lineage(계보); ledgers(장부),run267BS aggressive impulse profile(공격형 임펄스 프로필)을 period frame(기간 프레임)에 재구성해 MT5 attempt(MT5 시도)를 만든다. 불가능하면 blocked(차단)로 기록한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267bw_q01_s258_stc_2025h2_aggressive_impulse_period_pressure,P0,aggressive_impulse_cross_period_pressure,s258_stc,s258_short_tight_control,stress_challenger,aggressive_impulse_replacement,2025H2,late_oos_forward_pressure,"공격형 임펄스 대체(aggressive impulse replacement, 공격형 임펄스 대체)가 2024 전용 주머니가 아니라면 인접 기간에서도 PF/DD(수익 팩터/손실폭)가 같이 버텨야 한다.","top-three aggressive clue(상위 3개 공격형 단서)를 계속 밀지, 실패 기억으로 낮출지 결정한다.",run267BU 2024 aggressive impulse candidate profile,same FPMarkets US100 M5 source(동일 FPMarkets US100 M5 원천); same candidate pool identity(동일 후보군 정체성); same MT5 tester/report parser where available(가능한 동일 MT5 테스터/보고서 파서); no selected candidate(선택 후보 없음); no ONNX(ONNX 없음),period stress(기간 압박) only; no calendar blacklist(달력 블랙리스트 없음); no defensive filter stacking(방어 필터 덧붙이기 없음),Tier A first(티어 A 우선) 2025H2; Tier B fallback(티어 B 대체)은 true fallback manifest(실제 대체 목록) 전까지 blocked(차단),"trade_count(거래 수)가 얇지 않고 PF(수익 팩터)>1.15, report DD(보고서 손실폭)<28%, worst month(최악 월) 손실이 run267BU보다 줄어든다.",PF(수익 팩터)가 1.0 근처로 얇거나 DD(손실폭)가 35% 이상 유지되거나 한 달/요일/중간 구간이 손실을 지배한다.,"feature frame(피처 프레임), score table(점수표), set/ini(설정/초기화), report(보고서), parser(파서) 중 하나가 연결되지 않는다.",한 번의 materialization/execution/review(물질화/실행/검토) 루프 후 확장 기간이 깨지면 이 공격형 분기를 낮춘다.,feature/model/set/ini manifests(피처/모델/설정/초기화 목록); MT5 reports(MT5 보고서); trade_records(거래 기록); curve diagnostics(곡선 진단); time-slice KPI(시간 구간 핵심 성과 지표); parser checks(파서 확인); lineage(계보); ledgers(장부),run267BS aggressive impulse profile(공격형 임펄스 프로필)을 period frame(기간 프레임)에 재구성해 MT5 attempt(MT5 시도)를 만든다. 불가능하면 blocked(차단)로 기록한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267bw_q01_s264_aih_2023h2_aggressive_impulse_period_pressure,P0,aggressive_impulse_cross_period_pressure,s264_aih,s264_allow_inner_high_quarter,challenger_core,aggressive_impulse_replacement,2023H2,adjacent_pre_2024_strength_check,"공격형 임펄스 대체(aggressive impulse replacement, 공격형 임펄스 대체)가 2024 전용 주머니가 아니라면 인접 기간에서도 PF/DD(수익 팩터/손실폭)가 같이 버텨야 한다.","top-three aggressive clue(상위 3개 공격형 단서)를 계속 밀지, 실패 기억으로 낮출지 결정한다.",run267BU 2024 aggressive impulse candidate profile,same FPMarkets US100 M5 source(동일 FPMarkets US100 M5 원천); same candidate pool identity(동일 후보군 정체성); same MT5 tester/report parser where available(가능한 동일 MT5 테스터/보고서 파서); no selected candidate(선택 후보 없음); no ONNX(ONNX 없음),period stress(기간 압박) only; no calendar blacklist(달력 블랙리스트 없음); no defensive filter stacking(방어 필터 덧붙이기 없음),Tier A first(티어 A 우선) 2023H2; Tier B fallback(티어 B 대체)은 true fallback manifest(실제 대체 목록) 전까지 blocked(차단),"trade_count(거래 수)가 얇지 않고 PF(수익 팩터)>1.15, report DD(보고서 손실폭)<28%, worst month(최악 월) 손실이 run267BU보다 줄어든다.",PF(수익 팩터)가 1.0 근처로 얇거나 DD(손실폭)가 35% 이상 유지되거나 한 달/요일/중간 구간이 손실을 지배한다.,"feature frame(피처 프레임), score table(점수표), set/ini(설정/초기화), report(보고서), parser(파서) 중 하나가 연결되지 않는다.",한 번의 materialization/execution/review(물질화/실행/검토) 루프 후 확장 기간이 깨지면 이 공격형 분기를 낮춘다.,feature/model/set/ini manifests(피처/모델/설정/초기화 목록); MT5 reports(MT5 보고서); trade_records(거래 기록); curve diagnostics(곡선 진단); time-slice KPI(시간 구간 핵심 성과 지표); parser checks(파서 확인); lineage(계보); ledgers(장부),run267BS aggressive impulse profile(공격형 임펄스 프로필)을 period frame(기간 프레임)에 재구성해 MT5 attempt(MT5 시도)를 만든다. 불가능하면 blocked(차단)로 기록한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267bw_q01_s264_aih_2025h1_aggressive_impulse_period_pressure,P0,aggressive_impulse_cross_period_pressure,s264_aih,s264_allow_inner_high_quarter,challenger_core,aggressive_impulse_replacement,2025H1,adjacent_post_2024_forward_pressure,"공격형 임펄스 대체(aggressive impulse replacement, 공격형 임펄스 대체)가 2024 전용 주머니가 아니라면 인접 기간에서도 PF/DD(수익 팩터/손실폭)가 같이 버텨야 한다.","top-three aggressive clue(상위 3개 공격형 단서)를 계속 밀지, 실패 기억으로 낮출지 결정한다.",run267BU 2024 aggressive impulse candidate profile,same FPMarkets US100 M5 source(동일 FPMarkets US100 M5 원천); same candidate pool identity(동일 후보군 정체성); same MT5 tester/report parser where available(가능한 동일 MT5 테스터/보고서 파서); no selected candidate(선택 후보 없음); no ONNX(ONNX 없음),period stress(기간 압박) only; no calendar blacklist(달력 블랙리스트 없음); no defensive filter stacking(방어 필터 덧붙이기 없음),Tier A first(티어 A 우선) 2025H1; Tier B fallback(티어 B 대체)은 true fallback manifest(실제 대체 목록) 전까지 blocked(차단),"trade_count(거래 수)가 얇지 않고 PF(수익 팩터)>1.15, report DD(보고서 손실폭)<28%, worst month(최악 월) 손실이 run267BU보다 줄어든다.",PF(수익 팩터)가 1.0 근처로 얇거나 DD(손실폭)가 35% 이상 유지되거나 한 달/요일/중간 구간이 손실을 지배한다.,"feature frame(피처 프레임), score table(점수표), set/ini(설정/초기화), report(보고서), parser(파서) 중 하나가 연결되지 않는다.",한 번의 materialization/execution/review(물질화/실행/검토) 루프 후 확장 기간이 깨지면 이 공격형 분기를 낮춘다.,feature/model/set/ini manifests(피처/모델/설정/초기화 목록); MT5 reports(MT5 보고서); trade_records(거래 기록); curve diagnostics(곡선 진단); time-slice KPI(시간 구간 핵심 성과 지표); parser checks(파서 확인); lineage(계보); ledgers(장부),run267BS aggressive impulse profile(공격형 임펄스 프로필)을 period frame(기간 프레임)에 재구성해 MT5 attempt(MT5 시도)를 만든다. 불가능하면 blocked(차단)로 기록한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267bw_q01_s264_aih_2025h2_aggressive_impulse_period_pressure,P0,aggressive_impulse_cross_period_pressure,s264_aih,s264_allow_inner_high_quarter,challenger_core,aggressive_impulse_replacement,2025H2,late_oos_forward_pressure,"공격형 임펄스 대체(aggressive impulse replacement, 공격형 임펄스 대체)가 2024 전용 주머니가 아니라면 인접 기간에서도 PF/DD(수익 팩터/손실폭)가 같이 버텨야 한다.","top-three aggressive clue(상위 3개 공격형 단서)를 계속 밀지, 실패 기억으로 낮출지 결정한다.",run267BU 2024 aggressive impulse candidate profile,same FPMarkets US100 M5 source(동일 FPMarkets US100 M5 원천); same candidate pool identity(동일 후보군 정체성); same MT5 tester/report parser where available(가능한 동일 MT5 테스터/보고서 파서); no selected candidate(선택 후보 없음); no ONNX(ONNX 없음),period stress(기간 압박) only; no calendar blacklist(달력 블랙리스트 없음); no defensive filter stacking(방어 필터 덧붙이기 없음),Tier A first(티어 A 우선) 2025H2; Tier B fallback(티어 B 대체)은 true fallback manifest(실제 대체 목록) 전까지 blocked(차단),"trade_count(거래 수)가 얇지 않고 PF(수익 팩터)>1.15, report DD(보고서 손실폭)<28%, worst month(최악 월) 손실이 run267BU보다 줄어든다.",PF(수익 팩터)가 1.0 근처로 얇거나 DD(손실폭)가 35% 이상 유지되거나 한 달/요일/중간 구간이 손실을 지배한다.,"feature frame(피처 프레임), score table(점수표), set/ini(설정/초기화), report(보고서), parser(파서) 중 하나가 연결되지 않는다.",한 번의 materialization/execution/review(물질화/실행/검토) 루프 후 확장 기간이 깨지면 이 공격형 분기를 낮춘다.,feature/model/set/ini manifests(피처/모델/설정/초기화 목록); MT5 reports(MT5 보고서); trade_records(거래 기록); curve diagnostics(곡선 진단); time-slice KPI(시간 구간 핵심 성과 지표); parser checks(파서 확인); lineage(계보); ledgers(장부),run267BS aggressive impulse profile(공격형 임펄스 프로필)을 period frame(기간 프레임)에 재구성해 MT5 attempt(MT5 시도)를 만든다. 불가능하면 blocked(차단)로 기록한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267bw_q01_s264_aia_2023h2_aggressive_impulse_period_pressure,P0,aggressive_impulse_cross_period_pressure,s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,aggressive_impulse_replacement,2023H2,adjacent_pre_2024_strength_check,"공격형 임펄스 대체(aggressive impulse replacement, 공격형 임펄스 대체)가 2024 전용 주머니가 아니라면 인접 기간에서도 PF/DD(수익 팩터/손실폭)가 같이 버텨야 한다.","top-three aggressive clue(상위 3개 공격형 단서)를 계속 밀지, 실패 기억으로 낮출지 결정한다.",run267BU 2024 aggressive impulse candidate profile,same FPMarkets US100 M5 source(동일 FPMarkets US100 M5 원천); same candidate pool identity(동일 후보군 정체성); same MT5 tester/report parser where available(가능한 동일 MT5 테스터/보고서 파서); no selected candidate(선택 후보 없음); no ONNX(ONNX 없음),period stress(기간 압박) only; no calendar blacklist(달력 블랙리스트 없음); no defensive filter stacking(방어 필터 덧붙이기 없음),Tier A first(티어 A 우선) 2023H2; Tier B fallback(티어 B 대체)은 true fallback manifest(실제 대체 목록) 전까지 blocked(차단),"trade_count(거래 수)가 얇지 않고 PF(수익 팩터)>1.15, report DD(보고서 손실폭)<28%, worst month(최악 월) 손실이 run267BU보다 줄어든다.",PF(수익 팩터)가 1.0 근처로 얇거나 DD(손실폭)가 35% 이상 유지되거나 한 달/요일/중간 구간이 손실을 지배한다.,"feature frame(피처 프레임), score table(점수표), set/ini(설정/초기화), report(보고서), parser(파서) 중 하나가 연결되지 않는다.",한 번의 materialization/execution/review(물질화/실행/검토) 루프 후 확장 기간이 깨지면 이 공격형 분기를 낮춘다.,feature/model/set/ini manifests(피처/모델/설정/초기화 목록); MT5 reports(MT5 보고서); trade_records(거래 기록); curve diagnostics(곡선 진단); time-slice KPI(시간 구간 핵심 성과 지표); parser checks(파서 확인); lineage(계보); ledgers(장부),run267BS aggressive impulse profile(공격형 임펄스 프로필)을 period frame(기간 프레임)에 재구성해 MT5 attempt(MT5 시도)를 만든다. 불가능하면 blocked(차단)로 기록한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267bw_q01_s264_aia_2025h1_aggressive_impulse_period_pressure,P0,aggressive_impulse_cross_period_pressure,s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,aggressive_impulse_replacement,2025H1,adjacent_post_2024_forward_pressure,"공격형 임펄스 대체(aggressive impulse replacement, 공격형 임펄스 대체)가 2024 전용 주머니가 아니라면 인접 기간에서도 PF/DD(수익 팩터/손실폭)가 같이 버텨야 한다.","top-three aggressive clue(상위 3개 공격형 단서)를 계속 밀지, 실패 기억으로 낮출지 결정한다.",run267BU 2024 aggressive impulse candidate profile,same FPMarkets US100 M5 source(동일 FPMarkets US100 M5 원천); same candidate pool identity(동일 후보군 정체성); same MT5 tester/report parser where available(가능한 동일 MT5 테스터/보고서 파서); no selected candidate(선택 후보 없음); no ONNX(ONNX 없음),period stress(기간 압박) only; no calendar blacklist(달력 블랙리스트 없음); no defensive filter stacking(방어 필터 덧붙이기 없음),Tier A first(티어 A 우선) 2025H1; Tier B fallback(티어 B 대체)은 true fallback manifest(실제 대체 목록) 전까지 blocked(차단),"trade_count(거래 수)가 얇지 않고 PF(수익 팩터)>1.15, report DD(보고서 손실폭)<28%, worst month(최악 월) 손실이 run267BU보다 줄어든다.",PF(수익 팩터)가 1.0 근처로 얇거나 DD(손실폭)가 35% 이상 유지되거나 한 달/요일/중간 구간이 손실을 지배한다.,"feature frame(피처 프레임), score table(점수표), set/ini(설정/초기화), report(보고서), parser(파서) 중 하나가 연결되지 않는다.",한 번의 materialization/execution/review(물질화/실행/검토) 루프 후 확장 기간이 깨지면 이 공격형 분기를 낮춘다.,feature/model/set/ini manifests(피처/모델/설정/초기화 목록); MT5 reports(MT5 보고서); trade_records(거래 기록); curve diagnostics(곡선 진단); time-slice KPI(시간 구간 핵심 성과 지표); parser checks(파서 확인); lineage(계보); ledgers(장부),run267BS aggressive impulse profile(공격형 임펄스 프로필)을 period frame(기간 프레임)에 재구성해 MT5 attempt(MT5 시도)를 만든다. 불가능하면 blocked(차단)로 기록한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267bw_q01_s264_aia_2025h2_aggressive_impulse_period_pressure,P0,aggressive_impulse_cross_period_pressure,s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,aggressive_impulse_replacement,2025H2,late_oos_forward_pressure,"공격형 임펄스 대체(aggressive impulse replacement, 공격형 임펄스 대체)가 2024 전용 주머니가 아니라면 인접 기간에서도 PF/DD(수익 팩터/손실폭)가 같이 버텨야 한다.","top-three aggressive clue(상위 3개 공격형 단서)를 계속 밀지, 실패 기억으로 낮출지 결정한다.",run267BU 2024 aggressive impulse candidate profile,same FPMarkets US100 M5 source(동일 FPMarkets US100 M5 원천); same candidate pool identity(동일 후보군 정체성); same MT5 tester/report parser where available(가능한 동일 MT5 테스터/보고서 파서); no selected candidate(선택 후보 없음); no ONNX(ONNX 없음),period stress(기간 압박) only; no calendar blacklist(달력 블랙리스트 없음); no defensive filter stacking(방어 필터 덧붙이기 없음),Tier A first(티어 A 우선) 2025H2; Tier B fallback(티어 B 대체)은 true fallback manifest(실제 대체 목록) 전까지 blocked(차단),"trade_count(거래 수)가 얇지 않고 PF(수익 팩터)>1.15, report DD(보고서 손실폭)<28%, worst month(최악 월) 손실이 run267BU보다 줄어든다.",PF(수익 팩터)가 1.0 근처로 얇거나 DD(손실폭)가 35% 이상 유지되거나 한 달/요일/중간 구간이 손실을 지배한다.,"feature frame(피처 프레임), score table(점수표), set/ini(설정/초기화), report(보고서), parser(파서) 중 하나가 연결되지 않는다.",한 번의 materialization/execution/review(물질화/실행/검토) 루프 후 확장 기간이 깨지면 이 공격형 분기를 낮춘다.,feature/model/set/ini manifests(피처/모델/설정/초기화 목록); MT5 reports(MT5 보고서); trade_records(거래 기록); curve diagnostics(곡선 진단); time-slice KPI(시간 구간 핵심 성과 지표); parser checks(파서 확인); lineage(계보); ledgers(장부),run267BS aggressive impulse profile(공격형 임펄스 프로필)을 period frame(기간 프레임)에 재구성해 MT5 attempt(MT5 시도)를 만든다. 불가능하면 blocked(차단)로 기록한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
