candidate_alias,candidate_role,source_axis,role_scope,followup_variant,followup_decision,execution_scope,decision_reason,run267d_net_profit,run267d_profit_factor,run267d_trade_count,run267d_equity_dd_percent,weakest_month,weakest_month_net,weakest_hour_utc,weakest_hour_net,weakest_chron_segment,weakest_chron_net,source_feature_path,source_model_path,followup_feature_path,followup_model_path,common_feature_path,common_model_path,total_signal_rows,blocked_signal_rows,kept_signal_rows,signal_retention,feature_order_hash,attempts_planned,claim_boundary
s264_aih,challenger_core,late21,adapter_prototype,late21,carry_late21_as_adapter_control_reference,design_only,"late21(후반 21시)은 DD(drawdown, 손실폭)가 상대적으로 낮아 Adapter prototype(어댑터 원형) 관찰축으로 유지하지만, 새 시도보다 run267D(267D 실행) 결과를 control reference(대조 참고)로 쓴다.",198.2,1.122222,312,22.86,2024-12,-88.07,16,-26.1,chron_mid,-29.56,OPV2/s267d/run267D_adapter_p2/late21/s264_aih/features/s264_aih_late21.csv,OPV2/s267d/run267D_adapter_p2/late21/s264_aih/models/s264_aih_late21_model.csv,,,,,,,,,2ab2c67dfb3005122906ff74808ec5571664937452c2a529c153bba5c78f7e24,0,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
s264_lc,defensive_control,late21,adapter_prototype,late21,carry_late21_as_adapter_control_reference,design_only,"late21(후반 21시)은 DD(drawdown, 손실폭)가 상대적으로 낮아 Adapter prototype(어댑터 원형) 관찰축으로 유지하지만, 새 시도보다 run267D(267D 실행) 결과를 control reference(대조 참고)로 쓴다.",173.26,1.110259,309,22.86,2024-12,-84.54,16,-35.49,chron_mid,-74.05,OPV2/s267d/run267D_adapter_p2/late21/s264_lc/features/s264_lc_late21.csv,OPV2/s267d/run267D_adapter_p2/late21/s264_lc/models/s264_lc_late21_model.csv,,,,,,,,,57802ff8452e88002fcc25324198176680451bd754d1ed7eac425aba5090a0d8,0,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
s262_lih,validation_heavy,late21,adapter_prototype,late21,carry_late21_as_adapter_control_reference,design_only,"late21(후반 21시)은 DD(drawdown, 손실폭)가 상대적으로 낮아 Adapter prototype(어댑터 원형) 관찰축으로 유지하지만, 새 시도보다 run267D(267D 실행) 결과를 control reference(대조 참고)로 쓴다.",142.76,1.090721,311,25.89,2024-07,-95.91,16,-66.83,chron_mid,-88.16,OPV2/s267d/run267D_adapter_p2/late21/s262_lih/features/s262_lih_late21.csv,OPV2/s267d/run267D_adapter_p2/late21/s262_lih/models/s262_lih_late21_model.csv,,,,,,,,,4f64f17683b280455b32178290469759d37c1ac5c966d9c556def888cbfd04de,0,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
s258_stc,stress_challenger,late21,adapter_prototype,late21,carry_late21_as_adapter_control_reference,design_only,"late21(후반 21시)은 DD(drawdown, 손실폭)가 상대적으로 낮아 Adapter prototype(어댑터 원형) 관찰축으로 유지하지만, 새 시도보다 run267D(267D 실행) 결과를 control reference(대조 참고)로 쓴다.",190.46,1.105067,332,26.42,2024-07,-101.06,16,-79.64,chron_mid,-40.34,OPV2/s267d/run267D_adapter_p2/late21/s258_stc/features/s258_stc_late21.csv,OPV2/s267d/run267D_adapter_p2/late21/s258_stc/models/s258_stc_late21_model.csv,,,,,,,,,d236bdaee097504348693024cb9d469fa84f770a110e737e9670568b296d9c37,0,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
s264_aia,oos_anchor,late21,adapter_prototype,late21,carry_late21_as_adapter_control_reference,design_only,"late21(후반 21시)은 DD(drawdown, 손실폭)가 상대적으로 낮아 Adapter prototype(어댑터 원형) 관찰축으로 유지하지만, 새 시도보다 run267D(267D 실행) 결과를 control reference(대조 참고)로 쓴다.",189.67,1.117835,313,22.88,2024-12,-87.91,16,-31.87,chron_mid,-22.64,OPV2/s267d/run267D_adapter_p2/late21/s264_aia/features/s264_aia_late21.csv,OPV2/s267d/run267D_adapter_p2/late21/s264_aia/models/s264_aia_late21_model.csv,,,,,,,,,7647698b6fb69ce378e689021a9ffa86d076e6083ed493d66159b75799582469,0,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
s264_aih,challenger_core,atrcomp,p2_replacement,atrcomp_monday_guard,materialize_atrcomp_monday_guard,attempt_planned,"run267D에서 atrcomp(ATR 압축 대체)는 순수익이 건설적이지만 Monday(월요일) 약점이 후보 전체에 반복되어 entry weekday guard(진입 요일 방어)를 실제 MT5(MetaTrader 5, 메타트레이더5) 재실행 묶음으로 확인한다.",269.2,1.16028,314,28.73,2024-07,-82.56,12,-64.25,chron_mid,-111.34,OPV2/s267d/run267D_adapter_p2/atrcomp/s264_aih/features/s264_aih_atrcomp.csv,OPV2/s267d/run267D_adapter_p2/atrcomp/s264_aih/models/s264_aih_atrcomp_model.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267E/adapter_p2_followup_design/atrcomp_monday_guard/s264_aih/features/s264_aih_atrcomp_nomonday.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267E/adapter_p2_followup_design/atrcomp_monday_guard/s264_aih/models/s264_aih_atrcomp_nomonday_model.csv,OPV2/s267e/run267E_adapter_p2_followup/atrmon/s264_aih/features/s264_aih_atrcomp_nomonday.csv,OPV2/s267e/run267E_adapter_p2_followup/atrmon/s264_aih/models/s264_aih_atrcomp_nomonday_model.csv,446,83,363,0.813901345291,2ab2c67dfb3005122906ff74808ec5571664937452c2a529c153bba5c78f7e24,2,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
s264_aia,oos_anchor,atrcomp,p2_replacement,atrcomp_monday_guard,materialize_atrcomp_monday_guard,attempt_planned,"run267D에서 atrcomp(ATR 압축 대체)는 순수익이 건설적이지만 Monday(월요일) 약점이 후보 전체에 반복되어 entry weekday guard(진입 요일 방어)를 실제 MT5(MetaTrader 5, 메타트레이더5) 재실행 묶음으로 확인한다.",261.08,1.156383,315,28.89,2024-07,-84.18,12,-64.25,chron_mid,-126.69,OPV2/s267d/run267D_adapter_p2/atrcomp/s264_aia/features/s264_aia_atrcomp.csv,OPV2/s267d/run267D_adapter_p2/atrcomp/s264_aia/models/s264_aia_atrcomp_model.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267E/adapter_p2_followup_design/atrcomp_monday_guard/s264_aia/features/s264_aia_atrcomp_nomonday.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267E/adapter_p2_followup_design/atrcomp_monday_guard/s264_aia/models/s264_aia_atrcomp_nomonday_model.csv,OPV2/s267e/run267E_adapter_p2_followup/atrmon/s264_aia/features/s264_aia_atrcomp_nomonday.csv,OPV2/s267e/run267E_adapter_p2_followup/atrmon/s264_aia/models/s264_aia_atrcomp_nomonday_model.csv,446,83,363,0.813901345291,7647698b6fb69ce378e689021a9ffa86d076e6083ed493d66159b75799582469,2,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
s258_stc,stress_challenger,atrcomp,p2_replacement,atrcomp_monday_guard,materialize_atrcomp_monday_guard,attempt_planned,"run267D에서 atrcomp(ATR 압축 대체)는 순수익이 건설적이지만 Monday(월요일) 약점이 후보 전체에 반복되어 entry weekday guard(진입 요일 방어)를 실제 MT5(MetaTrader 5, 메타트레이더5) 재실행 묶음으로 확인한다.",260.91,1.138808,334,29.99,2024-07,-102.49,12,-67.74,chron_mid,-131.31,OPV2/s267d/run267D_adapter_p2/atrcomp/s258_stc/features/s258_stc_atrcomp.csv,OPV2/s267d/run267D_adapter_p2/atrcomp/s258_stc/models/s258_stc_atrcomp_model.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267E/adapter_p2_followup_design/atrcomp_monday_guard/s258_stc/features/s258_stc_atrcomp_nomonday.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267E/adapter_p2_followup_design/atrcomp_monday_guard/s258_stc/models/s258_stc_atrcomp_nomonday_model.csv,OPV2/s267e/run267E_adapter_p2_followup/atrmon/s258_stc/features/s258_stc_atrcomp_nomonday.csv,OPV2/s267e/run267E_adapter_p2_followup/atrmon/s258_stc/models/s258_stc_atrcomp_nomonday_model.csv,446,83,363,0.813901345291,d236bdaee097504348693024cb9d469fa84f770a110e737e9670568b296d9c37,2,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
s264_lc,defensive_control,atrcomp,p2_replacement,atrcomp_monday_guard,materialize_atrcomp_monday_guard,attempt_planned,"run267D에서 atrcomp(ATR 압축 대체)는 순수익이 건설적이지만 Monday(월요일) 약점이 후보 전체에 반복되어 entry weekday guard(진입 요일 방어)를 실제 MT5(MetaTrader 5, 메타트레이더5) 재실행 묶음으로 확인한다.",240.12,1.147474,311,28.78,2024-07,-80.24,12,-62.97,chron_mid,-125.69,OPV2/s267d/run267D_adapter_p2/atrcomp/s264_lc/features/s264_lc_atrcomp.csv,OPV2/s267d/run267D_adapter_p2/atrcomp/s264_lc/models/s264_lc_atrcomp_model.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267E/adapter_p2_followup_design/atrcomp_monday_guard/s264_lc/features/s264_lc_atrcomp_nomonday.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267E/adapter_p2_followup_design/atrcomp_monday_guard/s264_lc/models/s264_lc_atrcomp_nomonday_model.csv,OPV2/s267e/run267E_adapter_p2_followup/atrmon/s264_lc/features/s264_lc_atrcomp_nomonday.csv,OPV2/s267e/run267E_adapter_p2_followup/atrmon/s264_lc/models/s264_lc_atrcomp_nomonday_model.csv,446,83,363,0.813901345291,57802ff8452e88002fcc25324198176680451bd754d1ed7eac425aba5090a0d8,2,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
s258_stc,stress_challenger,vlowadx,p2_replacement,vlowadx,hold_vlowadx_for_redesign_or_reject,no_attempt,"vlowadx(낮은 변동성+ADX)는 2024-07(2024년 7월)과 chron_mid(중간 시간순 구간) DD(drawdown, 손실폭)가 커서 같은 변형 반복보다 구조 재설계 또는 탈락 검토로 보낸다.",203.28,1.095019,357,39.62,2024-07,-170.21,22,-95.97,chron_mid,-205.89,OPV2/s267d/run267D_adapter_p2/vlowadx/s258_stc/features/s258_stc_vlowadx.csv,OPV2/s267d/run267D_adapter_p2/vlowadx/s258_stc/models/s258_stc_vlowadx_model.csv,,,,,,,,,d236bdaee097504348693024cb9d469fa84f770a110e737e9670568b296d9c37,0,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
s262_lih,validation_heavy,atrcomp,p2_replacement,atrcomp_monday_guard,materialize_atrcomp_monday_guard,attempt_planned,"run267D에서 atrcomp(ATR 압축 대체)는 순수익이 건설적이지만 Monday(월요일) 약점이 후보 전체에 반복되어 entry weekday guard(진입 요일 방어)를 실제 MT5(MetaTrader 5, 메타트레이더5) 재실행 묶음으로 확인한다.",201.92,1.124029,313,30.48,2024-07,-96.78,12,-62.37,chron_mid,-130.02,OPV2/s267d/run267D_adapter_p2/atrcomp/s262_lih/features/s262_lih_atrcomp.csv,OPV2/s267d/run267D_adapter_p2/atrcomp/s262_lih/models/s262_lih_atrcomp_model.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267E/adapter_p2_followup_design/atrcomp_monday_guard/s262_lih/features/s262_lih_atrcomp_nomonday.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267E/adapter_p2_followup_design/atrcomp_monday_guard/s262_lih/models/s262_lih_atrcomp_nomonday_model.csv,OPV2/s267e/run267E_adapter_p2_followup/atrmon/s262_lih/features/s262_lih_atrcomp_nomonday.csv,OPV2/s267e/run267E_adapter_p2_followup/atrmon/s262_lih/models/s262_lih_atrcomp_nomonday_model.csv,446,83,363,0.813901345291,4f64f17683b280455b32178290469759d37c1ac5c966d9c556def888cbfd04de,2,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
s264_aih,challenger_core,vlowadx,p2_replacement,vlowadx,hold_vlowadx_for_redesign_or_reject,no_attempt,"vlowadx(낮은 변동성+ADX)는 2024-07(2024년 7월)과 chron_mid(중간 시간순 구간) DD(drawdown, 손실폭)가 커서 같은 변형 반복보다 구조 재설계 또는 탈락 검토로 보낸다.",196.82,1.108254,334,34.07,2024-07,-105.58,12,-64.08,chron_mid,-142.09,OPV2/s267d/run267D_adapter_p2/vlowadx/s264_aih/features/s264_aih_vlowadx.csv,OPV2/s267d/run267D_adapter_p2/vlowadx/s264_aih/models/s264_aih_vlowadx_model.csv,,,,,,,,,2ab2c67dfb3005122906ff74808ec5571664937452c2a529c153bba5c78f7e24,0,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
s264_aia,oos_anchor,vlowadx,p2_replacement,vlowadx,hold_vlowadx_for_redesign_or_reject,no_attempt,"vlowadx(낮은 변동성+ADX)는 2024-07(2024년 7월)과 chron_mid(중간 시간순 구간) DD(drawdown, 손실폭)가 커서 같은 변형 반복보다 구조 재설계 또는 탈락 검토로 보낸다.",196.82,1.108254,334,34.07,2024-07,-105.58,12,-64.08,chron_mid,-142.09,OPV2/s267d/run267D_adapter_p2/vlowadx/s264_aia/features/s264_aia_vlowadx.csv,OPV2/s267d/run267D_adapter_p2/vlowadx/s264_aia/models/s264_aia_vlowadx_model.csv,,,,,,,,,7647698b6fb69ce378e689021a9ffa86d076e6083ed493d66159b75799582469,0,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
s264_lc,defensive_control,vlowadx,p2_replacement,vlowadx,hold_vlowadx_for_redesign_or_reject,no_attempt,"vlowadx(낮은 변동성+ADX)는 2024-07(2024년 7월)과 chron_mid(중간 시간순 구간) DD(drawdown, 손실폭)가 커서 같은 변형 반복보다 구조 재설계 또는 탈락 검토로 보낸다.",175.16,1.099137,331,34.39,2024-07,-100.37,12,-61.94,chron_mid,-116.41,OPV2/s267d/run267D_adapter_p2/vlowadx/s264_lc/features/s264_lc_vlowadx.csv,OPV2/s267d/run267D_adapter_p2/vlowadx/s264_lc/models/s264_lc_vlowadx_model.csv,,,,,,,,,57802ff8452e88002fcc25324198176680451bd754d1ed7eac425aba5090a0d8,0,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
s262_lih,validation_heavy,vlowadx,p2_replacement,vlowadx,hold_vlowadx_for_redesign_or_reject,no_attempt,"vlowadx(낮은 변동성+ADX)는 2024-07(2024년 7월)과 chron_mid(중간 시간순 구간) DD(drawdown, 손실폭)가 커서 같은 변형 반복보다 구조 재설계 또는 탈락 검토로 보낸다.",142.27,1.080619,333,36.43,2024-07,-116.16,12,-61.35,chron_mid,-136.99,OPV2/s267d/run267D_adapter_p2/vlowadx/s262_lih/features/s262_lih_vlowadx.csv,OPV2/s267d/run267D_adapter_p2/vlowadx/s262_lih/models/s262_lih_vlowadx_model.csv,,,,,,,,,4f64f17683b280455b32178290469759d37c1ac5c966d9c556def888cbfd04de,0,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
