record_view,candidate_alias,candidate_role,source_axis,followup_variant,route_role,axis,bucket,trade_count,net_profit,profit_factor,expectancy,win_rate,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,max_losing_streak
mt5_rt_s258_stc_atrmon_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,atrcomp,atrcomp_monday_guard,routed_total,chron_segment,chron_mid,92,-65.57,0.899076,-0.712717,0.478261,186.5,30.055437,81,5
mt5_rt_s258_stc_atrmon_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,atrcomp,atrcomp_monday_guard,routed_total,chron_segment,chron_late,90,219.73,1.473627,2.441444,0.555556,131.77,17.648635,31,4
mt5_rt_s258_stc_atrmon_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,atrcomp,atrcomp_monday_guard,routed_total,chron_segment,chron_early,92,271.41,1.670479,2.950109,0.543478,88.15,11.365248,27,5
mt5_rt_s258_stc_atrmon_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,atrcomp,atrcomp_monday_guard,routed_total,close_hour_utc,12,2,-40.15,0.0,-20.075,0.0,40.15,8.03,2,2
mt5_rt_s258_stc_atrmon_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,atrcomp,atrcomp_monday_guard,routed_total,close_hour_utc,01,1,-26.52,0.0,-26.52,0.0,26.52,5.304,1,1
mt5_rt_s258_stc_atrmon_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,atrcomp,atrcomp_monday_guard,routed_total,close_hour_utc,09,1,-23.92,0.0,-23.92,0.0,23.92,4.784,1,1
mt5_rt_s258_stc_atrmon_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,atrcomp,atrcomp_monday_guard,routed_total,close_hour_utc,02,1,-21.26,0.0,-21.26,0.0,21.26,4.252,1,1
mt5_rt_s258_stc_atrmon_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,atrcomp,atrcomp_monday_guard,routed_total,close_hour_utc,10,1,-16.24,0.0,-16.24,0.0,16.24,3.248,1,1
mt5_rt_s258_stc_atrmon_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,atrcomp,atrcomp_monday_guard,routed_total,close_hour_utc,19,3,-0.23,0.977799,-0.076667,0.666667,10.36,2.072,3,1
mt5_rt_s258_stc_atrmon_historical_2024_tier_a_train_era_stress,s258_stc,stress_challenger,atrcomp,atrcomp_monday_guard,routed_total,close_hour_utc,20,1,10.69,inf,10.69,1.0,0.0,0.0,0,0
