run_id,queue_rank,queue_id,next_run_id,short_threshold,long_threshold,adx_block_min,max_hold_m5,guardrail_expression,queue_type,hypothesis(가설),required_control(필수 대조),runtime_claim_boundary,claim_boundary(주장 경계)
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,1,baseline_replay_control,run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,0.45,0.0,40.0,8,none(없음),control(대조),exact run364X behavior(364X 동일 동작),"trade_per_day >= 3 and no trade splitting(일 거래 3회 이상, 거래 쪼개기 금지)","proxy_scout_required_no_authority(프록시 탐색 필요, 권위 없음)",research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,2,maxhold6_density_control,run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,0.45,0.0,40.0,6,none(없음),repair_probe(수리 탐침),reduce tail hold(꼬리 보유 축소),"trade_per_day >= 3 and no trade splitting(일 거래 3회 이상, 거래 쪼개기 금지)","proxy_scout_required_no_authority(프록시 탐색 필요, 권위 없음)",research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,3,adx42_pf_control,run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,0.45,0.0,42.0,8,none(없음),repair_probe(수리 탐침),raise ADX block(ADX 차단 상향),"trade_per_day >= 3 and no trade splitting(일 거래 3회 이상, 거래 쪼개기 금지)","proxy_scout_required_no_authority(프록시 탐색 필요, 권위 없음)",research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,4,adx38_density_counterfactual,run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,0.45,0.0,38.0,8,none(없음),counterfactual(대조 반사실),test density/PF tension(밀도/PF 긴장 확인),"trade_per_day >= 3 and no trade splitting(일 거래 3회 이상, 거래 쪼개기 금지)","proxy_scout_required_no_authority(프록시 탐색 필요, 권위 없음)",research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,5,short050_quality_probe,run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,0.5,0.0,40.0,8,short_only_threshold(숏 전용 임계값),repair_probe(수리 탐침),improve short PF(숏 PF 개선),"trade_per_day >= 3 and no trade splitting(일 거래 3회 이상, 거래 쪼개기 금지)","proxy_scout_required_no_authority(프록시 탐색 필요, 권위 없음)",research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,6,short055_quality_probe,run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,0.55,0.0,40.0,8,short_only_threshold(숏 전용 임계값),stress_probe(압박 탐침),strict short quality(엄격 숏 품질),"trade_per_day >= 3 and no trade splitting(일 거래 3회 이상, 거래 쪼개기 금지)","proxy_scout_required_no_authority(프록시 탐색 필요, 권위 없음)",research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,7,hour16_soft_guardrail,run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,0.45,0.0,40.0,8,soft_guard_entry_hour_16(16시 소프트 가드),session_probe(세션 탐침),worst hour repair(최악 시간 수리),"trade_per_day >= 3 and no trade splitting(일 거래 3회 이상, 거래 쪼개기 금지)","proxy_scout_required_no_authority(프록시 탐색 필요, 권위 없음)",research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,8,hour16_maxhold6_guardrail,run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,0.45,0.0,40.0,6,soft_guard_entry_hour_16(16시 소프트 가드),session_probe(세션 탐침),hour16 plus hold repair(16시+보유 수리),"trade_per_day >= 3 and no trade splitting(일 거래 3회 이상, 거래 쪼개기 금지)","proxy_scout_required_no_authority(프록시 탐색 필요, 권위 없음)",research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,9,prevdd_2pct_soft_stop,run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,0.45,0.0,40.0,8,soft_stop_prev_closed_dd_ge_2pct(이전 종료잔고 DD 2% 이상 소프트 중지),account_state_probe(계좌 상태 탐침),drawdown cluster repair(낙폭 군집 수리),"trade_per_day >= 3 and no trade splitting(일 거래 3회 이상, 거래 쪼개기 금지)","proxy_scout_required_no_authority(프록시 탐색 필요, 권위 없음)",research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,10,prevdd_5pct_soft_stop,run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,0.45,0.0,40.0,8,soft_stop_prev_closed_dd_ge_5pct(이전 종료잔고 DD 5% 이상 소프트 중지),account_state_probe(계좌 상태 탐침),deeper drawdown repair(깊은 낙폭 수리),"trade_per_day >= 3 and no trade splitting(일 거래 3회 이상, 거래 쪼개기 금지)","proxy_scout_required_no_authority(프록시 탐색 필요, 권위 없음)",research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,11,short050_hour16_soft_guardrail,run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,0.5,0.0,40.0,8,short_threshold_plus_hour16_soft_guard(숏 임계값+16시 소프트 가드),combined_probe(합성 탐침),combine short/session repair(숏/세션 수리 결합),"trade_per_day >= 3 and no trade splitting(일 거래 3회 이상, 거래 쪼개기 금지)","proxy_scout_required_no_authority(프록시 탐색 필요, 권위 없음)",research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,12,adx42_maxhold6_short050,run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,0.5,0.0,42.0,6,none(없음),combined_probe(합성 탐침),PF/DD neighborhood repair(PF/DD 이웃 수리),"trade_per_day >= 3 and no trade splitting(일 거래 3회 이상, 거래 쪼개기 금지)","proxy_scout_required_no_authority(프록시 탐색 필요, 권위 없음)",research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,13,stress_zone_1,run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,0.45,0.0,40.0,8,entry_hour=16,stress_zone_guardrail_probe(압박 구간 가드레일 탐침),"reduce weak zone entry_hour=16 without breaking density(약한 구간 축소, 밀도 유지)",simple filter proxy must not replace MT5/proxy replay(단순 필터 프록시는 MT5/프록시 재생 대체 금지),"materialized_queue_only_no_authority(대기열 구체화만, 권위 없음)",research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,14,stress_zone_2,run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,0.45,0.0,40.0,8,entry_hour=16|side=short,stress_zone_guardrail_probe(압박 구간 가드레일 탐침),"reduce weak zone entry_hour=16|side=short without breaking density(약한 구간 축소, 밀도 유지)",simple filter proxy must not replace MT5/proxy replay(단순 필터 프록시는 MT5/프록시 재생 대체 금지),"materialized_queue_only_no_authority(대기열 구체화만, 권위 없음)",research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,15,stress_zone_3,run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,0.45,0.0,40.0,8,entry_month=2025-03,stress_zone_guardrail_probe(압박 구간 가드레일 탐침),"reduce weak zone entry_month=2025-03 without breaking density(약한 구간 축소, 밀도 유지)",simple filter proxy must not replace MT5/proxy replay(단순 필터 프록시는 MT5/프록시 재생 대체 금지),"materialized_queue_only_no_authority(대기열 구체화만, 권위 없음)",research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,16,stress_zone_4,run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,0.45,0.0,40.0,8,entry_month=2025-03|side=long,stress_zone_guardrail_probe(압박 구간 가드레일 탐침),"reduce weak zone entry_month=2025-03|side=long without breaking density(약한 구간 축소, 밀도 유지)",simple filter proxy must not replace MT5/proxy replay(단순 필터 프록시는 MT5/프록시 재생 대체 금지),"materialized_queue_only_no_authority(대기열 구체화만, 권위 없음)",research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
