candidate_alias,candidate_id,candidate_role,source_test_id,state_profile,net_profit,profit_factor,trade_count,equity_drawdown_percent,worst_month,worst_month_net,worst_slice_axis,worst_slice_bucket,worst_slice_net,negative_month_count,positive_month_ratio,headline_gate,weak_slice_gate,profile_decision,priority,next_use,stop_rule,reopen_condition,do_not_claim
s258_stc,s258_short_tight_control,stress_challenger,abl_volatility_bandwidth,volatility_regime_expansion,1450.57,1.589948,303,18.01,2024-12,-241.73,weekday,Monday,-394.14,2,0.833333,"pass_for_pressure_design_not_selection(압박 설계 통과, 선택 아님)",fail_severe_slice_hole(심한 구간 구멍 실패),stress_challenger_headline_pressure_only(압박 도전자 대표숫자 압박 전용),P0,stress_test_noncalendar_slice_pressure_before_adapter_watch(어댑터 관찰 전 비달력 구간 압박),stop_or_prune_if_noncalendar_pressure_keeps_Monday_or_2024_12_below_minus_200(비달력 압박 후에도 월요일/2024-12가 -200 아래면 중단 또는 가지치기),reopen_only_if_next_MT5_review_reduces_deep_slice_without_calendar_filter(다음 MT5 검토가 달력 필터 없이 깊은 구간을 줄일 때만 재개),no_selected_candidate_no_ONNX_no_goal_achieve(선택 후보/ONNX/목표 달성 주장 금지)
s258_stc,s258_short_tight_control,stress_challenger,rep_trend_strength_adx,trend_strength_disagreement,1385.53,1.53551,321,18.75,2024-12,-239.82,month,2024-12,-239.82,3,0.75,"pass_for_pressure_design_not_selection(압박 설계 통과, 선택 아님)",fail_deep_slice_hole(깊은 구간 구멍 실패),stress_challenger_headline_pressure_only(압박 도전자 대표숫자 압박 전용),P0,stress_test_noncalendar_slice_pressure_before_adapter_watch(어댑터 관찰 전 비달력 구간 압박),stop_or_prune_if_noncalendar_pressure_keeps_Monday_or_2024_12_below_minus_200(비달력 압박 후에도 월요일/2024-12가 -200 아래면 중단 또는 가지치기),reopen_only_if_next_MT5_review_reduces_deep_slice_without_calendar_filter(다음 MT5 검토가 달력 필터 없이 깊은 구간을 줄일 때만 재개),no_selected_candidate_no_ONNX_no_goal_achieve(선택 후보/ONNX/목표 달성 주장 금지)
s264_aih,s264_allow_inner_high_quarter,challenger_core,rep_volatility_atr,range_expansion_pressure,1297.62,1.637457,312,17.55,2024-12,-270.78,month,2024-12,-270.78,2,0.833333,"pass_for_pressure_design_not_selection(압박 설계 통과, 선택 아님)",fail_deep_slice_hole(깊은 구간 구멍 실패),core_challenger_pressure_required(핵심 도전자 압박 필요),P0,core_challenger_noncalendar_december_monday_pressure(핵심 도전자 비달력 12월/월요일 압박),stop_or_prune_if_noncalendar_pressure_keeps_Monday_or_2024_12_below_minus_200(비달력 압박 후에도 월요일/2024-12가 -200 아래면 중단 또는 가지치기),reopen_only_if_next_MT5_review_reduces_deep_slice_without_calendar_filter(다음 MT5 검토가 달력 필터 없이 깊은 구간을 줄일 때만 재개),no_selected_candidate_no_ONNX_no_goal_achieve(선택 후보/ONNX/목표 달성 주장 금지)
s264_aih,s264_allow_inner_high_quarter,challenger_core,rep_volatility_atr,volatility_regime_expansion,1297.57,1.624916,309,18.54,2024-12,-289.49,month,2024-12,-289.49,2,0.833333,"pass_for_pressure_design_not_selection(압박 설계 통과, 선택 아님)",fail_severe_slice_hole(심한 구간 구멍 실패),core_challenger_pressure_required(핵심 도전자 압박 필요),P0,core_challenger_noncalendar_december_monday_pressure(핵심 도전자 비달력 12월/월요일 압박),stop_or_prune_if_noncalendar_pressure_keeps_Monday_or_2024_12_below_minus_200(비달력 압박 후에도 월요일/2024-12가 -200 아래면 중단 또는 가지치기),reopen_only_if_next_MT5_review_reduces_deep_slice_without_calendar_filter(다음 MT5 검토가 달력 필터 없이 깊은 구간을 줄일 때만 재개),no_selected_candidate_no_ONNX_no_goal_achieve(선택 후보/ONNX/목표 달성 주장 금지)
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,rep_volatility_atr,volatility_regime_expansion,1196.86,1.594598,298,17.89,2024-12,-227.68,weekday,Monday,-283.73,3,0.75,"pass_for_pressure_design_not_selection(압박 설계 통과, 선택 아님)",fail_deep_slice_hole(깊은 구간 구멍 실패),"control_profile_audit_not_adapter_selection(통제 프로필 감사, 어댑터 선택 아님)",P1,control_audit_against_challenger_pressure(도전자 압박 대비 통제 감사),stop_or_prune_if_noncalendar_pressure_keeps_Monday_or_2024_12_below_minus_200(비달력 압박 후에도 월요일/2024-12가 -200 아래면 중단 또는 가지치기),reopen_only_if_next_MT5_review_reduces_deep_slice_without_calendar_filter(다음 MT5 검토가 달력 필터 없이 깊은 구간을 줄일 때만 재개),no_selected_candidate_no_ONNX_no_goal_achieve(선택 후보/ONNX/목표 달성 주장 금지)
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_volatility_atr,volatility_regime_expansion,1167.06,1.587203,305,17.48,2024-12,-220.35,weekday,Monday,-279.0,3,0.75,"pass_for_pressure_design_not_selection(압박 설계 통과, 선택 아님)",fail_deep_slice_hole(깊은 구간 구멍 실패),"constructive_watch_but_no_branch_selection(건설적 관찰, 분기 선택 아님)",P1,watch_only_or_prune_if_next_pressure_fails(관찰 전용 또는 다음 압박 실패 시 가지치기),stop_or_prune_if_noncalendar_pressure_keeps_Monday_or_2024_12_below_minus_200(비달력 압박 후에도 월요일/2024-12가 -200 아래면 중단 또는 가지치기),reopen_only_if_next_MT5_review_reduces_deep_slice_without_calendar_filter(다음 MT5 검토가 달력 필터 없이 깊은 구간을 줄일 때만 재개),no_selected_candidate_no_ONNX_no_goal_achieve(선택 후보/ONNX/목표 달성 주장 금지)
s264_aia,s264_allow_inner_all_oos_anchor,oos_anchor,rep_volatility_atr,range_expansion_pressure,1151.94,1.611336,309,15.07,2024-12,-161.26,weekday,Monday,-278.42,3,0.75,"pass_for_pressure_design_not_selection(압박 설계 통과, 선택 아님)",fail_deep_slice_hole(깊은 구간 구멍 실패),oos_anchor_adapter_watch_if_slice_pressure_survives(구간 압박 생존 시 표본외 앵커 어댑터 관찰),P0,adapter_watch_only_after_slice_gate_improves(구간 게이트 개선 뒤 어댑터 관찰 전용),stop_or_prune_if_noncalendar_pressure_keeps_Monday_or_2024_12_below_minus_200(비달력 압박 후에도 월요일/2024-12가 -200 아래면 중단 또는 가지치기),reopen_only_if_next_MT5_review_reduces_deep_slice_without_calendar_filter(다음 MT5 검토가 달력 필터 없이 깊은 구간을 줄일 때만 재개),no_selected_candidate_no_ONNX_no_goal_achieve(선택 후보/ONNX/목표 달성 주장 금지)
s264_aih,s264_allow_inner_high_quarter,challenger_core,rep_volatility_atr,return_shock_absorption,1145.81,1.586563,317,17.23,2024-12,-245.88,weekday,Monday,-248.98,3,0.75,"pass_for_pressure_design_not_selection(압박 설계 통과, 선택 아님)",fail_deep_slice_hole(깊은 구간 구멍 실패),"constructive_watch_but_no_branch_selection(건설적 관찰, 분기 선택 아님)",P1,watch_only_or_prune_if_next_pressure_fails(관찰 전용 또는 다음 압박 실패 시 가지치기),stop_or_prune_if_noncalendar_pressure_keeps_Monday_or_2024_12_below_minus_200(비달력 압박 후에도 월요일/2024-12가 -200 아래면 중단 또는 가지치기),reopen_only_if_next_MT5_review_reduces_deep_slice_without_calendar_filter(다음 MT5 검토가 달력 필터 없이 깊은 구간을 줄일 때만 재개),no_selected_candidate_no_ONNX_no_goal_achieve(선택 후보/ONNX/목표 달성 주장 금지)
s264_lc,s264_lowrank_control,defensive_control,rep_volatility_atr,volatility_regime_expansion,1145.2,1.573552,309,18.4,2024-12,-258.48,weekday,Monday,-280.51,2,0.833333,"pass_for_pressure_design_not_selection(압박 설계 통과, 선택 아님)",fail_deep_slice_hole(깊은 구간 구멍 실패),"control_profile_audit_not_adapter_selection(통제 프로필 감사, 어댑터 선택 아님)",P1,control_audit_against_challenger_pressure(도전자 압박 대비 통제 감사),stop_or_prune_if_noncalendar_pressure_keeps_Monday_or_2024_12_below_minus_200(비달력 압박 후에도 월요일/2024-12가 -200 아래면 중단 또는 가지치기),reopen_only_if_next_MT5_review_reduces_deep_slice_without_calendar_filter(다음 MT5 검토가 달력 필터 없이 깊은 구간을 줄일 때만 재개),no_selected_candidate_no_ONNX_no_goal_achieve(선택 후보/ONNX/목표 달성 주장 금지)
s262_lih,s262_lowrank_inner_half_filter,validation_heavy,rep_volatility_atr,range_expansion_pressure,1136.4,1.582874,300,17.92,2024-12,-222.02,weekday,Monday,-275.19,3,0.75,"pass_for_pressure_design_not_selection(압박 설계 통과, 선택 아님)",fail_deep_slice_hole(깊은 구간 구멍 실패),"control_profile_audit_not_adapter_selection(통제 프로필 감사, 어댑터 선택 아님)",P1,control_audit_against_challenger_pressure(도전자 압박 대비 통제 감사),stop_or_prune_if_noncalendar_pressure_keeps_Monday_or_2024_12_below_minus_200(비달력 압박 후에도 월요일/2024-12가 -200 아래면 중단 또는 가지치기),reopen_only_if_next_MT5_review_reduces_deep_slice_without_calendar_filter(다음 MT5 검토가 달력 필터 없이 깊은 구간을 줄일 때만 재개),no_selected_candidate_no_ONNX_no_goal_achieve(선택 후보/ONNX/목표 달성 주장 금지)
