requirement_id,required_field,current_status,source_gap,why_required,effect
run267BA_true_fallback_req_01,tier_a_primary_record_id,missing_required,missing_required_before_Tier_A_B_or_actual_routed_total_claim,links Tier A used component row to source attempt,prevents duplicate Tier A+B rows from being treated as actual routed fallback evidence
run267BA_true_fallback_req_02,tier_b_fallback_record_id,missing_required,missing_required_before_Tier_A_B_or_actual_routed_total_claim,links Tier B fallback component row to source attempt,prevents duplicate Tier A+B rows from being treated as actual routed fallback evidence
run267BA_true_fallback_req_03,route_rule_id,missing_required,missing_required_before_Tier_A_B_or_actual_routed_total_claim,names the exact fallback rule instead of a synthetic sum,prevents duplicate Tier A+B rows from being treated as actual routed fallback evidence
run267BA_true_fallback_req_04,fallback_trigger_condition,missing_required,missing_required_before_Tier_A_B_or_actual_routed_total_claim,shows why fallback was used,prevents duplicate Tier A+B rows from being treated as actual routed fallback evidence
run267BA_true_fallback_req_05,fallback_used_count,missing_required,missing_required_before_Tier_A_B_or_actual_routed_total_claim,proves fallback count is nonzero,prevents duplicate Tier A+B rows from being treated as actual routed fallback evidence
run267BA_true_fallback_req_06,component_record_view,missing_required,missing_required_before_Tier_A_B_or_actual_routed_total_claim,keeps Tier A and Tier B rows separable,prevents duplicate Tier A+B rows from being treated as actual routed fallback evidence
run267BA_true_fallback_req_07,actual_routed_total_record_view,missing_required,missing_required_before_Tier_A_B_or_actual_routed_total_claim,separates routed total from component rows,prevents duplicate Tier A+B rows from being treated as actual routed fallback evidence
run267BA_true_fallback_req_08,mt5_set_ini_pair,missing_required,missing_required_before_Tier_A_B_or_actual_routed_total_claim,anchors the Strategy Tester input files,prevents duplicate Tier A+B rows from being treated as actual routed fallback evidence
run267BA_true_fallback_req_09,trade_list_path,missing_required,missing_required_before_Tier_A_B_or_actual_routed_total_claim,anchors the trade-level review,prevents duplicate Tier A+B rows from being treated as actual routed fallback evidence
run267BA_true_fallback_req_10,route_reconciliation_hash,missing_required,missing_required_before_Tier_A_B_or_actual_routed_total_claim,prevents post-hoc route rewriting,prevents duplicate Tier A+B rows from being treated as actual routed fallback evidence
