attempt_name,queue_id,candidate_alias,test_id,tier,attempt_role,set_path,ini_path,readiness,effect
run267w_03_s264_aih_rep_trend_strength_adx_ta_2024,run267W_03_s264_aih_rep_trend_strength_adx,s264_aih,rep_trend_strength_adx,Tier A,tier_only_total,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_03_s264_aih_rep_trend_strength_adx_ta_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_03_s264_aih_rep_trend_strength_adx_ta_2024.ini,ready_as_Tier_A_reference,can seed replacement execution
run267w_03_s264_aih_rep_trend_strength_adx_rt_2024,run267W_03_s264_aih_rep_trend_strength_adx,s264_aih,rep_trend_strength_adx,Tier A+B,routed_total,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_03_s264_aih_rep_trend_strength_adx_rt_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_03_s264_aih_rep_trend_strength_adx_rt_2024.ini,blocked_as_true_fallback_evidence_until_manifest_fields_exist,"kept only as boundary reference, not actual routed total proof"
run267w_04_s264_aih_rep_volatility_atr_ta_2024,run267W_04_s264_aih_rep_volatility_atr,s264_aih,rep_volatility_atr,Tier A,tier_only_total,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_04_s264_aih_rep_volatility_atr_ta_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_04_s264_aih_rep_volatility_atr_ta_2024.ini,ready_as_Tier_A_reference,can seed replacement execution
run267w_04_s264_aih_rep_volatility_atr_rt_2024,run267W_04_s264_aih_rep_volatility_atr,s264_aih,rep_volatility_atr,Tier A+B,routed_total,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_04_s264_aih_rep_volatility_atr_rt_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_04_s264_aih_rep_volatility_atr_rt_2024.ini,blocked_as_true_fallback_evidence_until_manifest_fields_exist,"kept only as boundary reference, not actual routed total proof"
run267w_18_s264_aia_rep_trend_strength_adx_ta_2024,run267W_18_s264_aia_rep_trend_strength_adx,s264_aia,rep_trend_strength_adx,Tier A,tier_only_total,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_18_s264_aia_rep_trend_strength_adx_ta_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_18_s264_aia_rep_trend_strength_adx_ta_2024.ini,ready_as_Tier_A_reference,can seed replacement execution
run267w_18_s264_aia_rep_trend_strength_adx_rt_2024,run267W_18_s264_aia_rep_trend_strength_adx,s264_aia,rep_trend_strength_adx,Tier A+B,routed_total,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_18_s264_aia_rep_trend_strength_adx_rt_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_18_s264_aia_rep_trend_strength_adx_rt_2024.ini,blocked_as_true_fallback_evidence_until_manifest_fields_exist,"kept only as boundary reference, not actual routed total proof"
run267w_19_s264_aia_rep_volatility_atr_ta_2024,run267W_19_s264_aia_rep_volatility_atr,s264_aia,rep_volatility_atr,Tier A,tier_only_total,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_19_s264_aia_rep_volatility_atr_ta_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_19_s264_aia_rep_volatility_atr_ta_2024.ini,ready_as_Tier_A_reference,can seed replacement execution
run267w_19_s264_aia_rep_volatility_atr_rt_2024,run267W_19_s264_aia_rep_volatility_atr,s264_aia,rep_volatility_atr,Tier A+B,routed_total,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_19_s264_aia_rep_volatility_atr_rt_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_19_s264_aia_rep_volatility_atr_rt_2024.ini,blocked_as_true_fallback_evidence_until_manifest_fields_exist,"kept only as boundary reference, not actual routed total proof"
run267w_24_s258_stc_rep_trend_strength_adx_ta_2024,run267W_24_s258_stc_rep_trend_strength_adx,s258_stc,rep_trend_strength_adx,Tier A,tier_only_total,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_24_s258_stc_rep_trend_strength_adx_ta_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_24_s258_stc_rep_trend_strength_adx_ta_2024.ini,ready_as_Tier_A_reference,can seed replacement execution
run267w_24_s258_stc_rep_trend_strength_adx_rt_2024,run267W_24_s258_stc_rep_trend_strength_adx,s258_stc,rep_trend_strength_adx,Tier A+B,routed_total,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_24_s258_stc_rep_trend_strength_adx_rt_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267W/true_internal_ablation_score_table_materialization/mt5/run267w_24_s258_stc_rep_trend_strength_adx_rt_2024.ini,blocked_as_true_fallback_evidence_until_manifest_fields_exist,"kept only as boundary reference, not actual routed total proof"
