attempt_name,artifact_slug,feature_set_id,dimension,proxy_expected_value,timestamp_basis,source_evidence,claim_boundary
m48_bal_rf,m48_bal,macro48_no_equity_breadth_or_top3,feature_ready_count,5553,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336N/timestamp_aligned_proxy_mt5_difference.csv,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,m48_bal,macro48_no_equity_breadth_or_top3,model_ok_count,5553,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336N/timestamp_aligned_proxy_mt5_difference.csv,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,m48_bal,macro48_no_equity_breadth_or_top3,long_count,2056,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336N/timestamp_aligned_proxy_mt5_difference.csv,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,m48_bal,macro48_no_equity_breadth_or_top3,short_count,336,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336N/timestamp_aligned_proxy_mt5_difference.csv,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_bal_rf,m48_bal,macro48_no_equity_breadth_or_top3,flat_count,3161,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336N/timestamp_aligned_proxy_mt5_difference.csv,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,m48_plain,macro48_no_equity_breadth_or_top3,feature_ready_count,5553,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336N/timestamp_aligned_proxy_mt5_difference.csv,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,m48_plain,macro48_no_equity_breadth_or_top3,model_ok_count,5553,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336N/timestamp_aligned_proxy_mt5_difference.csv,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,m48_plain,macro48_no_equity_breadth_or_top3,long_count,2457,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336N/timestamp_aligned_proxy_mt5_difference.csv,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,m48_plain,macro48_no_equity_breadth_or_top3,short_count,160,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336N/timestamp_aligned_proxy_mt5_difference.csv,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
m48_plain_rf,m48_plain,macro48_no_equity_breadth_or_top3,flat_count,2936,feature_rows_intersect_mt5_feature_ready_cycle_bar_time,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336N/timestamp_aligned_proxy_mt5_difference.csv,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
