source_id,artifact_path,role,producer_run,consumer,availability,sha256,lineage_judgment,claim_boundary
run337A_decision,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337A/final_cost_direction_curve_rebuild_packet_design_decision.json,parent design decision,run337A/run336P/run336O/run336N/run336M,run337B_materialize_cost_direction_curve_rebuild_inputs_v1,tracked_or_source_artifact_present,97f82e144748cfcfa3f6c9081fa71f827a13859f50d1a9a2a7ab8c19947fb75d,connected,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337A_branch_design,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337A/cost_direction_curve_branch_design_matrix.csv,branch input,run337A/run336P/run336O/run336N/run336M,run337B_materialize_cost_direction_curve_rebuild_inputs_v1,tracked_or_source_artifact_present,bd7a41f6cce1f91391034475b620344c0feddd0caa99d7cc8877f3d371a853b4,connected,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337A_gate_contract,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337A/cost_direction_curve_gate_contract.csv,gate input,run337A/run336P/run336O/run336N/run336M,run337B_materialize_cost_direction_curve_rebuild_inputs_v1,tracked_or_source_artifact_present,e04e9ed64eccd4db83f1c6308c52593e6bafa9ffb0f36e50563fe8c7e2c46b93,connected,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337A_proxy_contract,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337A/proxy_expected_vs_mt5_runtime_contract.csv,proxy-MT5 input,run337A/run336P/run336O/run336N/run336M,run337B_materialize_cost_direction_curve_rebuild_inputs_v1,tracked_or_source_artifact_present,5c181571cc50d07b2f5fa29baf456e6b7fd550ffd1d0fabe301a1c4d231a34bc,connected,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337A_negative_controls,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337A/no_lookahead_negative_control_matrix.csv,lookahead guard input,run337A/run336P/run336O/run336N/run336M,run337B_materialize_cost_direction_curve_rebuild_inputs_v1,tracked_or_source_artifact_present,4f5bc0cf9344c2605ea2449efc7ca2d15ba15dabd2b7af2d07a7ee13fc90093c,connected,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336P_failure_memory,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336P/stage336_failure_memory_handoff.csv,failure memory source,run337A/run336P/run336O/run336N/run336M,run337B_materialize_cost_direction_curve_rebuild_inputs_v1,tracked_or_source_artifact_present,6f8020a10ba2f3416630d8e44d889d324a5856057bfa9255baf5ea186f8e8c7f,connected,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336O_scorecard,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336O/forward_robustness_scorecard.csv,forward KPI failure source,run337A/run336P/run336O/run336N/run336M,run337B_materialize_cost_direction_curve_rebuild_inputs_v1,tracked_or_source_artifact_present,bb634ec7328bfe0f07111081265388e5d64ec7c63fab5f6868bab15ca3d06738,connected,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336O_summary,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336O/attempt_forward_attribution_summary.csv,MT5 KPI summary source,run337A/run336P/run336O/run336N/run336M,run337B_materialize_cost_direction_curve_rebuild_inputs_v1,tracked_or_source_artifact_present,1f776a5c884c00ebef030bf64e14723e9e3063fc3183f5f2b817038759e5c64b,connected,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336N_proxy_mt5_diff,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336N/timestamp_aligned_proxy_mt5_difference.csv,proxy expected vs MT5 observed source,run337A/run336P/run336O/run336N/run336M,run337B_materialize_cost_direction_curve_rebuild_inputs_v1,tracked_or_source_artifact_present,d9d23ffcc2fda793db140991878ce1d6e5de36da1e4cd6fc21552501dc66afb6,connected,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336N_timestamp_basis,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336N/timestamp_basis_audit.csv,timestamp alignment source,run337A/run336P/run336O/run336N/run336M,run337B_materialize_cost_direction_curve_rebuild_inputs_v1,tracked_or_source_artifact_present,671e3fffb1eb51c5d6a73ea8636f482a262a4337222f95b582ecbddcf06f939b,connected,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
