branch_id,gate_id,required_measurement,acceptance_boundary,failure_memory_trigger,forbidden_shortcut,schema_status,claim_boundary
repair_core56_equity_breadth_refresh,cost_stress_survival,"net/PF/expectancy at base, +0.5, +1.0, +2.0 extra cost per trade",no Forward Passed(전진 통과) unless cost+1.0 survives; +2.0 remains stress evidence,run336O cost+1.0 failed 4/4 attempts,"threshold retune, lot optimization, or spread assumption relaxation",materialized_for_review,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_core56_equity_breadth_refresh,direction_symmetry_attribution,"long_net, short_net, trade counts, side expectancy, side DD",both sides must be reported; side limitation must be predeclared,run336O short side non-positive in 3/4 attempts,post-forward short-side drop,materialized_for_review,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_core56_equity_breadth_refresh,curve_pocket_underwater,"worst window net, longest underwater, recovery factor, DD",no single pocket can break the curve while headline net stays positive,run336O rolling20 worst net <= -50 in 4/4 attempts,calendar or session exclusion selected from failed forward pocket,materialized_for_review,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_core56_equity_breadth_refresh,density_quality_joint_gate,"trades/day, total trades, expectancy, PF, DD together",density must remain useful without degrading cost and curve quality,run336O density existed but KPI broke elsewhere,trade-count-only objective or lot cosmetic repair,materialized_for_review,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_core56_equity_breadth_refresh,regime_slice_stability,"slice net, PF, DD, trade count, concentration",regime analysis may explain but not post-hoc exclude,u42_bal_rf us10yr_change_flat net=-118.94,rate-regime filter selected from run336O failed slice,materialized_for_review,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_core56_equity_breadth_refresh,proxy_mt5_usability,"row-level signal delta, feature-ready delta, trade/KPI delta, usability label",proxy allowed only as signal sanity check unless MT5 runtime agrees,run336N parity usable for signal comparison only,proxy profit authority,materialized_for_review,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_core56_equity_breadth_refresh,feature_handoff_freshness,"latest feature timestamp, broker M5 timestamp, as-of source identity",full-family claims require repaired core56 freshness and parity,core56 equity refresh gap,silent core56 exclusion,materialized_for_review,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_core56_equity_breadth_refresh,no_lookahead_invalidity,"feature-label boundary audit, as-of join audit, negative control rejection",any lookahead evidence invalidates the result before KPI interpretation,look-ahead-bias must not recur,"forward result used to choose threshold, feature, side, or regime filter",materialized_for_review,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_mt5_runtime_contract,cost_stress_survival,"net/PF/expectancy at base, +0.5, +1.0, +2.0 extra cost per trade",no Forward Passed(전진 통과) unless cost+1.0 survives; +2.0 remains stress evidence,run336O cost+1.0 failed 4/4 attempts,"threshold retune, lot optimization, or spread assumption relaxation",materialized_for_review,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_mt5_runtime_contract,direction_symmetry_attribution,"long_net, short_net, trade counts, side expectancy, side DD",both sides must be reported; side limitation must be predeclared,run336O short side non-positive in 3/4 attempts,post-forward short-side drop,materialized_for_review,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
