gate_id,status,observed,expected,effect,claim_boundary
bk_gate_parent_loaded,passed,parent_next=run337BK_materialize_mt5_probe_execution_package_without_db_v1,run337BJ opens run337BK(337BJ가 337BK를 엶),blocks actual MT5 execution unless package identity and no-lookahead gates are reviewed(패키지 정체성과 미래참조 방지 게이트 검토 전 실제 MT5 실행 차단),research_development_only_stage337BK_mt5_probe_execution_package_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bk_gate_parent_gates_passed,passed,parent_gates=14/14;audit=14/14,run337BJ all gates passed(337BJ 모든 게이트 통과),blocks actual MT5 execution unless package identity and no-lookahead gates are reviewed(패키지 정체성과 미래참조 방지 게이트 검토 전 실제 MT5 실행 차단),research_development_only_stage337BK_mt5_probe_execution_package_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bk_gate_frozen_identity_complete,passed,identity_rows=7,all frozen identity rows materialized(모든 고정 정체성 행 물질화),blocks actual MT5 execution unless package identity and no-lookahead gates are reviewed(패키지 정체성과 미래참조 방지 게이트 검토 전 실제 MT5 실행 차단),research_development_only_stage337BK_mt5_probe_execution_package_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bk_gate_manifest_complete,passed,manifest_rows=3;feature_order_hash=839a84eca981d034211de743c0f9830335149e2a4817e947de6b96dd9fb5a70c,three probe roles with same feature order hash(세 탐침 역할과 같은 피처 순서 해시),blocks actual MT5 execution unless package identity and no-lookahead gates are reviewed(패키지 정체성과 미래참조 방지 게이트 검토 전 실제 MT5 실행 차단),research_development_only_stage337BK_mt5_probe_execution_package_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bk_gate_route_signal_boundary_named,passed,route_contract=1,route signal handoff limitation named(경로 신호 인계 한계 명명),blocks actual MT5 execution unless package identity and no-lookahead gates are reviewed(패키지 정체성과 미래참조 방지 게이트 검토 전 실제 MT5 실행 차단),research_development_only_stage337BK_mt5_probe_execution_package_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bk_gate_no_fake_execution_readiness,passed,"readiness=['blocked_until_run322b_route_signal_forward_handoff_exists', 'diagnostic_control_not_forward_authority', 'review_only_anchor_not_forward_authority']",primary actual MT5 is blocked until handoff exists(주 실제 MT5는 인계 전 차단),blocks actual MT5 execution unless package identity and no-lookahead gates are reviewed(패키지 정체성과 미래참조 방지 게이트 검토 전 실제 MT5 실행 차단),research_development_only_stage337BK_mt5_probe_execution_package_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bk_gate_checklist_ordered,passed,"steps=1,2,3,4,5,6",ordered checklist exists(순서 있는 체크리스트 존재),blocks actual MT5 execution unless package identity and no-lookahead gates are reviewed(패키지 정체성과 미래참조 방지 게이트 검토 전 실제 MT5 실행 차단),research_development_only_stage337BK_mt5_probe_execution_package_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bk_gate_handoff_paths_complete,passed,handoff_rows=5,handoff file paths are explicit(인계 파일 경로 명시),blocks actual MT5 execution unless package identity and no-lookahead gates are reviewed(패키지 정체성과 미래참조 방지 게이트 검토 전 실제 MT5 실행 차단),research_development_only_stage337BK_mt5_probe_execution_package_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bk_gate_proxy_profit_contracts_complete,passed,proxy=9;profit=13,proxy and profit output contracts complete(프록시와 수익 출력 계약 완성),blocks actual MT5 execution unless package identity and no-lookahead gates are reviewed(패키지 정체성과 미래참조 방지 게이트 검토 전 실제 MT5 실행 차단),research_development_only_stage337BK_mt5_probe_execution_package_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bk_gate_feature_last_and_lookahead_contracts,passed,feature=4;lookahead=7,feature_last and no-lookahead contracts complete(feature_last와 미래참조 방지 계약 완성),blocks actual MT5 execution unless package identity and no-lookahead gates are reviewed(패키지 정체성과 미래참조 방지 게이트 검토 전 실제 MT5 실행 차단),research_development_only_stage337BK_mt5_probe_execution_package_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
