contract_id,field_name,field_type,required,source,validation_rule,downstream_use,forbidden_inference,effect,claim_boundary
run337BK_profit_trade_id,trade_id,string,true,MT5 report trade list,unique,trade count,anonymous trade rows,makes frozen forward MT5 KPI auditable from raw trades(원시 거래에서 고정 전진 MT5 KPI 감사 가능),research_development_only_stage337BK_mt5_probe_execution_package_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337BK_profit_open_time,open_time,datetime_utc,true,MT5 report trade list,open_time <= close_time,session/hour/month,timezone-free KPI,makes frozen forward MT5 KPI auditable from raw trades(원시 거래에서 고정 전진 MT5 KPI 감사 가능),research_development_only_stage337BK_mt5_probe_execution_package_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337BK_profit_close_time,close_time,datetime_utc,true,MT5 report trade list,closed before KPI read,equity curve,floating-only profit,makes frozen forward MT5 KPI auditable from raw trades(원시 거래에서 고정 전진 MT5 KPI 감사 가능),research_development_only_stage337BK_mt5_probe_execution_package_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337BK_profit_direction,direction,enum_long_short,true,MT5 report trade list,long or short,long/short attribution,direction missing,makes frozen forward MT5 KPI auditable from raw trades(원시 거래에서 고정 전진 MT5 KPI 감사 가능),research_development_only_stage337BK_mt5_probe_execution_package_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337BK_profit_source,source,enum_D_B_DB_none,true,runtime telemetry,explicit or none,D/B attribution,source-free KPI,makes frozen forward MT5 KPI auditable from raw trades(원시 거래에서 고정 전진 MT5 KPI 감사 가능),research_development_only_stage337BK_mt5_probe_execution_package_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337BK_profit_lot,lot,float,true,MT5 report trade list,>0,lot normalized result,lot optimization,makes frozen forward MT5 KPI auditable from raw trades(원시 거래에서 고정 전진 MT5 KPI 감사 가능),research_development_only_stage337BK_mt5_probe_execution_package_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337BK_profit_net_profit,net_profit,float,true,MT5 report trade list,cost included,net/PF/expectancy,gross-only profit,makes frozen forward MT5 KPI auditable from raw trades(원시 거래에서 고정 전진 MT5 KPI 감사 가능),research_development_only_stage337BK_mt5_probe_execution_package_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337BK_profit_balance_after,balance_after,float,true,equity curve,ordered by close time,drawdown/recovery,unordered curve,makes frozen forward MT5 KPI auditable from raw trades(원시 거래에서 고정 전진 MT5 KPI 감사 가능),research_development_only_stage337BK_mt5_probe_execution_package_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337BK_profit_equity_after,equity_after,float,true,equity curve,ordered if present,underwater stretch,unmarked missing equity,makes frozen forward MT5 KPI auditable from raw trades(원시 거래에서 고정 전진 MT5 KPI 감사 가능),research_development_only_stage337BK_mt5_probe_execution_package_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337BK_profit_spread_points,spread_points,float,true,runtime telemetry,>=0,cost stress,spread-free stress,makes frozen forward MT5 KPI auditable from raw trades(원시 거래에서 고정 전진 MT5 KPI 감사 가능),research_development_only_stage337BK_mt5_probe_execution_package_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
