blueprint_id,branch_id,blueprint_name,required_input_identity,required_output_schema,required_gate,failure_condition,future_review_requirement,claim_boundary
repair_proxy_exclusion_handoff_contract__same_bar_repair_identity_manifest_builder,repair_proxy_exclusion_handoff_contract,same_bar_repair_identity_manifest_builder,source_protocol;branch_id;claim_boundary;forbidden_action_list,blueprint_output_schema;execution_precheck;review_note,same_bar_repair_identity_required,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__proxy_null_rank_validator,repair_proxy_exclusion_handoff_contract,proxy_null_rank_validator,source_protocol;branch_id;claim_boundary;forbidden_action_list,blueprint_output_schema;execution_precheck;review_note,proxy_null_rank_required,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__handoff_identity_diff_template,repair_proxy_exclusion_handoff_contract,handoff_identity_diff_template,source_protocol;branch_id;claim_boundary;forbidden_action_list,blueprint_output_schema;execution_precheck;review_note,handoff_identity_diff_required,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__cost_stress_runner,defense_cost_curve_underwater_gate,cost_stress_runner,trade_ledger;equity_curve;cost_grid;lot_policy;drawdown_series;branch_id,cost_stress_matrix;curve_pocket_matrix;underwater_stretch_report;lot_normalized_result,cost_curve_underwater_lot_gate_required,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__rolling_curve_pocket_runner,defense_cost_curve_underwater_gate,rolling_curve_pocket_runner,trade_ledger;equity_curve;cost_grid;lot_policy;drawdown_series;branch_id,cost_stress_matrix;curve_pocket_matrix;underwater_stretch_report;lot_normalized_result,cost_curve_underwater_lot_gate_required,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__underwater_stretch_runner,defense_cost_curve_underwater_gate,underwater_stretch_runner,trade_ledger;equity_curve;cost_grid;lot_policy;drawdown_series;branch_id,cost_stress_matrix;curve_pocket_matrix;underwater_stretch_report;lot_normalized_result,cost_curve_underwater_lot_gate_required,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__lot_normalized_view_builder,defense_cost_curve_underwater_gate,lot_normalized_view_builder,trade_ledger;equity_curve;cost_grid;lot_policy;drawdown_series;branch_id,cost_stress_matrix;curve_pocket_matrix;underwater_stretch_report;lot_normalized_result,cost_curve_underwater_lot_gate_required,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__long_short_attribution_runner,defense_direction_symmetry_negative_control,long_short_attribution_runner,trade_ledger;source_signal_direction;MT5_trade_direction;side_bucket;skip_reason,long_short_attribution_table;direction_mismatch_report;side_drop_rejection_note,direction_attribution_and_side_drop_rejection_required,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__direction_label_flip_canary_runner,defense_direction_symmetry_negative_control,direction_label_flip_canary_runner,source_protocol_id;control_id;mutation_or_canary_plan;expected_failure_signature;stop_condition,canary_result;expected_failure_observed;stop_condition_triggered;repair_note,negative_control_must_fail_on_shortcut,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__side_drop_rejection_validator,defense_direction_symmetry_negative_control,side_drop_rejection_validator,trade_ledger;source_signal_direction;MT5_trade_direction;side_bucket;skip_reason,long_short_attribution_table;direction_mismatch_report;side_drop_rejection_note,direction_attribution_and_side_drop_rejection_required,missing_required_input;future_shift_join;after_result_filter;proxy_only_selection;runtime_identity_gap;threshold_or_lot_changed,run336G_must_review_before_any_execution,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
