field,value
hypothesis,"run267AU headline-positive profiles still have deep 2024-12 and Monday holes, so one bounded second noncalendar pressure can decide keep, watch, or prune roles"
decision_use,create run267AX Tier A MT5 attempt inputs and route-gap audit; no candidate selection and no ONNX readiness claim
comparison_baseline,run267AS materialized profiles plus run267AV candidate role decisions and failure memory
control_variables,same 2024 period; same candidate score source; same thresholds; same RuntimeProbeEA; no retraining
changed_variables,second follow-up state-feature score-table terms only
sample_scope,Tier A 2024 historical attempts materialized; Tier B and actual routed total blocked until true fallback manifest exists
success_criteria,"future run267AX review must improve worst month and worst weekday while preserving trade count, PF, DD, and curve shape"
failure_criteria,"weak slices stay deep, DD worsens, trade count thins, or controls mirror challengers without added information"
invalid_conditions,literal calendar filter; feature order mismatch; missing MT5 report; duplicate Tier A+B called true fallback
stop_conditions,"if second pressure fails, prune or redirect rather than extending the same repair loop"
evidence_plan,pressure_design;variant_manifest;runtime_contract;attempt_manifest;route_gap_audit;future_MT5_KPI;future_curve_time_slice_trade_quality_review
required_gate_coverage,experiment_design_schema;artifact_lineage_connected;runtime_parity_boundary;tier_record_boundary;result_claim_guard
