source_path,exists,sha256,review_status,review_finding,consumer,claim_boundary
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/source_lineage_index.csv,true,9db19306ada98bec726a7d8f3638ba9fdbc7fa5e7e31ad69e3bac7b99679eeb7,pass,source artifact exists and is hashable,run337M_review_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/no_lookahead_pre_execution_guards.csv,true,8ad62b9885f048ad34a5e26d7cdc6d016d81e57fb62451eab5af17668696a6b6,pass,source artifact exists and is hashable,run337M_review_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/proxy_expected_result_template.csv,true,0ebd0969a2eea52440a77cd5c0475d32b51c24b5d782eb681bf670d92fd28b72,pass,source artifact exists and is hashable,run337M_review_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/proxy_expected_source_identity_manifest.json,true,70ba8ee382cca7c32e2cef185db6a439d317ce8881aa10ca16095ab7aed60cc3,pass,source artifact exists and is hashable,run337M_review_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/fresh_mt5_probe_handoff_package.csv,true,e6e421b2e2d3896125cf3ef460991dfc33fa557fc17a7ad808426d5d962014b2,pass,source artifact exists and is hashable,run337M_review_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/mt5_probe_execution_manifest.json,true,1d6521a4bc655f701096298b7719f73d97e499d29f1ab0e67d7c079e02d76c9d,pass,source artifact exists and is hashable,run337M_review_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/mt5_probe_handoff_precheck.csv,true,db1ffb36be2018b5aa3f488a722ae8d02661044231ef62986824afc12c952777,pass,source artifact exists and is hashable,run337M_review_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/mt5_tester_input_manifest.csv,true,b9eb1ac97bb743dd96d11a65792a939a462e9e43ad46b471f1dcacf10b585ad2,pass,source artifact exists and is hashable,run337M_review_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/proxy_mt5_difference_runner_contract.csv,true,e8edf2358a0ffb370a176c85ce4a6c73e5e2d3b63701c59a392e7ebdf341b22c,pass,source artifact exists and is hashable,run337M_review_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337L/usability_decision_runner_contract.csv,true,1900c6bc000f770117790c246f224389bb681ef9a7840def451451dee5e0097c,pass,source artifact exists and is hashable,run337M_review_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
