family_id,row_count,expected_row_count,review_status,review_finding,claim_boundary
source_lineage,25,25,pass,expected row count and boundary checks pass,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
no_lookahead,5,5,pass,expected row count and boundary checks pass,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
proxy_template,25,25,pass,expected row count and boundary checks pass,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
fresh_handoff,5,5,pass,expected row count and boundary checks pass,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
mt5_preflight,5,5,pass,expected row count and boundary checks pass,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
tester_manifest,5,5,pass,expected row count and boundary checks pass,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
difference_contract,5,5,pass,expected row count and boundary checks pass,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
usability_contract,5,5,pass,expected row count and boundary checks pass,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
core56_handoff,5,5,pass,expected row count and boundary checks pass,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_curve_extractor,5,5,pass,expected row count and boundary checks pass,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
regime_inventory,6,6,pass,expected row count and boundary checks pass,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_identity,6,6,pass,expected row count and boundary checks pass,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
claim_boundary,11,11,pass,expected row count and boundary checks pass,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337m_queue,9,9,pass,expected row count and boundary checks pass,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
