run_id,model_id,artifact_type,path,sha256,status,claim_boundary
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,joblib_model,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364L/models/h6_move3__rf4_l120_n64.joblib,78ee5f2d9b5f605d93bb3af3795b1e940d4ef24b26d07f70e6867cdd9c314ca1,written,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,feature_order,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364L/models/h6_move3__rf4_l120_n64_feature_order.json,441488382498c68010a86a3e798ce5bb0f24ab622e4eeadc0b6a4481ee2cdbc1,written,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf4_l120_n64,onnx_model,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364L/onnx/h6_move3__rf4_l120_n64.onnx,4f26c8b311f8b87c80bc5d964bc25de957174b49a45a1325bdc275beda9b0e17,written,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf5_l80_n64,joblib_model,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364L/models/h6_move3__rf5_l80_n64.joblib,7f92c43ba9b29a7b988412928226b0ff7f57fb80ef922b4cdc2af568295f8e43,written,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf5_l80_n64,feature_order,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364L/models/h6_move3__rf5_l80_n64_feature_order.json,a100262c5a74176f2d7e3efa2daf50edc4a95903a376834b6e4d2dccded9b1a2,written,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h6_move3__rf5_l80_n64,onnx_model,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364L/onnx/h6_move3__rf5_l80_n64.onnx,955897542ca3c9c09a50f83ef9bc85df921385d11b4945857a396407f199790c,written,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h12_move5__rf4_l120_n64,joblib_model,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364L/models/h12_move5__rf4_l120_n64.joblib,521ff48eddb3909cc79da92177ed0051b1663550aa398de05cdc54962cbccbaa,written,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h12_move5__rf4_l120_n64,feature_order,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364L/models/h12_move5__rf4_l120_n64_feature_order.json,d034de72ddc024da57aa1442b2e74f7f12c5b1dba993238d20e3499161f687e6,written,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h12_move5__rf4_l120_n64,onnx_model,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364L/onnx/h12_move5__rf4_l120_n64.onnx,17d67979c7b4b777b14c56933a8a20d9e0138b01ed4bfb505c0ef342da00907d,written,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h12_move5__rf5_l80_n64,joblib_model,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364L/models/h12_move5__rf5_l80_n64.joblib,d9d3459cc8206e72b52d6da3297da0b7dc00a03dae71ac2d2149a427f5997f12,written,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
