run_id,split,model_id,label_id,policy_id,threshold_id,exit_mode,max_hold_m5,entry_timestamp,exit_timestamp,held_m5,side,score,threshold,entry_open,exit_open,net_profit,cost_per_trade,claim_boundary
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,validation,h6_move3__rf4_l120_n64,h6_move3,long_only_margin,long_only_margin__density_8_0__maxhold_4__weak_or_opp,weak_or_opp,4,2025-01-02T16:55:00+00:00,2025-01-02T17:15:00+00:00,4,long,0.000712043174,-0.001214469784,21125.82,21169.69,4.087,0.3,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,validation,h6_move3__rf4_l120_n64,h6_move3,long_only_margin,long_only_margin__density_8_0__maxhold_4__weak_or_opp,weak_or_opp,4,2025-01-02T17:20:00+00:00,2025-01-02T17:35:00+00:00,3,long,0.003958355909,-0.001214469784,21105.82,21011.32,-9.75,0.3,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,validation,h6_move3__rf4_l120_n64,h6_move3,long_only_margin,long_only_margin__density_8_0__maxhold_4__weak_or_opp,weak_or_opp,4,2025-01-03T16:35:00+00:00,2025-01-03T16:50:00+00:00,3,long,0.009330242229,-0.001214469784,21079.29,21111.91,2.962,0.3,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,validation,h6_move3__rf4_l120_n64,h6_move3,long_only_margin,long_only_margin__density_8_0__maxhold_4__weak_or_opp,weak_or_opp,4,2025-01-03T17:00:00+00:00,2025-01-03T17:15:00+00:00,3,long,0.003311108448,-0.001214469784,21132.54,21097.04,-3.85,0.3,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,validation,h6_move3__rf4_l120_n64,h6_move3,long_only_margin,long_only_margin__density_8_0__maxhold_4__weak_or_opp,weak_or_opp,4,2025-01-03T17:30:00+00:00,2025-01-03T17:35:00+00:00,1,long,-0.000108985207,-0.001214469784,21081.29,21101.79,1.75,0.3,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,validation,h6_move3__rf4_l120_n64,h6_move3,long_only_margin,long_only_margin__density_8_0__maxhold_4__weak_or_opp,weak_or_opp,4,2025-01-03T17:40:00+00:00,2025-01-03T17:45:00+00:00,1,long,0.000732235436,-0.001214469784,21101.54,21123.54,1.9,0.3,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,validation,h6_move3__rf4_l120_n64,h6_move3,long_only_margin,long_only_margin__density_8_0__maxhold_4__weak_or_opp,weak_or_opp,4,2025-01-03T17:50:00+00:00,2025-01-03T17:55:00+00:00,1,long,0.004212420934,-0.001214469784,21123.79,21103.54,-2.325,0.3,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,validation,h6_move3__rf4_l120_n64,h6_move3,long_only_margin,long_only_margin__density_8_0__maxhold_4__weak_or_opp,weak_or_opp,4,2025-01-03T18:15:00+00:00,2025-01-03T18:35:00+00:00,4,long,-0.000128164126,-0.001214469784,21111.29,21200.29,8.6,0.3,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,validation,h6_move3__rf4_l120_n64,h6_move3,long_only_margin,long_only_margin__density_8_0__maxhold_4__weak_or_opp,weak_or_opp,4,2025-01-03T18:40:00+00:00,2025-01-03T18:55:00+00:00,3,long,0.010646360411,-0.001214469784,21203.29,21232.66,2.637,0.3,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,validation,h6_move3__rf4_l120_n64,h6_move3,long_only_margin,long_only_margin__density_8_0__maxhold_4__weak_or_opp,weak_or_opp,4,2025-01-03T19:00:00+00:00,2025-01-03T19:05:00+00:00,1,long,0.005134846592,-0.001214469784,21212.04,21229.16,1.412,0.3,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,validation,h6_move3__rf4_l120_n64,h6_move3,long_only_margin,long_only_margin__density_8_0__maxhold_4__weak_or_opp,weak_or_opp,4,2025-01-03T19:20:00+00:00,2025-01-03T19:25:00+00:00,1,long,-0.001010498573,-0.001214469784,21195.66,21213.79,1.513,0.3,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
