design_id,design_type,candidate_scope,weakness_axis,weakness_bucket,source_evidence,hypothesis,decision_use,comparison_baseline,control_variables,changed_variables,sample_scope,success_criteria,failure_criteria,invalid_conditions,stop_conditions,evidence_plan,priority,status
d01_vol_low_volatility_bandwidth_ablation,feature_category_ablation,all_five_baseline_research_candidates,volatility_regime,vol_low,volatility_regime:vol_low; s262_lih trades=98 net=-289.57 PF=0.638182; s258_stc trades=109 net=-282.31 PF=0.703537; s264_aia trades=98 net=-267.4 PF=0.668637; s264_lc trades=96 net=-267.37 PF=0.659202; s264_aih trades=97 net=-262.99 PF=0.675201,"If low-volatility damage is driven by one volatility feature family, removing that family should reveal which candidates are over-dependent.","Downgrade candidates that collapse, or route the next feature engineering toward volatility-state robustness.",run267B historical_2024 balance/time-slice candidate summary,symbol=US100;timeframe=M5;broker=FPMarkets;period=2024_train_era_stress;fixed candidate pool;fixed MT5 EA/runtime settings unless manifest records change,remove volatility_bandwidth family: atr_14;atr_50;atr ratios;bollinger width;historical volatility proxies,historical_2024_train_era_stress plus canonical validation/OOS replay before any candidate upgrade,Damage in vol_low becomes less concentrated without destroying trade count or total curve shape.,All candidates lose broad profitability or one candidate only survives by under-trading.,Feature order hash mismatch; period mislabeled as OOS; MT5 report missing chart/deal list.,"If vol_low worsens across all candidates, stop this branch and pivot to feature engineering rather than threshold repair.",variant manifest;feature order hash;MT5 report;trade records;time-slice KPI;balance/equity visual manifest;failure memory row;no ONNX claim,P0,designed_not_executed
d02_vol_low_atr_to_historical_vol_replacement,similar_feature_replacement,all_five_baseline_research_candidates,volatility_regime,vol_low,volatility_regime:vol_low; s262_lih trades=98 net=-289.57 PF=0.638182; s258_stc trades=109 net=-282.31 PF=0.703537; s264_aia trades=98 net=-267.4 PF=0.668637; s264_lc trades=96 net=-267.37 PF=0.659202; s264_aih trades=97 net=-262.99 PF=0.675201,ATR-specific scaling may be a lucky fit; historical-volatility and Bollinger-width proxies should test whether the market meaning survives.,Keep candidates that retain shape under volatility proxy replacement; downgrade ATR-only survivors.,rep_volatility_atr map from run267B input readiness,symbol=US100;timeframe=M5;broker=FPMarkets;period=2024_train_era_stress;fixed candidate pool;fixed MT5 EA/runtime settings unless manifest records change,replace atr_14 emphasis with atr_50;historical_vol_20;historical_vol_5_over_20;bollinger_width_20,historical_2024_train_era_stress plus canonical validation/OOS replay before any candidate upgrade,Vol_low PF and closed-balance drawdown improve or degrade mildly while total trade count remains credible.,Replacement flips the edge only in one month or creates a cleaner number with uglier curve.,Replacement feature unavailable in Tier B fallback rows without missing_required label.,Stop after one replacement family pass; do not micro-tune ATR multipliers around July only.,variant manifest;feature order hash;MT5 report;trade records;time-slice KPI;balance/equity visual manifest;failure memory row;no ONNX claim,P0,designed_not_executed
d03_adx_20_25_trend_strength_ablation,feature_category_ablation,all_five_baseline_research_candidates,adx_bucket,adx_20_25,adx_bucket:adx_20_25; s258_stc trades=68 net=-116.09 PF=0.687552; s264_aia trades=65 net=-86.9 PF=0.731898; s264_aih trades=64 net=-83.32 PF=0.74129; s264_lc trades=64 net=-79.41 PF=0.745497; s262_lih trades=64 net=-76.47 PF=0.748908,"The common ADX 20-25 damage may mean the trend-strength boundary is unstable, not that one ADX threshold needs repair.",Decide whether trend-strength features need redesign before Adapter packaging.,run267B time_slice_kpi adx_bucket rows,symbol=US100;timeframe=M5;broker=FPMarkets;period=2024_train_era_stress;fixed candidate pool;fixed MT5 EA/runtime settings unless manifest records change,remove trend_strength_direction family: adx_14;di_spread_14;supertrend_10_3;vortex_indicator,historical_2024_train_era_stress plus canonical validation/OOS replay before any candidate upgrade,Candidate degradation is gradual and weakness moves less sharply into ADX 20-25.,All edge disappears or candidate behavior becomes untraceable by trend-strength slice.,ADX bucket computed with future data or mismatched close/open timestamp.,"If trend-strength removal kills all candidates, record dependency and move to replacement, not threshold fiddling.",variant manifest;feature order hash;MT5 report;trade records;time-slice KPI;balance/equity visual manifest;failure memory row;no ONNX claim,P1,designed_not_executed
d04_adx_to_di_vortex_supertrend_replacement,similar_feature_replacement,all_five_baseline_research_candidates,adx_bucket,adx_20_25,adx_bucket:adx_20_25; s258_stc trades=68 net=-116.09 PF=0.687552; s264_aia trades=65 net=-86.9 PF=0.731898; s264_aih trades=64 net=-83.32 PF=0.74129; s264_lc trades=64 net=-79.41 PF=0.745497; s262_lih trades=64 net=-76.47 PF=0.748908,"If the candidate captures trend-strength meaning, DI spread, vortex, or supertrend proxies should preserve part of the structure.",Separate real trend-strength signal from ADX-only coincidence.,rep_trend_strength_adx map from run267B input readiness,symbol=US100;timeframe=M5;broker=FPMarkets;period=2024_train_era_stress;fixed candidate pool;fixed MT5 EA/runtime settings unless manifest records change,replace ADX-centered feature use with di_spread_14;vortex_indicator;supertrend_10_3 variants,historical_2024_train_era_stress plus canonical validation/OOS replay before any candidate upgrade,"At least one replacement keeps trade count, total curve, and weak-slice damage within acceptable research range.",Only one proxy works in one month while validation/OOS shape worsens.,Replacement proxy changes label boundary or model input order without manifest update.,Stop after family-level replacement; do not optimize a single ADX threshold.,variant manifest;feature order hash;MT5 report;trade records;time-slice KPI;balance/equity visual manifest;failure memory row;no ONNX claim,P1,designed_not_executed
d05_july_2024_holdout_stress,period_stress_holdout,all_five_baseline_research_candidates,month,2024-07,month:2024-07; s258_stc trades=41 net=-180.63 PF=0.452769; s262_lih trades=37 net=-126.04 PF=0.477468; s264_aih trades=36 net=-117.25 PF=0.508159; s264_aia trades=36 net=-115.88 PF=0.507439; s264_lc trades=36 net=-113.21 PF=0.50868,July 2024 is a shared drawdown pocket; a robust candidate should not need a July-only patch to survive.,Flag candidates whose improvement is only a July-specific repair and not broad robustness.,run267B monthly KPI and closed-balance diagnostics,symbol=US100;timeframe=M5;broker=FPMarkets;period=2024_train_era_stress;fixed candidate pool;fixed MT5 EA/runtime settings unless manifest records change,"evaluate pre-July, July-only, post-July slices and no-July replay labels without changing thresholds first",historical_2024_train_era_stress plus canonical validation/OOS replay before any candidate upgrade,Weakness attribution is explainable across vol/session/trend axes and not hidden by total-year profit.,Candidate depends on excluding July or adding a calendar-only hard block.,Month filtering changes trade pairing or includes open trades outside scope.,Use July as stress evidence only; do not open a calendar micro-repair loop.,variant manifest;feature order hash;MT5 report;trade records;time-slice KPI;balance/equity visual manifest;failure memory row;no ONNX claim,P0,designed_not_executed
d06_monday_session_timing_ablation,feature_category_ablation,all_five_baseline_research_candidates,weekday,Monday,weekday:Monday; s264_lc trades=60 net=-155.46 PF=0.589707; s262_lih trades=60 net=-153.33 PF=0.588718; s264_aih trades=61 net=-147.37 PF=0.623624; s264_aia trades=61 net=-146.15 PF=0.622166; s258_stc trades=66 net=-135.55 PF=0.701754,Monday damage may be a timing/context interaction rather than a reason for a day-only block.,Decide whether session_timing features need interaction terms or downgrade for narrow calendar dependence.,run267B weekday and session_slice KPI,symbol=US100;timeframe=M5;broker=FPMarkets;period=2024_train_era_stress;fixed candidate pool;fixed MT5 EA/runtime settings unless manifest records change,remove or isolate session_timing family: cash open flags;minutes_from_cash_open;last_30m;overnight_return,historical_2024_train_era_stress plus canonical validation/OOS replay before any candidate upgrade,Monday damage becomes explainable through session/volatility interaction while broad curve remains stable.,A candidate only survives by blocking Monday or collapsing trade count.,Timezone mismatch between UTC close hour and broker session labels.,"If weakness is calendar-only, record as fragility and avoid overfitting a weekday filter.",variant manifest;feature order hash;MT5 report;trade records;time-slice KPI;balance/equity visual manifest;failure memory row;no ONNX claim,P1,designed_not_executed
d07_late_session_interaction_engineering,feature_engineering_design,all_five_baseline_research_candidates,session_slice,late,session_slice:late; s264_aih trades=45 net=-144.89 PF=0.664917; s264_aia trades=45 net=-141.54 PF=0.668501; s264_lc trades=45 net=-138.31 PF=0.668449; s262_lih trades=45 net=-135.79 PF=0.671187; s258_stc trades=50 net=-128.85 PF=0.747694,"Late-session losses may require interaction features between session, volatility compression, spread, and trend-strength rather than a simple session filter.",Define Adapter-facing features that explain late-session risk without hiding it behind local stage tricks.,run267B session_slice KPI and visual manifest,symbol=US100;timeframe=M5;broker=FPMarkets;period=2024_train_era_stress;fixed candidate pool;fixed MT5 EA/runtime settings unless manifest records change,add candidate features: late_session_x_vol_low;late_session_x_spread_high;late_session_x_adx_20_25;minutes_to_cash_close_bucket,historical_2024_train_era_stress plus canonical validation/OOS replay before any candidate upgrade,Late-session damage falls without sacrificing normal-session expectancy and without opaque feature order changes.,New interactions only repair one month or create untraceable decision surface.,Engineered feature cannot be reproduced in Python and MT5 with the same timestamp boundary.,"If two passes fail, close as failure memory and pivot away from late-session repair.",variant manifest;feature order hash;MT5 report;trade records;time-slice KPI;balance/equity visual manifest;failure memory row;no ONNX claim,P0,designed_not_executed
d08_rank_gate_compressed_surface_ablation,compressed_gate_ablation,all_five_baseline_research_candidates,candidate_gate,rank_inner_outer_bucket,Stage258/262/264 candidate gates plus run267B feature_ablation_map,Some candidates may be stage-local gate tricks rather than reusable Adapter structures.,Identify candidates that should be demoted before deeper Adapter work.,abl_gate_rank_bucket and abl_gate_variant_rule maps,symbol=US100;timeframe=M5;broker=FPMarkets;period=2024_train_era_stress;fixed candidate pool;fixed MT5 EA/runtime settings unless manifest records change,remove or rotate lowrank/inner/high-quarter gate bucket while keeping model and execution settings documented,historical_2024_train_era_stress plus canonical validation/OOS replay before any candidate upgrade,A strong candidate degrades mildly or exposes a clear reusable structure.,Candidate collapses when its named gate is removed.,Gate removal changes unrelated risk/ATR or trade management settings.,"If gate removal collapses a candidate twice, downgrade instead of repairing for more than two stages.",variant manifest;feature order hash;MT5 report;trade records;time-slice KPI;balance/equity visual manifest;failure memory row;no ONNX claim,P0,designed_not_executed
d09_chron_mid_weakness_decomposition,time_slice_decomposition,all_five_baseline_research_candidates,chron_segment,chron_mid,chron_segment:chron_mid; s258_stc trades=126 net=-180.03 PF=0.789093; s264_aih trades=118 net=-147.14 PF=0.787216; s262_lih trades=118 net=-140.12 PF=0.786984; s264_lc trades=117 net=-125.95 PF=0.806641; s264_aia trades=118 net=-117.44 PF=0.82844,"The mid-year chronological slump may be the intersection of July, low volatility, and late-session exposure.",Prevent a single-axis repair from hiding a multi-axis weakness.,run267B chron_segment KPI and candidate weakness summary,symbol=US100;timeframe=M5;broker=FPMarkets;period=2024_train_era_stress;fixed candidate pool;fixed MT5 EA/runtime settings unless manifest records change,cross-tab chron_mid with vol/session/weekday/month before model retraining,historical_2024_train_era_stress plus canonical validation/OOS replay before any candidate upgrade,Weakness source is decomposed into a small number of reproducible axes.,No stable attribution; candidate remains broad rough-curve survivor only.,Chronological slicing changes trade order or equity curve reconstruction.,"If no attribution appears, record inconclusive and move to broader feature family work.",variant manifest;feature order hash;MT5 report;trade records;time-slice KPI;balance/equity visual manifest;failure memory row;no ONNX claim,P1,designed_not_executed
d10_breadth_macro_context_replacement,similar_feature_replacement,all_five_baseline_research_candidates,context_proxy,breadth_macro_optional,run267B prior research utilization audit and source feature manifest,"If low-volatility and late-session failures are missing context problems, breadth or macro proxies may stabilize without calendar overfit.",Decide whether to invest in broader context Adapter features.,rep_breadth_proxy and abl_external_macro_risk maps,symbol=US100;timeframe=M5;broker=FPMarkets;period=2024_train_era_stress;fixed candidate pool;fixed MT5 EA/runtime settings unless manifest records change,replace or add breadth/macro proxies: top3_weighted_return;mega8_dispersion;vix_zscore_20;us10yr_zscore_20,historical_2024_train_era_stress plus canonical validation/OOS replay before any candidate upgrade,Weak-slice damage improves across more than one candidate and does not rely on missing Tier B context.,Context proxy helps only one candidate or creates Tier B missing-data fragility.,External macro data alignment or availability is incomplete without missing_required label.,"If context proxies introduce data integrity risk, stop and record blocked/invalid rather than force comparison.",variant manifest;feature order hash;MT5 report;trade records;time-slice KPI;balance/equity visual manifest;failure memory row;no ONNX claim,P2,designed_not_executed
