gate_id,status,observed,expected,effect,claim_boundary
bm_gate_parent_loaded,passed,parent_next=run337BM_route_signal_forward_handoff_feasibility_without_db_v1,run337BL opens run337BM(337BL이 337BM을 엶),keeps feasibility judgment separate from operating claim(가능성 판정을 운영 주장과 분리),research_development_only_stage337BM_route_signal_handoff_feasibility_without_db_cp322a_frozen_exact_forward_handoff_not_feasible_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bm_gate_parent_gates_passed,passed,bl_gates=9,run337BL gates passed(337BL 게이트 통과),keeps feasibility judgment separate from operating claim(가능성 판정을 운영 주장과 분리),research_development_only_stage337BM_route_signal_handoff_feasibility_without_db_cp322a_frozen_exact_forward_handoff_not_feasible_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bm_gate_stage328_hazard_loaded,passed,decision=exact_cp322a_forward_signal_contract_not_safe_without_upstream_rebuild,Stage328 hazard loaded(Stage328 위험 로드),keeps feasibility judgment separate from operating claim(가능성 판정을 운영 주장과 분리),research_development_only_stage337BM_route_signal_handoff_feasibility_without_db_cp322a_frozen_exact_forward_handoff_not_feasible_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bm_gate_stage328b_rebuild_required,passed,stage328b_live_feature_rebuild_required,Stage328B rebuild requirement loaded(Stage328B 재구축 요구 로드),keeps feasibility judgment separate from operating claim(가능성 판정을 운영 주장과 분리),research_development_only_stage337BM_route_signal_handoff_feasibility_without_db_cp322a_frozen_exact_forward_handoff_not_feasible_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bm_gate_exact_options_rejected,passed,rejected_exact_count=4,exact handoff options rejected(정확 인계 선택지 거절),keeps feasibility judgment separate from operating claim(가능성 판정을 운영 주장과 분리),research_development_only_stage337BM_route_signal_handoff_feasibility_without_db_cp322a_frozen_exact_forward_handoff_not_feasible_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bm_gate_rebuild_option_allowed,passed,allowed_rebuild=True,rebuild option allowed as new work(재구축 선택지를 새 작업으로 허용),keeps feasibility judgment separate from operating claim(가능성 판정을 운영 주장과 분리),research_development_only_stage337BM_route_signal_handoff_feasibility_without_db_cp322a_frozen_exact_forward_handoff_not_feasible_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bm_gate_forbidden_repairs_named,passed,forbidden_rows=6,forbidden repairs named(금지 수리 명명),keeps feasibility judgment separate from operating claim(가능성 판정을 운영 주장과 분리),research_development_only_stage337BM_route_signal_handoff_feasibility_without_db_cp322a_frozen_exact_forward_handoff_not_feasible_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bm_gate_failure_memory_ready,passed,memory_rows=1,failure memory ready(실패 기억 준비),keeps feasibility judgment separate from operating claim(가능성 판정을 운영 주장과 분리),research_development_only_stage337BM_route_signal_handoff_feasibility_without_db_cp322a_frozen_exact_forward_handoff_not_feasible_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bm_gate_queue_ready,passed,queue=1,run337BN queue ready(337BN 대기열 준비),keeps feasibility judgment separate from operating claim(가능성 판정을 운영 주장과 분리),research_development_only_stage337BM_route_signal_handoff_feasibility_without_db_cp322a_frozen_exact_forward_handoff_not_feasible_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bm_gate_no_goal_or_forward_pass_claim,passed,forward_passed=not_claimed;goal=not_claimed,no forbidden claim(금지 주장 없음),keeps feasibility judgment separate from operating claim(가능성 판정을 운영 주장과 분리),research_development_only_stage337BM_route_signal_handoff_feasibility_without_db_cp322a_frozen_exact_forward_handoff_not_feasible_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
