queue_id,priority,workstream,candidate_alias,target_period,target_split,run267BW_decision,effect,claim_boundary
run267bw_q00_directional_asymmetry_prune_receipt,P0,prune_receipt,pool_wide,not_applicable,design_only,prune_receipt_consumed_no_mt5,방향 비대칭 독립 분기는 다시 실행하지 않고 실패 기억으로만 남긴다.,no_selected_candidate_no_onnx_no_goal_achieve
run267bw_q01_s258_stc_2023h2_aggressive_impulse_period_pressure,P0,aggressive_impulse_cross_period_pressure,s258_stc,2023H2,adjacent_pre_2024_strength_check,materialized_execution_pending,공격형 임펄스 단서가 다른 기간에서도 덜 깨지는지 MT5 실행으로 확인할 수 있게 만든다.,no_selected_candidate_no_onnx_no_goal_achieve
run267bw_q01_s258_stc_2025h1_aggressive_impulse_period_pressure,P0,aggressive_impulse_cross_period_pressure,s258_stc,2025H1,adjacent_post_2024_forward_pressure,materialized_execution_pending,공격형 임펄스 단서가 다른 기간에서도 덜 깨지는지 MT5 실행으로 확인할 수 있게 만든다.,no_selected_candidate_no_onnx_no_goal_achieve
run267bw_q01_s258_stc_2025h2_aggressive_impulse_period_pressure,P0,aggressive_impulse_cross_period_pressure,s258_stc,2025H2,late_oos_forward_pressure,materialized_execution_pending,공격형 임펄스 단서가 다른 기간에서도 덜 깨지는지 MT5 실행으로 확인할 수 있게 만든다.,no_selected_candidate_no_onnx_no_goal_achieve
run267bw_q01_s264_aih_2023h2_aggressive_impulse_period_pressure,P0,aggressive_impulse_cross_period_pressure,s264_aih,2023H2,adjacent_pre_2024_strength_check,materialized_execution_pending,공격형 임펄스 단서가 다른 기간에서도 덜 깨지는지 MT5 실행으로 확인할 수 있게 만든다.,no_selected_candidate_no_onnx_no_goal_achieve
run267bw_q01_s264_aih_2025h1_aggressive_impulse_period_pressure,P0,aggressive_impulse_cross_period_pressure,s264_aih,2025H1,adjacent_post_2024_forward_pressure,materialized_execution_pending,공격형 임펄스 단서가 다른 기간에서도 덜 깨지는지 MT5 실행으로 확인할 수 있게 만든다.,no_selected_candidate_no_onnx_no_goal_achieve
run267bw_q01_s264_aih_2025h2_aggressive_impulse_period_pressure,P0,aggressive_impulse_cross_period_pressure,s264_aih,2025H2,late_oos_forward_pressure,materialized_execution_pending,공격형 임펄스 단서가 다른 기간에서도 덜 깨지는지 MT5 실행으로 확인할 수 있게 만든다.,no_selected_candidate_no_onnx_no_goal_achieve
run267bw_q01_s264_aia_2023h2_aggressive_impulse_period_pressure,P0,aggressive_impulse_cross_period_pressure,s264_aia,2023H2,adjacent_pre_2024_strength_check,materialized_execution_pending,공격형 임펄스 단서가 다른 기간에서도 덜 깨지는지 MT5 실행으로 확인할 수 있게 만든다.,no_selected_candidate_no_onnx_no_goal_achieve
run267bw_q01_s264_aia_2025h1_aggressive_impulse_period_pressure,P0,aggressive_impulse_cross_period_pressure,s264_aia,2025H1,adjacent_post_2024_forward_pressure,materialized_execution_pending,공격형 임펄스 단서가 다른 기간에서도 덜 깨지는지 MT5 실행으로 확인할 수 있게 만든다.,no_selected_candidate_no_onnx_no_goal_achieve
run267bw_q01_s264_aia_2025h2_aggressive_impulse_period_pressure,P0,aggressive_impulse_cross_period_pressure,s264_aia,2025H2,late_oos_forward_pressure,materialized_execution_pending,공격형 임펄스 단서가 다른 기간에서도 덜 깨지는지 MT5 실행으로 확인할 수 있게 만든다.,no_selected_candidate_no_onnx_no_goal_achieve
run267bw_q02_impulse_similar_replacement_design_probe,P1,similar_feature_replacement_probe,"s258_stc,s264_aih,s264_aia",2024_then_extension,replacement_design_before_mt5,blocked_feature_availability_audit_before_mt5,유사 피처 대체는 원천 피처 계보가 먼저 연결되어야 하므로 이번 MT5 물질화에서 제외한다.,no_selected_candidate_no_onnx_no_goal_achieve
