seed_id,source_queue_id,candidate_alias,profile_label,axis,bucket,net_profit,trade_count,source_negative_slice_path,analysis_status,next_join_target,noncalendar_boundary,claim_boundary
run267cj_state_attr_01,run267cj_q04_monday_noncalendar_state_attribution,s258_stc,similar_replacement_impulse,weekday,Monday,-313.09,64,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CH/pool_wide_orthogonal_loss_shape_state_balance_timeslice_trade_quality_review/negative_slice_summary.csv,seed_only_no_mt5_attempt,trade_records_plus_upstream_feature_state_surface,"weekday is treated as symptom label, not permission filter",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267cj_state_attr_02,run267cj_q04_monday_noncalendar_state_attribution,s264_aih,similar_replacement_impulse,weekday,Monday,-256.75,54,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CH/pool_wide_orthogonal_loss_shape_state_balance_timeslice_trade_quality_review/negative_slice_summary.csv,seed_only_no_mt5_attempt,trade_records_plus_upstream_feature_state_surface,"weekday is treated as symptom label, not permission filter",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267cj_state_attr_03,run267cj_q04_monday_noncalendar_state_attribution,s264_lc,similar_replacement_impulse,weekday,Monday,-256.56,61,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CH/pool_wide_orthogonal_loss_shape_state_balance_timeslice_trade_quality_review/negative_slice_summary.csv,seed_only_no_mt5_attempt,trade_records_plus_upstream_feature_state_surface,"weekday is treated as symptom label, not permission filter",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267cj_state_attr_04,run267cj_q04_monday_noncalendar_state_attribution,s264_aia,similar_replacement_impulse,weekday,Monday,-215.73,59,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CH/pool_wide_orthogonal_loss_shape_state_balance_timeslice_trade_quality_review/negative_slice_summary.csv,seed_only_no_mt5_attempt,trade_records_plus_upstream_feature_state_surface,"weekday is treated as symptom label, not permission filter",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267cj_state_attr_05,run267cj_q04_monday_noncalendar_state_attribution,s258_stc,loss_shape_proxy_minimal,weekday,Monday,-185.98,37,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CH/pool_wide_orthogonal_loss_shape_state_balance_timeslice_trade_quality_review/negative_slice_summary.csv,seed_only_no_mt5_attempt,trade_records_plus_upstream_feature_state_surface,"weekday is treated as symptom label, not permission filter",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267cj_state_attr_06,run267cj_q04_monday_noncalendar_state_attribution,s262_lih,similar_replacement_impulse,weekday,Monday,-180.03,58,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CH/pool_wide_orthogonal_loss_shape_state_balance_timeslice_trade_quality_review/negative_slice_summary.csv,seed_only_no_mt5_attempt,trade_records_plus_upstream_feature_state_surface,"weekday is treated as symptom label, not permission filter",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267cj_state_attr_07,run267cj_q04_monday_noncalendar_state_attribution,s264_aia,loss_shape_proxy_minimal,weekday,Monday,-141.03,29,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CH/pool_wide_orthogonal_loss_shape_state_balance_timeslice_trade_quality_review/negative_slice_summary.csv,seed_only_no_mt5_attempt,trade_records_plus_upstream_feature_state_surface,"weekday is treated as symptom label, not permission filter",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267cj_state_attr_08,run267cj_q04_monday_noncalendar_state_attribution,s264_lc,loss_shape_proxy_minimal,weekday,Monday,-136.59,33,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CH/pool_wide_orthogonal_loss_shape_state_balance_timeslice_trade_quality_review/negative_slice_summary.csv,seed_only_no_mt5_attempt,trade_records_plus_upstream_feature_state_surface,"weekday is treated as symptom label, not permission filter",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267cj_state_attr_09,run267cj_q04_monday_noncalendar_state_attribution,s264_aih,loss_shape_proxy_minimal,weekday,Monday,-136.01,29,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CH/pool_wide_orthogonal_loss_shape_state_balance_timeslice_trade_quality_review/negative_slice_summary.csv,seed_only_no_mt5_attempt,trade_records_plus_upstream_feature_state_surface,"weekday is treated as symptom label, not permission filter",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267cj_state_attr_10,run267cj_q04_monday_noncalendar_state_attribution,s262_lih,loss_shape_proxy_minimal,weekday,Monday,-114.26,34,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CH/pool_wide_orthogonal_loss_shape_state_balance_timeslice_trade_quality_review/negative_slice_summary.csv,seed_only_no_mt5_attempt,trade_records_plus_upstream_feature_state_surface,"weekday is treated as symptom label, not permission filter",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
