field,value
hypothesis,run267AJ_s264_aia_constructive_rows_may_survive_a_bounded_noncalendar_state_guard_repair
decision_use,materialize_MT5_attempt_inputs_only_no_candidate_selection
comparison_baseline,run267AI s264_aia rep_trend_strength_adx and rep_volatility_atr Tier A rows
control_variables,same_2024_period_same_run267AG_feature_order_same_thresholds_same_RuntimeProbeEA
changed_variables,guard_score_table_terms_only_for_s264_aia_repair_profile
sample_scope,Tier A and Tier A+B 2024 historical runtime attempts planned; Tier A+B remains fallback-disabled duplicate boundary until real fallback probe
success_criteria,run267AL_trades_at_least_290_net_at_least_900_PF_at_least_1_35_DD_at_most_18_worst_month_above_minus_120_Monday_above_minus_180
failure_criteria,trade_count_collapse_or_Monday_or_December_hole_remains_deep
invalid_conditions,literal_weekday_month_filter_or_feature_order_untracked_or_non_guard_model_rows_changed
stop_conditions,stop_after_one_materialization_and_one_MT5_review_if_deep_holes_remain
evidence_plan,repair_queue;variant_manifest;runtime_contract;model_repair_audit;attempt_manifest;future_MT5_curve_review
