failure_axis,view,required,meaning,kpi_scope,missing_policy,materialized_status
cost_stress,Tier A separate,true,full-context sample read,signal/trade/risk/execution as applicable,"must record missing_required, blocked, or out_of_scope_by_claim",required_for_future_scoring_or_runtime
cost_stress,Tier B separate,true,partial-context sample read,"same names as Tier A, with partial-context label","must record missing_required, blocked, or out_of_scope_by_claim",required_for_future_scoring_or_runtime
cost_stress,Tier A+B combined,true,combined read or actual routed total when routing is used,do not use synthetic sum as actual routed result,"must record missing_required, blocked, or out_of_scope_by_claim",required_for_future_scoring_or_runtime
curve_pocket,Tier A separate,true,full-context sample read,signal/trade/risk/execution as applicable,"must record missing_required, blocked, or out_of_scope_by_claim",required_for_future_scoring_or_runtime
curve_pocket,Tier B separate,true,partial-context sample read,"same names as Tier A, with partial-context label","must record missing_required, blocked, or out_of_scope_by_claim",required_for_future_scoring_or_runtime
curve_pocket,Tier A+B combined,true,combined read or actual routed total when routing is used,do not use synthetic sum as actual routed result,"must record missing_required, blocked, or out_of_scope_by_claim",required_for_future_scoring_or_runtime
direction,Tier A separate,true,full-context sample read,signal/trade/risk/execution as applicable,"must record missing_required, blocked, or out_of_scope_by_claim",required_for_future_scoring_or_runtime
direction,Tier B separate,true,partial-context sample read,"same names as Tier A, with partial-context label","must record missing_required, blocked, or out_of_scope_by_claim",required_for_future_scoring_or_runtime
direction,Tier A+B combined,true,combined read or actual routed total when routing is used,do not use synthetic sum as actual routed result,"must record missing_required, blocked, or out_of_scope_by_claim",required_for_future_scoring_or_runtime
drawdown_shape,Tier A separate,true,full-context sample read,signal/trade/risk/execution as applicable,"must record missing_required, blocked, or out_of_scope_by_claim",required_for_future_scoring_or_runtime
drawdown_shape,Tier B separate,true,partial-context sample read,"same names as Tier A, with partial-context label","must record missing_required, blocked, or out_of_scope_by_claim",required_for_future_scoring_or_runtime
drawdown_shape,Tier A+B combined,true,combined read or actual routed total when routing is used,do not use synthetic sum as actual routed result,"must record missing_required, blocked, or out_of_scope_by_claim",required_for_future_scoring_or_runtime
regime_slice,Tier A separate,true,full-context sample read,signal/trade/risk/execution as applicable,"must record missing_required, blocked, or out_of_scope_by_claim",required_for_future_scoring_or_runtime
regime_slice,Tier B separate,true,partial-context sample read,"same names as Tier A, with partial-context label","must record missing_required, blocked, or out_of_scope_by_claim",required_for_future_scoring_or_runtime
regime_slice,Tier A+B combined,true,combined read or actual routed total when routing is used,do not use synthetic sum as actual routed result,"must record missing_required, blocked, or out_of_scope_by_claim",required_for_future_scoring_or_runtime
runtime_parity,Tier A separate,true,full-context sample read,signal/trade/risk/execution as applicable,"must record missing_required, blocked, or out_of_scope_by_claim",required_for_future_scoring_or_runtime
runtime_parity,Tier B separate,true,partial-context sample read,"same names as Tier A, with partial-context label","must record missing_required, blocked, or out_of_scope_by_claim",required_for_future_scoring_or_runtime
runtime_parity,Tier A+B combined,true,combined read or actual routed total when routing is used,do not use synthetic sum as actual routed result,"must record missing_required, blocked, or out_of_scope_by_claim",required_for_future_scoring_or_runtime
cp322a_exact_forward_handoff_missing,Tier A separate,true,full-context sample read,signal/trade/risk/execution as applicable,"must record missing_required, blocked, or out_of_scope_by_claim",required_for_future_scoring_or_runtime
cp322a_exact_forward_handoff_missing,Tier B separate,true,partial-context sample read,"same names as Tier A, with partial-context label","must record missing_required, blocked, or out_of_scope_by_claim",required_for_future_scoring_or_runtime
cp322a_exact_forward_handoff_missing,Tier A+B combined,true,combined read or actual routed total when routing is used,do not use synthetic sum as actual routed result,"must record missing_required, blocked, or out_of_scope_by_claim",required_for_future_scoring_or_runtime
