failure_axis,forbidden_rule_id,forbidden_rule,check_status,effect
cost_stress,model_training,no new model training in run335B,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
cost_stress,threshold_retuning,no threshold search or calibration from Stage334/335 results,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
cost_stress,lot_optimization,no lot or risk optimization from failure memory,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
cost_stress,direct_forward_pocket_filtering,no direct date/hour/month/regime exclusion copied from failure pockets,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
cost_stress,side_drop_or_side_threshold,no dropping long/short side after seeing direction failure,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
cost_stress,runtime_authority_claim,no runtime authority without MT5 tester output and telemetry,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
cost_stress,subject_swap,cp322A exact cannot consume run333E or non-identity evidence as exact handoff,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
curve_pocket,model_training,no new model training in run335B,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
curve_pocket,threshold_retuning,no threshold search or calibration from Stage334/335 results,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
curve_pocket,lot_optimization,no lot or risk optimization from failure memory,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
curve_pocket,direct_forward_pocket_filtering,no direct date/hour/month/regime exclusion copied from failure pockets,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
curve_pocket,side_drop_or_side_threshold,no dropping long/short side after seeing direction failure,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
curve_pocket,runtime_authority_claim,no runtime authority without MT5 tester output and telemetry,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
curve_pocket,subject_swap,cp322A exact cannot consume run333E or non-identity evidence as exact handoff,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
direction,model_training,no new model training in run335B,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
direction,threshold_retuning,no threshold search or calibration from Stage334/335 results,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
direction,lot_optimization,no lot or risk optimization from failure memory,passed_for_run335B_manifest_only,run335B creates guard inputs only and cannot be used as candidate evidence
