run_id,source_run_id,candidate_alias,candidate_role,guard_variant,guard_family,classification,net_delta_vs_run267d_atrcomp,net_delta_vs_run267e_atrmon,pf_delta_vs_run267d_atrcomp,trade_delta_vs_run267d_atrcomp,dd_delta_vs_run267d_atrcomp,weakest_month,weakest_month_net,weakest_weekday,weakest_weekday_net,worst_negative_axis,worst_negative_bucket,worst_negative_net,evidence_read,reuse_rule,claim_boundary
run267G_stage267_adx_followup_failure_memory_v1,run267F_stage267_atrcomp_guard_robustness_non_calendar_v1,s258_stc,stress_challenger,adx2025,trend_strength_non_calendar,partial_support_keep_as_soft_context_seed,61.3,-103.36,0.07222,-64.0,-2.02,2024-07,-98.91,Monday,-181.07,weekday,Monday,-181.07,ADX 20-25 hard guard(ADX 20-25 강한 방어)는 run267D(267D 실행) 대비 일부 개선이 있지만 run267E(267E 실행) Monday guard(월요일 방어)보다 약하고 Monday/July(월요일/7월)가 계속 깨졌다.,"정확한 hard prune(강한 절단)을 반복하지 말고 soft context feature(부드러운 문맥 피처), risk scaling(위험 배율), 또는 interaction term(상호작용 항)으로만 재사용한다.",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267G_stage267_adx_followup_failure_memory_v1,run267F_stage267_atrcomp_guard_robustness_non_calendar_v1,s264_aih,challenger_core,adx2025,trend_strength_non_calendar,partial_support_keep_as_soft_context_seed,35.73,-116.18,0.069103,-61.0,-0.84,2024-07,-96.82,Monday,-156.64,weekday,Monday,-156.64,ADX 20-25 hard guard(ADX 20-25 강한 방어)는 run267D(267D 실행) 대비 일부 개선이 있지만 run267E(267E 실행) Monday guard(월요일 방어)보다 약하고 Monday/July(월요일/7월)가 계속 깨졌다.,"정확한 hard prune(강한 절단)을 반복하지 말고 soft context feature(부드러운 문맥 피처), risk scaling(위험 배율), 또는 interaction term(상호작용 항)으로만 재사용한다.",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267G_stage267_adx_followup_failure_memory_v1,run267F_stage267_atrcomp_guard_robustness_non_calendar_v1,s264_aia,oos_anchor,adx2025,trend_strength_non_calendar,partial_support_keep_as_soft_context_seed,43.85,-102.56,0.073,-62.0,-1.0,2024-07,-96.82,Monday,-156.64,weekday,Monday,-156.64,ADX 20-25 hard guard(ADX 20-25 강한 방어)는 run267D(267D 실행) 대비 일부 개선이 있지만 run267E(267E 실행) Monday guard(월요일 방어)보다 약하고 Monday/July(월요일/7월)가 계속 깨졌다.,"정확한 hard prune(강한 절단)을 반복하지 말고 soft context feature(부드러운 문맥 피처), risk scaling(위험 배율), 또는 interaction term(상호작용 항)으로만 재사용한다.",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267G_stage267_adx_followup_failure_memory_v1,run267F_stage267_atrcomp_guard_robustness_non_calendar_v1,s264_lc,defensive_control,adx2025,trend_strength_non_calendar,partial_support_keep_as_soft_context_seed,45.62,-120.45,0.074269,-61.0,-0.82,2024-07,-93.54,Monday,-161.21,weekday,Monday,-161.21,ADX 20-25 hard guard(ADX 20-25 강한 방어)는 run267D(267D 실행) 대비 일부 개선이 있지만 run267E(267E 실행) Monday guard(월요일 방어)보다 약하고 Monday/July(월요일/7월)가 계속 깨졌다.,"정확한 hard prune(강한 절단)을 반복하지 말고 soft context feature(부드러운 문맥 피처), risk scaling(위험 배율), 또는 interaction term(상호작용 항)으로만 재사용한다.",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267G_stage267_adx_followup_failure_memory_v1,run267F_stage267_atrcomp_guard_robustness_non_calendar_v1,s262_lih,validation_heavy,adx2025,trend_strength_non_calendar,partial_support_keep_as_soft_context_seed,41.09,-119.32,0.06281,-61.0,-0.81,2024-07,-107.49,Monday,-158.19,weekday,Monday,-158.19,ADX 20-25 hard guard(ADX 20-25 강한 방어)는 run267D(267D 실행) 대비 일부 개선이 있지만 run267E(267E 실행) Monday guard(월요일 방어)보다 약하고 Monday/July(월요일/7월)가 계속 깨졌다.,"정확한 hard prune(강한 절단)을 반복하지 말고 soft context feature(부드러운 문맥 피처), risk scaling(위험 배율), 또는 interaction term(상호작용 항)으로만 재사용한다.",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267G_stage267_adx_followup_failure_memory_v1,run267F_stage267_atrcomp_guard_robustness_non_calendar_v1,s264_aih,challenger_core,dilowq33,directional_imbalance_replacement,negative_failure_memory_block_exact_repeat,-218.49,-370.4,-0.11056,-91.0,2.87,2024-06,-65.44,Monday,-97.09,chron_segment,chron_mid,-122.2,"DI-low q33(DI 낮은 33%) replacement(대체)는 모든 후보에서 net/PF(순수익/수익 팩터)를 악화했고 DD(drawdown, 손실폭)를 키웠다.",standalone q33 hard filter(단독 33% 강한 필터)는 반복 금지한다. DI spread(방향성 차이)는 ADX/ATR(추세 강도/ATR)와 결합된 연속 feature(피처)로만 재검토한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267G_stage267_adx_followup_failure_memory_v1,run267F_stage267_atrcomp_guard_robustness_non_calendar_v1,s264_aia,oos_anchor,dilowq33,directional_imbalance_replacement,negative_failure_memory_block_exact_repeat,-210.37,-356.78,-0.106663,-92.0,2.71,2024-06,-65.44,Monday,-97.09,chron_segment,chron_mid,-122.2,"DI-low q33(DI 낮은 33%) replacement(대체)는 모든 후보에서 net/PF(순수익/수익 팩터)를 악화했고 DD(drawdown, 손실폭)를 키웠다.",standalone q33 hard filter(단독 33% 강한 필터)는 반복 금지한다. DI spread(방향성 차이)는 ADX/ATR(추세 강도/ATR)와 결합된 연속 feature(피처)로만 재검토한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267G_stage267_adx_followup_failure_memory_v1,run267F_stage267_atrcomp_guard_robustness_non_calendar_v1,s264_lc,defensive_control,dilowq33,directional_imbalance_replacement,negative_failure_memory_block_exact_repeat,-197.9,-363.97,-0.105534,-90.0,3.87,2024-06,-64.95,Monday,-97.29,chron_segment,chron_mid,-129.9,"DI-low q33(DI 낮은 33%) replacement(대체)는 모든 후보에서 net/PF(순수익/수익 팩터)를 악화했고 DD(drawdown, 손실폭)를 키웠다.",standalone q33 hard filter(단독 33% 강한 필터)는 반복 금지한다. DI spread(방향성 차이)는 ADX/ATR(추세 강도/ATR)와 결합된 연속 feature(피처)로만 재검토한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267G_stage267_adx_followup_failure_memory_v1,run267F_stage267_atrcomp_guard_robustness_non_calendar_v1,s258_stc,stress_challenger,dilowq33,directional_imbalance_replacement,negative_failure_memory_block_exact_repeat,-233.47,-398.13,-0.114579,-94.0,6.23,2024-06,-81.14,Monday,-125.18,weekday,Monday,-125.18,"DI-low q33(DI 낮은 33%) replacement(대체)는 모든 후보에서 net/PF(순수익/수익 팩터)를 악화했고 DD(drawdown, 손실폭)를 키웠다.",standalone q33 hard filter(단독 33% 강한 필터)는 반복 금지한다. DI spread(방향성 차이)는 ADX/ATR(추세 강도/ATR)와 결합된 연속 feature(피처)로만 재검토한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267G_stage267_adx_followup_failure_memory_v1,run267F_stage267_atrcomp_guard_robustness_non_calendar_v1,s262_lih,validation_heavy,dilowq33,directional_imbalance_replacement,negative_failure_memory_block_exact_repeat,-189.09,-349.5,-0.111377,-90.0,5.61,2024-06,-64.95,Monday,-96.02,chron_segment,chron_mid,-176.01,"DI-low q33(DI 낮은 33%) replacement(대체)는 모든 후보에서 net/PF(순수익/수익 팩터)를 악화했고 DD(drawdown, 손실폭)를 키웠다.",standalone q33 hard filter(단독 33% 강한 필터)는 반복 금지한다. DI spread(방향성 차이)는 ADX/ATR(추세 강도/ATR)와 결합된 연속 feature(피처)로만 재검토한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
