run_id,input_path,exists,sha256,role(역할),claim_boundary(주장 경계)
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AF/final_decision.json,True,4413dc7e746270f80053365b1610dc8cc670a3661f9d218c1a4fdcd68013411d,supporting evidence(보조 근거),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AF/required_gate_coverage_audit.csv,True,aefd808ba0b3dc90d9233bf5f4d52be8d4b2334f0c0932fb98e9bc4c98a13481,supporting evidence(보조 근거),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AF/run364AG_scout_queue.csv,True,3394d67fc05c9fb9a723c9d465a4ff11e4360bd7aab88f6cff1c8aefaab85951,parent queue(부모 대기열),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AF/pf_lift_density_safe_profile.csv,True,fa9b20bb1ca67e137eff2e567dfe9467daaa8fe71a5a828e1a58e4d6b96924cc,supporting evidence(보조 근거),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AF/density_restore_rule_queue.csv,True,b18b86eb2fbc276411cbe6ce70f8895a108d93d5ee561dadf1f141c0796ce584,supporting evidence(보조 근거),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/03_reviews/run364AF_pf_lift_density_safe_inputs.md,True,e992d865adb1893c21e7e1dd5f93d07fb56466216d7e127335e9a462625915dc,supporting evidence(보조 근거),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364V/selected_runtime_candidate.json,True,9a215ecf4c6a0e32b264027951139895d669cef3f8385a04a86b10402aba869c,runtime candidate baseline(런타임 후보 기준),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364V/expected_tapes/dual_side_selected_expected_trade_tape.csv,True,45d1b81f8b5ef0571a994fd2dfda3f95c092b966c45eeb1c76ac566877e1238d,baseline expected trade tape(기준 예상 거래 테이프),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364V/dual_side_runtime_surface.csv,True,eaf18d991a57408c5925f2ed13590ffeca7de30e673fbd55c88eaaae784fd3a1,supporting evidence(보조 근거),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364M/feature_matrices/density_lift_trade_shape_features.csv,True,b30205801b5d8c3615d886adafd7053e225179a31aaac01d4782d36c391990ca,supporting evidence(보조 근거),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364M/feature_order.json,True,d7a1067f22872488e8ef8c2fa66dbc644b3845662164dd6d9584c0a6d5a883cc,runtime feature source(런타임 피처 원천),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
