run_id,next_run_id,queue_rank,candidate_id,axis_id,seed_candidate_id,h17_overlay_policy,cost_stress_policy,month_guard_policy,short_floor_policy,source_mix_policy,allowed_entry_operation,trade_splitting_status,top_n_status,exact_date_filter_status,timestamp_safe_inputs,minimum_density,minimum_short_count,success_criteria,failure_criteria,expected_effect,claim_boundary
run364CI_materialize_h17_focus_month_cost_stress_repair_inputs_without_db_v1,run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,1,cj01_h17_focus_stress_delta_floor,ci01_cost_stress_guard,cg09_best_open_hour_overlay_focus,focus_best_overlay_open_hour=17,stress_delta_floor_ge_0,none,preserve_short_floor_100,selected_source_mix,preserve_or_remove_existing_entries_only(기존 진입 보존 또는 제거만),"not_used_no_added_entries(미사용, 추가 진입 없음)",forbidden(금지),forbidden(금지),source_bucket/open_hour/month_of_year/quarter/probabilities known at entry(진입 시점 원천/시간/월중/분기/확률),3.0,100,stress_delta>=0;pf>=parent;density>=3;shorts>=100,stress_delta<0 or shorts<100,turns CH stress watch into explicit stress floor(CH 비용 관찰을 명시 압박 하한으로 전환),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CI_materialize_h17_focus_month_cost_stress_repair_inputs_without_db_v1,run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,2,cj02_h17_focus_native_hour_cost_firewall_soft,ci01_cost_stress_guard,cg09_best_open_hour_overlay_focus,focus_best_overlay_open_hour=17,native_short_hour17_20_soft_firewall,none,restore_native_short_if_below_100,native_short_cost_sensitive,preserve_or_remove_existing_entries_only(기존 진입 보존 또는 제거만),"not_used_no_added_entries(미사용, 추가 진입 없음)",forbidden(금지),forbidden(금지),source_bucket/open_hour/month_of_year/quarter/probabilities known at entry(진입 시점 원천/시간/월중/분기/확률),3.0,100,net_delta>0;stress_delta>=0;shorts>=100,net lift only from short collapse,tests cg07-like cost firewall without accepting short collapse(cg07류 비용 방화벽을 숏 붕괴 없이 시험),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CI_materialize_h17_focus_month_cost_stress_repair_inputs_without_db_v1,run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,3,cj03_h17_focus_swap_negative_native_trim,ci01_cost_stress_guard,cg09_best_open_hour_overlay_focus,focus_best_overlay_open_hour=17,trim_negative_swap_native_only,none,short_floor_hard_guard,source_bucket_cost_weighted,preserve_or_remove_existing_entries_only(기존 진입 보존 또는 제거만),"not_used_no_added_entries(미사용, 추가 진입 없음)",forbidden(금지),forbidden(금지),source_bucket/open_hour/month_of_year/quarter/probabilities known at entry(진입 시점 원천/시간/월중/분기/확률),3.0,100,swap haircut improves and density>=3,density or short floor breaks,targets swap drag while preserving density(밀도 보존하며 스왑 끌림 공략),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CI_materialize_h17_focus_month_cost_stress_repair_inputs_without_db_v1,run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,4,cj04_h17_focus_cost_anchor_control,ci01_cost_stress_guard,cg09_best_open_hour_overlay_focus,focus_best_overlay_open_hour=17,no_extra_cost_filter_control,none,preserve_short_floor_100,selected_source_mix,preserve_or_remove_existing_entries_only(기존 진입 보존 또는 제거만),"not_used_no_added_entries(미사용, 추가 진입 없음)",forbidden(금지),forbidden(금지),source_bucket/open_hour/month_of_year/quarter/probabilities known at entry(진입 시점 원천/시간/월중/분기/확률),3.0,100,matches CH selected proxy,control mismatch,anchors repair surface to CH selected proxy(CH 선택 프록시를 수리 표면 기준으로 고정),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CI_materialize_h17_focus_month_cost_stress_repair_inputs_without_db_v1,run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,5,cj05_month_of_year_08_overlay_soft_guard,ci02_bad_month_regime_guard,cg09_best_open_hour_overlay_focus,focus_best_overlay_open_hour=17,stress_delta_floor_ge_0,month_of_year=08(월중=08),preserve_short_floor_100,overlay_month_pressure_sensitive,preserve_or_remove_existing_entries_only(기존 진입 보존 또는 제거만),"not_used_no_added_entries(미사용, 추가 진입 없음)",forbidden(금지),forbidden(금지),source_bucket/open_hour/month_of_year/quarter/probabilities known at entry(진입 시점 원천/시간/월중/분기/확률),3.0,100,bad_month_count decreases;no exact date filter;density>=3;shorts>=100,requires exact 2025 month deletion or kills net lift,converts bad exact months into reusable calendar class guard(나쁜 정확 월을 재사용 가능한 달력 클래스 가드로 전환),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CI_materialize_h17_focus_month_cost_stress_repair_inputs_without_db_v1,run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,6,cj06_quarter_q3_pressure_overlay_soft_guard,ci02_bad_month_regime_guard,cg09_best_open_hour_overlay_focus,focus_best_overlay_open_hour=17,stress_delta_floor_ge_0,quarter=Q3(분기=Q3),preserve_short_floor_100,overlay_month_pressure_sensitive,preserve_or_remove_existing_entries_only(기존 진입 보존 또는 제거만),"not_used_no_added_entries(미사용, 추가 진입 없음)",forbidden(금지),forbidden(금지),source_bucket/open_hour/month_of_year/quarter/probabilities known at entry(진입 시점 원천/시간/월중/분기/확률),3.0,100,bad_month_count decreases;no exact date filter;density>=3;shorts>=100,requires exact 2025 month deletion or kills net lift,converts bad exact months into reusable calendar class guard(나쁜 정확 월을 재사용 가능한 달력 클래스 가드로 전환),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CI_materialize_h17_focus_month_cost_stress_repair_inputs_without_db_v1,run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,7,cj07_month_of_year_12_overlay_soft_guard,ci02_bad_month_regime_guard,cg09_best_open_hour_overlay_focus,focus_best_overlay_open_hour=17,stress_delta_floor_ge_0,month_of_year=12(월중=12),preserve_short_floor_100,overlay_month_pressure_sensitive,preserve_or_remove_existing_entries_only(기존 진입 보존 또는 제거만),"not_used_no_added_entries(미사용, 추가 진입 없음)",forbidden(금지),forbidden(금지),source_bucket/open_hour/month_of_year/quarter/probabilities known at entry(진입 시점 원천/시간/월중/분기/확률),3.0,100,bad_month_count decreases;no exact date filter;density>=3;shorts>=100,requires exact 2025 month deletion or kills net lift,converts bad exact months into reusable calendar class guard(나쁜 정확 월을 재사용 가능한 달력 클래스 가드로 전환),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CI_materialize_h17_focus_month_cost_stress_repair_inputs_without_db_v1,run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,8,cj08_quarter_q4_pressure_overlay_soft_guard,ci02_bad_month_regime_guard,cg09_best_open_hour_overlay_focus,focus_best_overlay_open_hour=17,stress_delta_floor_ge_0,quarter=Q4(분기=Q4),preserve_short_floor_100,overlay_month_pressure_sensitive,preserve_or_remove_existing_entries_only(기존 진입 보존 또는 제거만),"not_used_no_added_entries(미사용, 추가 진입 없음)",forbidden(금지),forbidden(금지),source_bucket/open_hour/month_of_year/quarter/probabilities known at entry(진입 시점 원천/시간/월중/분기/확률),3.0,100,bad_month_count decreases;no exact date filter;density>=3;shorts>=100,requires exact 2025 month deletion or kills net lift,converts bad exact months into reusable calendar class guard(나쁜 정확 월을 재사용 가능한 달력 클래스 가드로 전환),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CI_materialize_h17_focus_month_cost_stress_repair_inputs_without_db_v1,run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,9,cj09_cg07_native_short_cost_firewall_short_floor_rescue,ci03_short_floor_rescue,cg07_native_short_cost_firewall,inherit_source_h17_policy,inherit_source_cost_policy_with_stress_floor,none,restore_native_short_until_floor_100,source_candidate_plus_short_rescue,preserve_or_remove_existing_entries_only(기존 진입 보존 또는 제거만),"not_used_no_added_entries(미사용, 추가 진입 없음)",forbidden(금지),forbidden(금지),source_bucket/open_hour/month_of_year/quarter/probabilities known at entry(진입 시점 원천/시간/월중/분기/확률),3.0,100,net_delta>0;pf>=parent;density>=3;shorts>=100,short rescue erases net/PF edge,tries to recover higher-net CG variants without violating short floor(더 높은 순수익 CG 변형을 숏 하한 위반 없이 회수),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CI_materialize_h17_focus_month_cost_stress_repair_inputs_without_db_v1,run364CJ_train_h17_focus_month_cost_stress_repair_scout_without_db_v1,10,cj10_cg12_trade_shape_quality_no_split_short_floor_rescue,ci03_short_floor_rescue,cg12_trade_shape_quality_no_split,inherit_source_h17_policy,inherit_source_cost_policy_with_stress_floor,none,restore_native_short_until_floor_100,source_candidate_plus_short_rescue,preserve_or_remove_existing_entries_only(기존 진입 보존 또는 제거만),"not_used_no_added_entries(미사용, 추가 진입 없음)",forbidden(금지),forbidden(금지),source_bucket/open_hour/month_of_year/quarter/probabilities known at entry(진입 시점 원천/시간/월중/분기/확률),3.0,100,net_delta>0;pf>=parent;density>=3;shorts>=100,short rescue erases net/PF edge,tries to recover higher-net CG variants without violating short floor(더 높은 순수익 CG 변형을 숏 하한 위반 없이 회수),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
