evidence_label,path,exists,sha256,consumer,boundary
stage57_decision,stages/57_adapter_quality__equity_segment_kpi_audit_gate/03_reviews/stage57_decision.md,True,a95f85c7b6349d8d7c82f34b24d8ef336bf88446b7acd9c2a1498980dac3e8b2,stages/61_research_package__baseline_adapter_review_only/03_reviews/research_package_review.md,research_package_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment
stage57_equity_curve_audit,stages/57_adapter_quality__equity_segment_kpi_audit_gate/03_reviews/equity_curve_audit.md,True,eed30f07fd557592ac9f46fd882b7e04eae980aa71ed9d9bc4915c9674138cf6,stages/61_research_package__baseline_adapter_review_only/03_reviews/research_package_review.md,research_package_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment
stage57_segment_kpi_summary,stages/57_adapter_quality__equity_segment_kpi_audit_gate/03_reviews/segment_kpi_summary.csv,True,a7b650dac49dbed50e89531be088a033946b1b1dd0d030d63746a66be65fa03a,stages/61_research_package__baseline_adapter_review_only/03_reviews/research_package_review.md,research_package_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment
stage57_monthly_kpi_summary,stages/57_adapter_quality__equity_segment_kpi_audit_gate/03_reviews/monthly_kpi_summary.csv,True,18865753ea9afffa935d7993f851cae75156c347702e4be60080b9522262de7e,stages/61_research_package__baseline_adapter_review_only/03_reviews/research_package_review.md,research_package_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment
stage57_concentration_risk_report,stages/57_adapter_quality__equity_segment_kpi_audit_gate/03_reviews/concentration_risk_report.md,True,c1d24ea6e5fd7e587de86b380654ab7fd7b6d624a900f6732abe60742712bfda,stages/61_research_package__baseline_adapter_review_only/03_reviews/research_package_review.md,research_package_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment
stage58_decision,stages/58_adapter_risk__bounded_repair_before_atr_risk_integration/03_reviews/stage58_decision.md,True,1ce4fbc0dbf5c82a24c66aeb3f92c306ed2a465453b5adbe537335f17764705d,stages/61_research_package__baseline_adapter_review_only/03_reviews/research_package_review.md,research_package_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment
stage58_risk_atr_report,stages/58_adapter_risk__bounded_repair_before_atr_risk_integration/03_reviews/risk_atr_integration_report.md,True,93fa448da3ce807432f9180c9eb6c73bb6eadd2c86984c9def4e4f91e0484922,stages/61_research_package__baseline_adapter_review_only/03_reviews/research_package_review.md,research_package_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment
stage58_risk_telemetry_summary,stages/58_adapter_risk__bounded_repair_before_atr_risk_integration/03_reviews/risk_telemetry_summary.csv,True,ff984d752aa905cc39a1f77f4ae352d910ca9dc5190af2ecbca3b937069fcb57,stages/61_research_package__baseline_adapter_review_only/03_reviews/research_package_review.md,research_package_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment
stage58_atr_bracket_telemetry_summary,stages/58_adapter_risk__bounded_repair_before_atr_risk_integration/03_reviews/atr_bracket_telemetry_summary.csv,True,a489b09c9bd113e4f65da3602c9e7d0436e0b59421beee40c18f7afa9fbf239b,stages/61_research_package__baseline_adapter_review_only/03_reviews/research_package_review.md,research_package_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment
stage58_risk_floor_segment_impact,stages/58_adapter_risk__bounded_repair_before_atr_risk_integration/03_reviews/risk_floor_segment_impact.csv,True,b6d979e0bcc398597e200d200e1f6c7d48c4bc235d58c6c84f7370a5b9f5a7d4,stages/61_research_package__baseline_adapter_review_only/03_reviews/research_package_review.md,research_package_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment
