thesis_id,source_artifact,feature_family,bar_time_server,timestamp_utc,row_index,atr_14_over_atr_50,historical_vol_5_over_20,return_1_over_atr_14,adx_14,di_spread_14
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 16:35:00,2026-04-14T16:35:00Z,0,1.351380348,1.512090087,3.196977377,28.65270805,19.73647308
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 16:40:00,2026-04-14T16:40:00Z,1,1.412119746,1.552678466,-0.4909604788,30.14126587,23.46684456
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 16:45:00,2026-04-14T16:45:00Z,2,1.475076318,1.570347071,1.750574112,31.71777534,22.27772903
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 16:50:00,2026-04-14T16:50:00Z,3,1.489724636,1.512464881,-0.07262051851,33.40377045,22.68380165
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 16:55:00,2026-04-14T16:55:00Z,4,1.468590021,1.459817648,-0.2508740425,34.96933746,21.22689247
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 17:00:00,2026-04-14T17:00:00Z,5,1.456471086,1.014295816,-0.8238999844,34.69533157,13.11555099
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 17:05:00,2026-04-14T17:05:00Z,6,1.438274384,1.013990045,-0.02099619061,34.09698868,10.75030708
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 17:10:00,2026-04-14T17:10:00Z,7,1.46719265,0.9265280962,1.482886076,34.41013718,16.65985298
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 17:20:00,2026-04-14T17:20:00Z,8,1.445930839,0.9908956289,-0.3178165555,36.14624023,21.57335281
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 17:25:00,2026-04-14T17:25:00Z,9,1.445465565,0.8084182143,1.039181828,37.25104141,22.26562881
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 17:30:00,2026-04-14T17:30:00Z,10,1.419349194,0.7418347001,0.398047924,38.51832962,24.0552597
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 17:35:00,2026-04-14T17:35:00Z,11,1.387034535,0.6691432595,-0.3361647427,39.74492264,23.53723717
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 17:40:00,2026-04-14T17:40:00Z,12,1.386716008,0.6622927785,-0.2616630197,41.04014587,23.60426331
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 17:50:00,2026-04-14T17:50:00Z,13,1.343823791,0.452842325,0.631087482,42.49528503,21.26868439
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 17:55:00,2026-04-14T17:55:00Z,14,1.344653845,0.5141867399,0.6542751193,43.52091217,22.87170982
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 18:00:00,2026-04-14T18:00:00Z,15,1.316447616,0.5360313654,-0.4701436758,44.53232956,22.47422218
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 18:05:00,2026-04-14T18:05:00Z,16,1.308370352,0.6961767077,-0.9709390402,43.85855103,14.81795597
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 18:10:00,2026-04-14T18:10:00Z,17,1.296828985,0.7205941677,-0.4196079969,41.92972183,7.671631813
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 18:15:00,2026-04-14T18:15:00Z,18,1.286523461,0.8691985607,0.5477411747,40.47642517,9.703474998
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 18:20:00,2026-04-14T18:20:00Z,19,1.293926001,0.9815189838,0.9937007427,39.81698227,14.61214542
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 18:25:00,2026-04-14T18:25:00Z,20,1.286547065,1.101512909,0.5689536333,39.71379852,18.58724022
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 18:30:00,2026-04-14T18:30:00Z,21,1.274525166,0.7041060925,0.426502943,40.03063202,22.03781509
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 18:35:00,2026-04-14T18:35:00Z,22,1.255619287,0.329636842,0.411673516,40.4547081,22.34826469
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 18:40:00,2026-04-14T18:40:00Z,23,1.232726812,0.3616944849,0.4848178625,41.07303238,24.02540016
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 18:45:00,2026-04-14T18:45:00Z,24,1.225242853,0.1305235326,0.3454755247,41.90455627,25.82756805
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 18:50:00,2026-04-14T18:50:00Z,25,1.21686244,0.2549254894,0.7695756555,42.9501915,28.09228516
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 18:55:00,2026-04-14T18:55:00Z,26,1.201204181,0.2788998187,0.685167253,44.20749664,31.17760849
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 19:00:00,2026-04-14T19:00:00Z,27,1.194687366,0.994348824,-0.9054372311,44.95828247,27.20600319
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 19:05:00,2026-04-14T19:05:00Z,28,1.187599659,1.086845994,0.7948009968,45.54376221,24.86824036
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 19:10:00,2026-04-14T19:10:00Z,29,1.160725594,1.133817196,-0.1815723032,46.09951782,23.92152214
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 19:15:00,2026-04-14T19:15:00Z,30,1.125460386,1.059999108,0.0472843051,46.6155777,23.13381386
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 19:20:00,2026-04-14T19:20:00Z,31,1.107867837,1.044114232,0.6631336808,47.37627792,25.68655205
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 19:25:00,2026-04-14T19:25:00Z,32,1.096261024,0.6387536526,0.6223730445,48.35287476,28.23721886
pv_c56_volatility_cost_shape_sentry,c56_plain,volatility_cost_shape,2026.04.14 19:30:00,2026-04-14T19:30:00Z,33,1.081537366,0.5434629321,0.5211172104,49.53896713,31.53367615
