dimension,row_count,old_proxy_unique_values,mt5_runtime_unique_values,branch_specific_scout_unique_values,old_proxy_rank_usable,old_proxy_block_reason,scout_selection_usable,scout_forward_decision_usable,scout_diagnostic_usable,branch_variation_boundary,usability_judgment,claim_boundary
curve_pocket,66,1,6,6,false,repeated_aggregate_context_only_not_branch_specific,false,false,true_pending_run335S_review,shared_attempt_values_present,diagnostic_only_not_selection_usable,research_development_only_stage335R_repaired_attribution_proxy_scout_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
expectancy,66,1,6,6,false,repeated_aggregate_context_only_not_branch_specific,false,false,true_pending_run335S_review,shared_attempt_values_present,diagnostic_only_not_selection_usable,research_development_only_stage335R_repaired_attribution_proxy_scout_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
long_short_attribution,66,1,6,6,false,repeated_aggregate_context_only_not_branch_specific,false,false,true_pending_run335S_review,shared_attempt_values_present,diagnostic_only_not_selection_usable,research_development_only_stage335R_repaired_attribution_proxy_scout_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
lot_normalized_result,66,1,6,6,false,repeated_aggregate_context_only_not_branch_specific,false,false,true_pending_run335S_review,shared_attempt_values_present,diagnostic_only_not_selection_usable,research_development_only_stage335R_repaired_attribution_proxy_scout_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
max_drawdown,66,1,6,6,false,repeated_aggregate_context_only_not_branch_specific,false,false,true_pending_run335S_review,shared_attempt_values_present,diagnostic_only_not_selection_usable,research_development_only_stage335R_repaired_attribution_proxy_scout_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
net_profit,66,1,6,6,false,repeated_aggregate_context_only_not_branch_specific,false,false,true_pending_run335S_review,shared_attempt_values_present,diagnostic_only_not_selection_usable,research_development_only_stage335R_repaired_attribution_proxy_scout_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
profit_factor,66,1,6,6,false,repeated_aggregate_context_only_not_branch_specific,false,false,true_pending_run335S_review,shared_attempt_values_present,diagnostic_only_not_selection_usable,research_development_only_stage335R_repaired_attribution_proxy_scout_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
recovery_factor,66,1,6,6,false,repeated_aggregate_context_only_not_branch_specific,false,false,true_pending_run335S_review,shared_attempt_values_present,diagnostic_only_not_selection_usable,research_development_only_stage335R_repaired_attribution_proxy_scout_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
session_hour_regime,66,1,1,1,false,repeated_aggregate_context_only_not_branch_specific,false,false,true_pending_run335S_review,shared_attempt_values_present,diagnostic_only_not_selection_usable,research_development_only_stage335R_repaired_attribution_proxy_scout_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
spread_slippage_stress,66,1,6,6,false,repeated_aggregate_context_only_not_branch_specific,false,false,true_pending_run335S_review,shared_attempt_values_present,diagnostic_only_not_selection_usable,research_development_only_stage335R_repaired_attribution_proxy_scout_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
trades_per_day,66,1,6,6,false,repeated_aggregate_context_only_not_branch_specific,false,false,true_pending_run335S_review,shared_attempt_values_present,diagnostic_only_not_selection_usable,research_development_only_stage335R_repaired_attribution_proxy_scout_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
underwater_stretch,66,1,6,6,false,repeated_aggregate_context_only_not_branch_specific,false,false,true_pending_run335S_review,shared_attempt_values_present,diagnostic_only_not_selection_usable,research_development_only_stage335R_repaired_attribution_proxy_scout_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
overall_proxy_scout,792,,,,false,old_proxy_expected_values_remain_rejected_for_selection,false,false,true_pending_run335S_review,branch_grain_materialized_but_runtime_values_often_shared_by_attempt,proxy_scout_materialized_for_review_selection_blocked,research_development_only_stage335R_repaired_attribution_proxy_scout_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
