run_id,gate(게이트),status,evidence(근거),effect(효과),claim_boundary(주장 경계)
run364AH_review_pf_lift_density_safe_expansion_scout_without_db_v1,scope_completion_gate(범위 완료 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AH/final_decision.json,run364AH proxy review(364AH 프록시 검토)를 닫음,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AH_review_pf_lift_density_safe_expansion_scout_without_db_v1,input_parent_gate(부모 입력 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AH/input_manifest.csv,run364AG 산출물과 review queue(검토 대기열)를 확인함,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AH_review_pf_lift_density_safe_expansion_scout_without_db_v1,kpi_contract_audit(KPI 계약 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AH/surface_review.csv,PF/밀도/낙폭/거래수/방향 지표를 검토함,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AH_review_pf_lift_density_safe_expansion_scout_without_db_v1,row_grain_audit(행 단위 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AH/surface_review.csv,surface row(표면 행) 12개와 review queue(검토 대기열) 1개를 분리함,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AH_review_pf_lift_density_safe_expansion_scout_without_db_v1,source_authority_audit(원천 권위 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AH/data_integrity_receipt.json,부모 run364AG(실행364AG)를 원천으로 고정함,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AH_review_pf_lift_density_safe_expansion_scout_without_db_v1,package_boundary_gate(패키지 경계 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AH/package_gate_audit.csv,PF 목표 미달과 엄격 통과 0개로 패키지를 차단함,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AH_review_pf_lift_density_safe_expansion_scout_without_db_v1,performance_attribution_gate(성과 귀속 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AH/performance_attribution_receipt.json,세션/방향/PF-밀도 맞교환 원인을 기록함,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AH_review_pf_lift_density_safe_expansion_scout_without_db_v1,next_queue_gate(다음 대기열 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AH/run364AI_session_side_pf_lift_density_repair_queue.csv,run364AI(실행364AI) 수리 입력을 만듦,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AH_review_pf_lift_density_safe_expansion_scout_without_db_v1,artifact_lineage_audit(산출물 계보 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AH/artifact_lineage_receipt.json,입력/출력 해시를 연결함,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AH_review_pf_lift_density_safe_expansion_scout_without_db_v1,claim_boundary_audit(주장 경계 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AH/claim_boundary_receipt.json,런타임 권위와 운영 승격을 주장하지 않음,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AH_review_pf_lift_density_safe_expansion_scout_without_db_v1,required_gate_coverage_audit(필수 게이트 커버리지 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AH/required_gate_coverage_audit.csv,필수 게이트를 종료 기록에 연결함,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
