run_id,queue_id,axis_id,variant_id,review_status,source_candidate_status,combined_net_profit,combined_profit_factor,combined_trade_count,combined_trade_per_business_day,combined_expectancy,combined_max_drawdown,combined_recovery_factor,combined_long_count,combined_short_count,combined_long_short_balance,validation_net_profit,validation_profit_factor,validation_trade_per_business_day,oos_net_profit,oos_profit_factor,oos_trade_per_business_day,selection_score,claim_boundary(주장 경계)
run364AH_review_pf_lift_density_safe_expansion_scout_without_db_v1,selected_density_safe_control,control(대조),selected_density_safe_control__ps0_45__floor0_0__hold8,density_safe_pf_near_target_seed(밀도 안전 PF 근접 씨앗),watch_pf_below_target(PF 목표 미만 관찰),840.055,1.2739357721,1001.0,3.006006006,0.8392157842,-142.323,5.9024542765,882.0,119.0,0.1349206349,339.043,1.2146673268,2.6597938144,501.012,1.3368770697,3.4892086331,858.0676332645,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AH_review_pf_lift_density_safe_expansion_scout_without_db_v1,pfpass_short050_restore_short0475,pf_pass_density_restore(PF 통과 밀도 복원),pfpass_short050_restore_short0475__ps0_5__floor0_0__hold8,pf_pass_density_fail_repair_seed(PF 통과 밀도 실패 수리 씨앗),fail_density_floor(밀도 하한 실패),794.569,1.3021603444,895.0,2.6876876877,0.8877865922,-120.303,6.6047313866,882.0,13.0,0.014739229,364.584,1.2734167418,2.3659793814,429.985,1.3317299161,3.1366906475,431.485879878,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AH_review_pf_lift_density_safe_expansion_scout_without_db_v1,pf_pass_density_fail_control,control(대조),pf_pass_density_fail_control__ps0_5__floor0_0__hold8,pf_pass_density_fail_repair_seed(PF 통과 밀도 실패 수리 씨앗),fail_density_floor(밀도 하한 실패),799.943,1.3066323163,890.0,2.6726726727,0.8988123596,-120.303,6.6494019268,882.0,8.0,0.0090702948,369.958,1.2818487108,2.3402061856,429.985,1.3317299161,3.1366906475,420.948814176,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AH_review_pf_lift_density_safe_expansion_scout_without_db_v1,pfpass_short050_restore_margin008,pf_pass_density_restore(PF 통과 밀도 복원),pfpass_short050_restore_margin008__ps0_5__floor0_0__hold8,pf_pass_density_fail_repair_seed(PF 통과 밀도 실패 수리 씨앗),fail_density_floor(밀도 하한 실패),799.943,1.3066323163,890.0,2.6726726727,0.8988123596,-120.303,6.6494019268,882.0,8.0,0.0090702948,369.958,1.2818487108,2.3402061856,429.985,1.3317299161,3.1366906475,420.948814176,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AH_review_pf_lift_density_safe_expansion_scout_without_db_v1,selected_short0455_restore_margin010,short_quality_plus_density_restore(숏 품질 + 밀도 복원),selected_short0455_restore_margin010__ps0_455__floor0_0__hold8,reject_density_floor(밀도 하한 탈락),fail_density_floor(밀도 하한 실패),799.923,1.2639812133,987.0,2.963963964,0.8104589666,-133.361,5.9981778781,882.0,105.0,0.119047619,326.765,1.2116116523,2.6082474227,473.158,1.3183989276,3.4604316547,770.39052003,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AH_review_pf_lift_density_safe_expansion_scout_without_db_v1,selected_short0460_restore_margin010,short_quality_plus_density_restore(숏 품질 + 밀도 복원),selected_short0460_restore_margin010__ps0_46__floor0_0__hold8,reject_density_floor(밀도 하한 탈락),fail_density_floor(밀도 하한 실패),774.416,1.2598776815,966.0,2.9009009009,0.8016728778,-133.361,5.8069150651,881.0,85.0,0.0964812713,328.043,1.2152571034,2.5463917526,446.373,1.3065820218,3.3956834532,659.3669527215,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AH_review_pf_lift_density_safe_expansion_scout_without_db_v1,selected_short0465_restore_margin008,short_quality_plus_density_restore(숏 품질 + 밀도 복원),selected_short0465_restore_margin008__ps0_465__floor0_0__hold8,reject_density_floor(밀도 하한 탈락),fail_density_floor(밀도 하한 실패),672.228,1.2262896407,956.0,2.8708708709,0.703167364,-125.956,5.3370065737,882.0,74.0,0.0839002268,272.505,1.1798386432,2.5154639175,399.723,1.2746523584,3.3669064748,507.038339414,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AH_review_pf_lift_density_safe_expansion_scout_without_db_v1,mixed_long041_adx35_short0475,mixed_density_restore(혼합 밀도 복원),mixed_long041_adx35_short0475__ps0_475__floor0_0__hold8,reject_density_floor(밀도 하한 탈락),fail_density_floor(밀도 하한 실패),620.121,1.2122481628,936.0,2.8108108108,0.6625224359,-122.656,5.0557738716,886.0,50.0,0.0564334086,247.559,1.1682185518,2.4639175258,372.562,1.2569343489,3.2949640288,370.016924233,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AH_review_pf_lift_density_safe_expansion_scout_without_db_v1,selected_short0475_restore_short0475,short_quality_plus_density_restore(숏 품질 + 밀도 복원),selected_short0475_restore_short0475__ps0_475__floor0_0__hold8,reject_density_floor(밀도 하한 탈락),fail_density_floor(밀도 하한 실패),628.996,1.216407956,932.0,2.7987987988,0.674888412,-122.656,5.128130707,882.0,50.0,0.0566893424,256.434,1.1760616711,2.4432989691,372.562,1.2569343489,3.2949640288,365.762892532,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AH_review_pf_lift_density_safe_expansion_scout_without_db_v1,pfpass_short049_restore_margin010,pf_pass_density_restore(PF 통과 밀도 복원),pfpass_short049_restore_margin010__ps0_49__floor0_0__hold8,reject_density_floor(밀도 하한 탈락),fail_density_floor(밀도 하한 실패),754.681,1.2815511632,902.0,2.7087087087,0.8366751663,-120.303,6.2731685827,882.0,20.0,0.022675737,327.033,1.2400947067,2.3711340206,427.648,1.3243836946,3.1798561151,404.506076536,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
