run_id,queue_id,axis_id,cause,combined_net_profit,combined_profit_factor,combined_trade_per_business_day,combined_max_drawdown,march_restore_count,entry_margin_floor_filtered_count,session_side_blocked_count,effect,claim_boundary
run364AN_review_pf_pass_density_restore_offensive_scout_without_db_v1,density_anchor_hold6_pf_probe(밀도 기준 보유6 PF 탐침),hold_shape(보유 형태),"density_recovered_pf_dd_shortfall(밀도 회복, PF/DD 부족)",858.662,1.2724135667,3.5075075075,-168.999,12,0,0,다음 materialization(구체화)에서 살릴 축과 금지할 축을 분리한다.,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AN_review_pf_pass_density_restore_offensive_scout_without_db_v1,control_replay_density_anchor(대조 재생 밀도 기준점),control_anchor(대조 기준),"density_recovered_pf_dd_shortfall(밀도 회복, PF/DD 부족)",840.055,1.2739357721,3.006006006,-142.323,12,0,0,다음 materialization(구체화)에서 살릴 축과 금지할 축을 분리한다.,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AN_review_pf_pass_density_restore_offensive_scout_without_db_v1,density_anchor_short0455_edge(밀도 기준 숏0.455 경계),threshold_edge(임계값 경계),weak_or_watch(약함 또는 관찰),789.589,1.2670836468,2.9039039039,-133.361,10,0,44,다음 materialization(구체화)에서 살릴 축과 금지할 축을 분리한다.,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AN_review_pf_pass_density_restore_offensive_scout_without_db_v1,pfpass_core_short_restore_budget_010(PF통과 핵심 숏 0.10 복원),short_restore(숏 복원),"pf_good_density_shortfall(PF 양호, 밀도 부족)",845.554,1.3287468527,2.6636636637,-120.303,0,0,2,다음 materialization(구체화)에서 살릴 축과 금지할 축을 분리한다.,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AN_review_pf_pass_density_restore_offensive_scout_without_db_v1,pfpass_guardrail_no_trade_split(PF통과 거래쪼개기 금지 가드),guardrail(가드레일),"pf_good_density_shortfall(PF 양호, 밀도 부족)",845.554,1.3287468527,2.6636636637,-120.303,0,0,2,다음 materialization(구체화)에서 살릴 축과 금지할 축을 분리한다.,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AN_review_pf_pass_density_restore_offensive_scout_without_db_v1,dd_seed_density_restore_core_late(낙폭 씨앗 핵심후반 밀도 복원),dd_restore(낙폭 복원),weak_or_watch(약함 또는 관찰),688.499,1.2534558955,2.7807807808,-128.108,54,0,571,다음 materialization(구체화)에서 살릴 축과 금지할 축을 분리한다.,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AN_review_pf_pass_density_restore_offensive_scout_without_db_v1,pfpass_late_long_density_patch(PF통과 후반 롱 밀도 패치),late_long_restore(후반 롱 복원),"pf_good_density_shortfall(PF 양호, 밀도 부족)",810.666,1.310783255,2.6696696697,-120.303,2,0,2,다음 materialization(구체화)에서 살릴 축과 금지할 축을 분리한다.,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AN_review_pf_pass_density_restore_offensive_scout_without_db_v1,pfpass_month_pocket_observation(PF통과 월 포켓 관찰),market_behavior(시장 현상),"pf_good_density_shortfall(PF 양호, 밀도 부족)",799.943,1.3066323163,2.6726726727,-120.303,0,0,0,다음 materialization(구체화)에서 살릴 축과 금지할 축을 분리한다.,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AN_review_pf_pass_density_restore_offensive_scout_without_db_v1,pfpass_validation_balance_patch(PF통과 검증 균형 패치),split_balance(분할 균형),margin_floor_overfilter(마진 하한 과필터),390.702,1.2128851815,1.7087087087,-164.69,0,1893,0,다음 materialization(구체화)에서 살릴 축과 금지할 축을 분리한다.,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AN_review_pf_pass_density_restore_offensive_scout_without_db_v1,pfpass_non_drag_session_restore(PF통과 비끌림 세션 복원),session_restore(세션 복원),margin_floor_overfilter(마진 하한 과필터),343.724,1.1795958461,1.7537537538,-164.69,44,1894,2,다음 materialization(구체화)에서 살릴 축과 금지할 축을 분리한다.,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
