gate_id,status,observed,expected,effect,claim_boundary
bn_gate_parent_final_loaded,passed,parent_next=run337BN_design_forward_safe_route_signal_rebuild_packet_without_db_v1,run337BM opens run337BN(run337BM이 run337BN을 연다),keeps rebuild design auditable before execution(재구축 설계를 실행 전에 감사 가능하게 유지),research_development_only_stage337BN_forward_safe_route_signal_rebuild_design_without_db_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bn_gate_parent_gates_passed,passed,bm_gates=10,run337BM gates passed(run337BM 게이트 통과),keeps rebuild design auditable before execution(재구축 설계를 실행 전에 감사 가능하게 유지),research_development_only_stage337BN_forward_safe_route_signal_rebuild_design_without_db_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bn_gate_live_rebuild_option_present,passed,live_rebuild_allowed=True,live-computable rebuild option allowed(실시간 계산 가능 재구축 선택지 허용),keeps rebuild design auditable before execution(재구축 설계를 실행 전에 감사 가능하게 유지),research_development_only_stage337BN_forward_safe_route_signal_rebuild_design_without_db_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bn_gate_work_packet_spec_ready,passed,work_rows=2,work packet boundaries recorded(작업 묶음 경계 기록),keeps rebuild design auditable before execution(재구축 설계를 실행 전에 감사 가능하게 유지),research_development_only_stage337BN_forward_safe_route_signal_rebuild_design_without_db_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bn_gate_live_input_contract_ready,passed,input_rows=3,live-computable input contract recorded(실시간 계산 가능 입력 계약 기록),keeps rebuild design auditable before execution(재구축 설계를 실행 전에 감사 가능하게 유지),research_development_only_stage337BN_forward_safe_route_signal_rebuild_design_without_db_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bn_gate_no_overfit_controls_ready,passed,gate_rows=5;outcome_ban=True,no-overfit gates include outcome-source ban(무과적합 게이트가 결과 원천 금지를 포함),keeps rebuild design auditable before execution(재구축 설계를 실행 전에 감사 가능하게 유지),research_development_only_stage337BN_forward_safe_route_signal_rebuild_design_without_db_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bn_gate_negative_controls_ready,passed,negative_rows=8,negative controls predeclared(부정 대조 사전 선언),keeps rebuild design auditable before execution(재구축 설계를 실행 전에 감사 가능하게 유지),research_development_only_stage337BN_forward_safe_route_signal_rebuild_design_without_db_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bn_gate_rebuild_lanes_scoped,passed,lane_rows=3,lanes scoped before training(학습 전 경로 범위 지정),keeps rebuild design auditable before execution(재구축 설계를 실행 전에 감사 가능하게 유지),research_development_only_stage337BN_forward_safe_route_signal_rebuild_design_without_db_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bn_gate_external_proof_required,passed,proof_rows=4;mt5=True,external MT5 proof required(외부 MT5 검증 필요),keeps rebuild design auditable before execution(재구축 설계를 실행 전에 감사 가능하게 유지),research_development_only_stage337BN_forward_safe_route_signal_rebuild_design_without_db_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bn_gate_forward_data_blocker_named,passed,forward_missing_block=True,missing forward data has blocked status(전진 데이터 누락 차단 상태 존재),keeps rebuild design auditable before execution(재구축 설계를 실행 전에 감사 가능하게 유지),research_development_only_stage337BN_forward_safe_route_signal_rebuild_design_without_db_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bn_gate_queue_ready,passed,queue_rows=1,run337BO queue ready(run337BO 대기열 준비),keeps rebuild design auditable before execution(재구축 설계를 실행 전에 감사 가능하게 유지),research_development_only_stage337BN_forward_safe_route_signal_rebuild_design_without_db_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bn_gate_no_goal_or_forward_pass_claim,passed,forward_passed=not_claimed;goal=not_claimed,no forbidden claim(금지 주장 없음),keeps rebuild design auditable before execution(재구축 설계를 실행 전에 감사 가능하게 유지),research_development_only_stage337BN_forward_safe_route_signal_rebuild_design_without_db_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
