queue_id,thesis_id,source_artifact,scoring_mode,db_source,status,reason,effect
pv_c56_session_liquidity_veto__control_no_veto,pv_c56_session_liquidity_veto,c56_plain,control_no_veto,not_available_in_stage330_non_identity_payload,out_of_scope_by_claim,"guarded payloads inherit c56/m48 non-identity raw-forward signals, not original cp322A D/B decision surface rows.",D/B attribution is explicitly unavailable and cannot support Forward Passed.
pv_c56_session_liquidity_veto__hard_veto,pv_c56_session_liquidity_veto,c56_plain,hard_veto,not_available_in_stage330_non_identity_payload,out_of_scope_by_claim,"guarded payloads inherit c56/m48 non-identity raw-forward signals, not original cp322A D/B decision surface rows.",D/B attribution is explicitly unavailable and cannot support Forward Passed.
pv_c56_session_liquidity_veto__negative_control,pv_c56_session_liquidity_veto,c56_plain,negative_control,not_available_in_stage330_non_identity_payload,out_of_scope_by_claim,"guarded payloads inherit c56/m48 non-identity raw-forward signals, not original cp322A D/B decision surface rows.",D/B attribution is explicitly unavailable and cannot support Forward Passed.
pv_c56_session_liquidity_veto__soft_veto,pv_c56_session_liquidity_veto,c56_plain,soft_veto,not_available_in_stage330_non_identity_payload,out_of_scope_by_claim,"guarded payloads inherit c56/m48 non-identity raw-forward signals, not original cp322A D/B decision surface rows.",D/B attribution is explicitly unavailable and cannot support Forward Passed.
pv_c56_volatility_cost_shape_sentry__control_no_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,control_no_veto,not_available_in_stage330_non_identity_payload,out_of_scope_by_claim,"guarded payloads inherit c56/m48 non-identity raw-forward signals, not original cp322A D/B decision surface rows.",D/B attribution is explicitly unavailable and cannot support Forward Passed.
pv_c56_volatility_cost_shape_sentry__hard_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,hard_veto,not_available_in_stage330_non_identity_payload,out_of_scope_by_claim,"guarded payloads inherit c56/m48 non-identity raw-forward signals, not original cp322A D/B decision surface rows.",D/B attribution is explicitly unavailable and cannot support Forward Passed.
pv_c56_volatility_cost_shape_sentry__negative_control,pv_c56_volatility_cost_shape_sentry,c56_plain,negative_control,not_available_in_stage330_non_identity_payload,out_of_scope_by_claim,"guarded payloads inherit c56/m48 non-identity raw-forward signals, not original cp322A D/B decision surface rows.",D/B attribution is explicitly unavailable and cannot support Forward Passed.
pv_c56_volatility_cost_shape_sentry__soft_veto,pv_c56_volatility_cost_shape_sentry,c56_plain,soft_veto,not_available_in_stage330_non_identity_payload,out_of_scope_by_claim,"guarded payloads inherit c56/m48 non-identity raw-forward signals, not original cp322A D/B decision surface rows.",D/B attribution is explicitly unavailable and cannot support Forward Passed.
pv_m48_breadth_reintroduction_control__control_no_veto,pv_m48_breadth_reintroduction_control,m48_plain,control_no_veto,not_available_in_stage330_non_identity_payload,out_of_scope_by_claim,"guarded payloads inherit c56/m48 non-identity raw-forward signals, not original cp322A D/B decision surface rows.",D/B attribution is explicitly unavailable and cannot support Forward Passed.
pv_m48_breadth_reintroduction_control__hard_veto,pv_m48_breadth_reintroduction_control,m48_plain,hard_veto,not_available_in_stage330_non_identity_payload,out_of_scope_by_claim,"guarded payloads inherit c56/m48 non-identity raw-forward signals, not original cp322A D/B decision surface rows.",D/B attribution is explicitly unavailable and cannot support Forward Passed.
pv_m48_breadth_reintroduction_control__soft_veto,pv_m48_breadth_reintroduction_control,m48_plain,soft_veto,not_available_in_stage330_non_identity_payload,out_of_scope_by_claim,"guarded payloads inherit c56/m48 non-identity raw-forward signals, not original cp322A D/B decision surface rows.",D/B attribution is explicitly unavailable and cannot support Forward Passed.
pv_m48_macro_rate_volatility_guard__control_no_veto,pv_m48_macro_rate_volatility_guard,m48_plain,control_no_veto,not_available_in_stage330_non_identity_payload,out_of_scope_by_claim,"guarded payloads inherit c56/m48 non-identity raw-forward signals, not original cp322A D/B decision surface rows.",D/B attribution is explicitly unavailable and cannot support Forward Passed.
pv_m48_macro_rate_volatility_guard__hard_veto,pv_m48_macro_rate_volatility_guard,m48_plain,hard_veto,not_available_in_stage330_non_identity_payload,out_of_scope_by_claim,"guarded payloads inherit c56/m48 non-identity raw-forward signals, not original cp322A D/B decision surface rows.",D/B attribution is explicitly unavailable and cannot support Forward Passed.
pv_m48_macro_rate_volatility_guard__negative_control,pv_m48_macro_rate_volatility_guard,m48_plain,negative_control,not_available_in_stage330_non_identity_payload,out_of_scope_by_claim,"guarded payloads inherit c56/m48 non-identity raw-forward signals, not original cp322A D/B decision surface rows.",D/B attribution is explicitly unavailable and cannot support Forward Passed.
pv_m48_macro_rate_volatility_guard__soft_veto,pv_m48_macro_rate_volatility_guard,m48_plain,soft_veto,not_available_in_stage330_non_identity_payload,out_of_scope_by_claim,"guarded payloads inherit c56/m48 non-identity raw-forward signals, not original cp322A D/B decision surface rows.",D/B attribution is explicitly unavailable and cannot support Forward Passed.
