queue_id,attempt_name,artifact_slug,stress_axis,scenario_id,severity,materialization_action,source_feature_matrix,source_model,source_trade_records,source_slice_report,instruction,allowed_change,selection_eligible,claim_boundary
run334F_c56_bal_rf_cost_plus_1,c56_bal_rf,c56_bal,cost_stress,cost_plus_1,red,materialize_fixed_input_diagnostic_view,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330E/feature_matrices/c56_bal_raw_forward_features.csv,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/c56_bal.onnx,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/trade_level_records.csv,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/session_hour_month_volatility_adx_vix_usd_rate_slices.csv,require PF after +1.0 synthetic round-trip cost to stay above 1 as a diagnostic hurdle,none_to_model_threshold_lot_risk_runtime_logic,false,research_development_only_no_retune_nonidentity_stress_probe_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_c56_bal_rf_cost_plus_2,c56_bal_rf,c56_bal,cost_stress,cost_plus_2,red,materialize_fixed_input_diagnostic_view,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330E/feature_matrices/c56_bal_raw_forward_features.csv,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/c56_bal.onnx,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/trade_level_records.csv,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/session_hour_month_volatility_adx_vix_usd_rate_slices.csv,record whether +2.0 synthetic cost breaks the surface,none_to_model_threshold_lot_risk_runtime_logic,false,research_development_only_no_retune_nonidentity_stress_probe_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_c56_bal_rf_rolling_worst_curve,c56_bal_rf,c56_bal,curve_pocket,rolling_worst_curve,red,materialize_fixed_input_diagnostic_view,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330E/feature_matrices/c56_bal_raw_forward_features.csv,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/c56_bal.onnx,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/trade_level_records.csv,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/session_hour_month_volatility_adx_vix_usd_rate_slices.csv,replay worst rolling pocket without date exclusion or threshold changes,none_to_model_threshold_lot_risk_runtime_logic,false,research_development_only_no_retune_nonidentity_stress_probe_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_c56_bal_rf_worst_regime_slice,c56_bal_rf,c56_bal,regime_slice,worst_regime_slice,red,materialize_fixed_input_diagnostic_view,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330E/feature_matrices/c56_bal_raw_forward_features.csv,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/c56_bal.onnx,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/trade_level_records.csv,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/session_hour_month_volatility_adx_vix_usd_rate_slices.csv,inspect worst session/hour/month/volatility/ADX/VIX/USD/rate slice,none_to_model_threshold_lot_risk_runtime_logic,false,research_development_only_no_retune_nonidentity_stress_probe_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_c56_bal_rf_directional_side,c56_bal_rf,c56_bal,direction,directional_side,red,materialize_fixed_input_diagnostic_view,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330E/feature_matrices/c56_bal_raw_forward_features.csv,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/c56_bal.onnx,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/trade_level_records.csv,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/session_hour_month_volatility_adx_vix_usd_rate_slices.csv,audit weak long/short side without dropping a direction,none_to_model_threshold_lot_risk_runtime_logic,false,research_development_only_no_retune_nonidentity_stress_probe_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_c56_bal_rf_underwater_stretch,c56_bal_rf,c56_bal,drawdown_shape,underwater_stretch,red,materialize_fixed_input_diagnostic_view,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330E/feature_matrices/c56_bal_raw_forward_features.csv,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/c56_bal.onnx,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/trade_level_records.csv,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/session_hour_month_volatility_adx_vix_usd_rate_slices.csv,inspect underwater stretch as a trade-shape risk,none_to_model_threshold_lot_risk_runtime_logic,false,research_development_only_no_retune_nonidentity_stress_probe_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_c56_bal_rf_runtime_identity,c56_bal_rf,c56_bal,runtime_parity,runtime_identity,red,materialize_fixed_input_diagnostic_view,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330E/feature_matrices/c56_bal_raw_forward_features.csv,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/c56_bal.onnx,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/trade_level_records.csv,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/session_hour_month_volatility_adx_vix_usd_rate_slices.csv,verify feature/model/set/report/telemetry identity before any rerun,none_to_model_threshold_lot_risk_runtime_logic,false,research_development_only_no_retune_nonidentity_stress_probe_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_c56_plain_rf_cost_plus_1,c56_plain_rf,c56_plain,cost_stress,cost_plus_1,amber,materialize_fixed_input_diagnostic_view,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330E/feature_matrices/c56_plain_raw_forward_features.csv,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/c56_plain.onnx,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/trade_level_records.csv,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/session_hour_month_volatility_adx_vix_usd_rate_slices.csv,require PF after +1.0 synthetic round-trip cost to stay above 1 as a diagnostic hurdle,none_to_model_threshold_lot_risk_runtime_logic,false,research_development_only_no_retune_nonidentity_stress_probe_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_c56_plain_rf_cost_plus_2,c56_plain_rf,c56_plain,cost_stress,cost_plus_2,amber,materialize_fixed_input_diagnostic_view,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330E/feature_matrices/c56_plain_raw_forward_features.csv,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/c56_plain.onnx,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/trade_level_records.csv,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/session_hour_month_volatility_adx_vix_usd_rate_slices.csv,record whether +2.0 synthetic cost breaks the surface,none_to_model_threshold_lot_risk_runtime_logic,false,research_development_only_no_retune_nonidentity_stress_probe_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run334F_c56_plain_rf_rolling_worst_curve,c56_plain_rf,c56_plain,curve_pocket,rolling_worst_curve,amber,materialize_fixed_input_diagnostic_view,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330E/feature_matrices/c56_plain_raw_forward_features.csv,stages/329_onnx_rebuild__live_feature_control/02_runs/run329C/onnx/c56_plain.onnx,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/trade_level_records.csv,stages/330_onnx_rebuild__forward_safe_non_identity_surface_robustness/02_runs/run330F/session_hour_month_volatility_adx_vix_usd_rate_slices.csv,replay worst rolling pocket without date exclusion or threshold changes,none_to_model_threshold_lot_risk_runtime_logic,false,research_development_only_no_retune_nonidentity_stress_probe_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
