run_id,next_run_id,queue_rank,queue_id,axis_id,queue_type,seed_variant_id,short_probability_threshold,long_block_min,max_hold_m5,entry_margin_floor,bridge_policy,bridge_policy_value,bridge_expression,expected_effect(효과),timestamp_safety_status,trade_splitting_status,claim_boundary(주장 경계)
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,1,selected_density_safe_control,control(대조),control(대조),stress3_restore_non_hour16_margin_0_1__ps0_45__adx40_0__hold8,0.45,40.0,8,0.0,restore_march_non_hour16_margin,0.10,short_threshold=0.45; restore non_hour16 abs_margin>=0.10,replay run364AD selected density-safe candidate(364AD 선택 밀도 안전 후보 재생),timestamp_safe_fixed_threshold(시점 안전 고정 임계값),not_used(거래 쪼개기 없음),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,2,pf_pass_density_fail_control,control(대조),control(대조),stress4_short050_pf_lift,0.5,40.0,8,0.0,block_march_long,,short_threshold=0.50; entry_month=2025-03 block side=long,replay PF-pass density-fail control(PF 통과 밀도 실패 대조 재생),timestamp_safe_fixed_threshold(시점 안전 고정 임계값),not_used(거래 쪼개기 없음),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,3,selected_short0455_restore_margin010,short_quality_plus_density_restore(숏 품질 + 밀도 복원),candidate(후보),stress3_restore_non_hour16_margin_0_1__ps0_45__adx40_0__hold8,0.455,40.0,8,0.0,restore_march_non_hour16_margin,0.10,short_threshold=0.455; restore non_hour16 abs_margin>=0.10,small PF lift while keeping selected density bridge(선택 밀도 연결을 유지하며 작은 PF 상승 시험),timestamp_safe_fixed_threshold(시점 안전 고정 임계값),not_used(거래 쪼개기 없음),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,4,selected_short0460_restore_margin010,short_quality_plus_density_restore(숏 품질 + 밀도 복원),candidate(후보),stress3_restore_non_hour16_margin_0_1__ps0_45__adx40_0__hold8,0.46,40.0,8,0.0,restore_march_non_hour16_margin,0.10,short_threshold=0.46; restore non_hour16 abs_margin>=0.10,raise short threshold and measure density break risk(숏 임계값을 올리고 밀도 붕괴 위험 측정),timestamp_safe_fixed_threshold(시점 안전 고정 임계값),not_used(거래 쪼개기 없음),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,5,selected_short0465_restore_margin008,short_quality_plus_density_restore(숏 품질 + 밀도 복원),candidate(후보),stress3_restore_non_hour16_margin_0_1__ps0_45__adx40_0__hold8,0.465,40.0,8,0.0,restore_march_non_hour16_margin,0.08,short_threshold=0.465; restore non_hour16 abs_margin>=0.08,counter higher short threshold with wider restore(높은 숏 임계값을 더 넓은 복원으로 상쇄),timestamp_safe_fixed_threshold(시점 안전 고정 임계값),not_used(거래 쪼개기 없음),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,6,selected_short0475_restore_short0475,short_quality_plus_density_restore(숏 품질 + 밀도 복원),candidate(후보),stress3_restore_non_hour16_margin_0_1__ps0_45__adx40_0__hold8,0.475,40.0,8,0.0,restore_march_short_p,0.475,short_threshold=0.475; restore side=short p_short>=0.475,let short quality carry both PF and density(숏 품질이 PF와 밀도를 함께 담당하는지 시험),timestamp_safe_fixed_threshold(시점 안전 고정 임계값),not_used(거래 쪼개기 없음),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,7,selected_margin_floor002_restore_margin008,margin_band_pf_lift(마진 구간 PF 상승),candidate(후보),stress3_restore_non_hour16_margin_0_1__ps0_45__adx40_0__hold8,0.45,40.0,8,0.02,restore_march_non_hour16_margin,0.08,entry_margin_floor=0.02; restore non_hour16 abs_margin>=0.08,remove low-margin noise while preserving density restore(저마진 잡음을 줄이며 밀도 복원 보존),timestamp_safe_fixed_threshold(시점 안전 고정 임계값),not_used(거래 쪼개기 없음),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,8,selected_margin_floor003_restore_margin010,margin_band_pf_lift(마진 구간 PF 상승),candidate(후보),stress3_restore_non_hour16_margin_0_1__ps0_45__adx40_0__hold8,0.45,40.0,8,0.03,restore_march_non_hour16_margin,0.10,entry_margin_floor=0.03; restore non_hour16 abs_margin>=0.10,test stricter margin floor against PF gap(더 엄격한 마진 하한으로 PF 부족분 시험),timestamp_safe_fixed_threshold(시점 안전 고정 임계값),not_used(거래 쪼개기 없음),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,9,pfpass_short050_restore_margin008,pf_pass_density_restore(PF 통과 밀도 복원),candidate(후보),stress4_short050_pf_lift,0.5,40.0,8,0.0,block_march_long_restore_non_hour16_margin,0.08,short_threshold=0.50; block March long; restore non_hour16 abs_margin>=0.08,recover density around PF-pass control(PF 통과 대조 주변의 밀도 복원),timestamp_safe_fixed_threshold(시점 안전 고정 임계값),not_used(거래 쪼개기 없음),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,10,pfpass_short049_restore_margin010,pf_pass_density_restore(PF 통과 밀도 복원),candidate(후보),stress4_short050_pf_lift,0.49,40.0,8,0.0,block_march_long_restore_non_hour16_margin,0.10,short_threshold=0.49; block March long; restore non_hour16 abs_margin>=0.10,slightly loosen PF-pass short gate to regain density(PF 통과 숏 문턱을 조금 낮춰 밀도 회복),timestamp_safe_fixed_threshold(시점 안전 고정 임계값),not_used(거래 쪼개기 없음),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,11,pfpass_short050_restore_short0475,pf_pass_density_restore(PF 통과 밀도 복원),candidate(후보),stress4_short050_pf_lift,0.5,40.0,8,0.0,block_march_long_restore_short_p,0.475,short_threshold=0.50; block March long; restore side=short p_short>=0.475,restore only high-probability shorts to defend PF(고확률 숏만 복원해 PF 방어),timestamp_safe_fixed_threshold(시점 안전 고정 임계값),not_used(거래 쪼개기 없음),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,run364AG_train_pf_lift_density_safe_expansion_scout_without_db_v1,12,mixed_long041_adx35_short0475,mixed_density_restore(혼합 밀도 복원),candidate(후보),stress3_restore_non_hour16_margin_0_1__ps0_45__adx40_0__hold8,0.475,40.0,8,0.0,restore_march_long_p_adx_and_short_p,p_long=0.41;adx_14=35;p_short=0.475,restore March long p_long>=0.41 adx_14>=35 or short p_short>=0.475,test narrow long restore plus short quality(좁은 롱 복원과 숏 품질 결합 시험),timestamp_safe_fixed_threshold(시점 안전 고정 임계값),not_used(거래 쪼개기 없음),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
