run_id,input_path,exists,sha256,role(역할),claim_boundary(주장 경계)
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AE/final_decision.json,True,f338b2db425384a540c76f654506491b1721e1b2d133381a45078111ac710ba3,parent decision(부모 판정),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AE/required_gate_coverage_audit.csv,True,c906f720d8231b5fe65a7b2c6d71706d283ce0b7c87c90aa900aad04e69b2250,parent gate audit(부모 게이트 감사),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AE/surface_review.csv,True,b18476f2c1302a2c35510e1e39172a66704eb546fc272ec63f1e39b63d5bcbc6,supporting evidence(보조 근거),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AE/pf_lift_candidates.csv,True,fe4beea9539e5701c51dc23cbc134da71651158776887b68130f8833265f0b5d,PF lift seed candidates(PF 상승 씨앗 후보),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AE/run364AF_pf_lift_density_safe_queue.csv,True,6111d1e87c46c3da13e68410ece12243ed5304bd3b331fcd9f3334b9d80cd7ba,parent next queue(부모 다음 대기열),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AE/positive_clues.csv,True,9e0bec0ac667d003488c5a1518b7cb09422938eb5016786d297c13004577b30e,supporting evidence(보조 근거),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AE/failure_memory.csv,True,a55b5892cb06a44aa765af025a9dd1ed5cf323db4ca784403657c4b91aac6f88,supporting evidence(보조 근거),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/03_reviews/run364AE_pf_dd_density_bridge_review.md,True,24b78f644c41a2bb0338db24cb71dfad54cdca23b8b830033344e8ca56a899ef,bridge evidence(연결 근거),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AD/pf_dd_density_bridge_proxy_scout_surface.csv,True,7877194b78b137499d57834e85f704739797e4fac5ba14a67303673b41f29d7b,bridge evidence(연결 근거),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AD/selected_proxy_candidate.json,True,ce7e0c0f6d8c3518728c7ba5ff7089f445e84006afe57961591ae63112d82521,supporting evidence(보조 근거),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AD/bridge_effect_audit.csv,True,01c77af54b78065e8ad00c4a28d7fe47395362d7e53b069d785a1c0e66acae75,bridge evidence(연결 근거),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AD/bridge_expression_safety_audit.csv,True,3198fac9c7235c25fdb7c2c93e3f48bc8627b26310ea9815caa3494242424cff,bridge evidence(연결 근거),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
