run_id,gate(게이트),status,evidence(근거),effect(효과),claim_boundary(주장 경계)
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,scope_completion_gate(범위 완료 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AF/final_decision.json,run364AF materialization(364AF 구체화)을 닫음,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,input_parent_gate(부모 입력 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AF/input_manifest.csv,run364AE 검토 산출물을 확인함,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,experiment_design_gate(실험 설계 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AF/experiment_design_receipt.json,가설/대조/무효 조건을 기록함,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,queue_materialization_gate(대기열 구체화 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AF/run364AG_scout_queue.csv,run364AG 정찰 대기열을 만듦,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,topn_absence_gate(top_n 부재 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AF/run364AG_scout_queue.csv,top_n 재생을 제거함,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,data_integrity_audit(데이터 무결성 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AF/data_integrity_receipt.json,시점 안전 고정 임계값 경계를 기록함,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,performance_attribution_gate(성과 귀속 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AF/performance_attribution_receipt.json,PF와 밀도 차이를 다음 검증 항목으로 분리함,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,artifact_lineage_audit(산출물 계보 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AF/artifact_lineage_receipt.json,입력/출력 해시를 연결함,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,claim_boundary_audit(주장 경계 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AF/claim_boundary_receipt.json,런타임 권위를 주장하지 않음,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AF_materialize_pf_lift_density_safe_expansion_without_db_v1,required_gate_coverage_audit(필수 게이트 커버리지 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AF/required_gate_coverage_audit.csv,필수 게이트를 종료 기록에 연결함,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
