label,path,exists,sha256,size_bytes,required,producer,consumer,availability,claim_boundary
run350E final decision(350E 최종 결정),stages/350_onnx_runtime_interop__softmax_output_shape_repair_probe/02_runs/run350E/final_decision.json,true,0ceaa114ca6fca53d544c75a851460978537c9c5993cddb7793508eff9aea633,1547,true,Stage350(350단계),run351A_branch_stage350_to_no_scaler_or_1d_scaler_trade_surface_without_db_v1,tracked,state_sync_stage_branch_no_scaler_or_1d_scaler_trade_surface_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run350E gate audit(350E 게이트 감사),stages/350_onnx_runtime_interop__softmax_output_shape_repair_probe/02_runs/run350E/required_gate_coverage_audit.csv,true,2b1a87ae625afb33bb24459f3e0847b2a993b6ca66f3b0eaca0a67f862438f91,4453,true,Stage350(350단계),run351A_branch_stage350_to_no_scaler_or_1d_scaler_trade_surface_without_db_v1,tracked,state_sync_stage_branch_no_scaler_or_1d_scaler_trade_surface_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run350E no-scaler/table summary(350E 스케일러 없음/표 요약),stages/350_onnx_runtime_interop__softmax_output_shape_repair_probe/02_runs/run350E/no_scaler_table_runtime_summary.csv,true,46b6157afc9a5c2fc4c274234f50612e403342d14a659be5d6ad0ca2874c0ddb,2942,true,Stage350(350단계),run351A_branch_stage350_to_no_scaler_or_1d_scaler_trade_surface_without_db_v1,tracked,state_sync_stage_branch_no_scaler_or_1d_scaler_trade_surface_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run350E proxy/MT5 runtime difference(350E 프록시/MT5 런타임 차이),stages/350_onnx_runtime_interop__softmax_output_shape_repair_probe/02_runs/run350E/proxy_mt5_runtime_difference.csv,true,d612b086c60de87c122911593944f5261561e9ade585c4dcbce73bbc662b83f6,9427770,true,Stage350(350단계),run351A_branch_stage350_to_no_scaler_or_1d_scaler_trade_surface_without_db_v1,tracked,state_sync_stage_branch_no_scaler_or_1d_scaler_trade_surface_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run350E expected tape(350E 예상 테이프),stages/350_onnx_runtime_interop__softmax_output_shape_repair_probe/02_runs/run350E/expected_tape.csv,true,b7f5add94985e6c09a0fd0c5a4f7fda81dedfcc7084d01ac8a1783938cfdaafe,12331819,true,Stage350(350단계),run351A_branch_stage350_to_no_scaler_or_1d_scaler_trade_surface_without_db_v1,tracked,state_sync_stage_branch_no_scaler_or_1d_scaler_trade_surface_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run350E runtime identity(350E 런타임 정체성),stages/350_onnx_runtime_interop__softmax_output_shape_repair_probe/02_runs/run350E/runtime_identity.csv,true,d8efdc6f4ed76c3df2db55a45fc1c2f9dff4c5450e318fec5eba229f889d2db0,10383,true,Stage350(350단계),run351A_branch_stage350_to_no_scaler_or_1d_scaler_trade_surface_without_db_v1,tracked,state_sync_stage_branch_no_scaler_or_1d_scaler_trade_surface_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run350E runtime output copy manifest(350E 런타임 출력 복사 목록),stages/350_onnx_runtime_interop__softmax_output_shape_repair_probe/02_runs/run350E/runtime_output_copy_manifest.csv,true,3130684cfb4f86526d0e55ef8263a76c159225e40c6321b4c5a85bbd5a904daf,6593,true,Stage350(350단계),run351A_branch_stage350_to_no_scaler_or_1d_scaler_trade_surface_without_db_v1,tracked,state_sync_stage_branch_no_scaler_or_1d_scaler_trade_surface_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run350E EA compile/sync manifest(350E 전문가 자문 컴파일/동기화 목록),stages/350_onnx_runtime_interop__softmax_output_shape_repair_probe/02_runs/run350E/ea_compile_and_sync_manifest.json,true,2872a39e5132cef3d01f0a90987f4a4c1ba502a73c439b94b06e7bb3f9bf55e3,3106,true,Stage350(350단계),run351A_branch_stage350_to_no_scaler_or_1d_scaler_trade_surface_without_db_v1,tracked,state_sync_stage_branch_no_scaler_or_1d_scaler_trade_surface_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run350E run manifest(350E 실행 목록),stages/350_onnx_runtime_interop__softmax_output_shape_repair_probe/02_runs/run350E/run_manifest.json,true,c679fbdddc2d23ef77a1fd1aa3db8ee00b6918036ce87aec32fab9abf292638c,19513,true,Stage350(350단계),run351A_branch_stage350_to_no_scaler_or_1d_scaler_trade_surface_without_db_v1,tracked,state_sync_stage_branch_no_scaler_or_1d_scaler_trade_surface_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run350E artifact lineage(350E 산출물 계보),stages/350_onnx_runtime_interop__softmax_output_shape_repair_probe/02_runs/run350E/artifact_lineage_receipt.json,true,5d24bd12e2f0768dea79438190783e6ac4154290703fcbd62e0e35c153dba684,9252,true,Stage350(350단계),run351A_branch_stage350_to_no_scaler_or_1d_scaler_trade_surface_without_db_v1,tracked,state_sync_stage_branch_no_scaler_or_1d_scaler_trade_surface_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
