mutation_id,variant_id,candidate_alias,mutation_type,set_mode,source_variant_id,feature_order_hash,effect,claim_boundary
run267dl_mutation_run267dl_01_s264_aia_similar_dual_session_month_survivor,run267dl_01_s264_aia_similar_dual_session_month_survivor,s264_aia,source_replay_no_signal_mutation,survivor_replay,run267dh_01_s264_aia_similar_survivor_gate,fe19678f6370864a8773352f2abb592dcec21ab68d2f0bbd5088bc6a63724c0a,Source feature/model(원천 피처/모델)을 보존하고 연구 역할과 handoff identity(인계 정체성)만 바꾼다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_mutation_run267dl_02_s264_aia_ablation_dual_session_month_survivor,run267dl_02_s264_aia_ablation_dual_session_month_survivor,s264_aia,source_replay_no_signal_mutation,survivor_replay,run267dh_02_s264_aia_ablation_survivor_gate,fe19678f6370864a8773352f2abb592dcec21ab68d2f0bbd5088bc6a63724c0a,Source feature/model(원천 피처/모델)을 보존하고 연구 역할과 handoff identity(인계 정체성)만 바꾼다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_mutation_run267dl_03_s258_stc_2023h2_supply_threshold_release,run267dl_03_s258_stc_2023h2_supply_threshold_release,s258_stc,execution_supply_parameter_release_no_feature_order_change,threshold_release,run267dh_04_s258_stc_2023h2_thin_supply_impulse,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,Feature(피처)와 model(모델)은 유지하고 set(설정)에서 공급을 넓혀 trade count(거래 수)를 압박한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_mutation_run267dl_04_s258_stc_2023h2_supply_sidefilter_open,run267dl_04_s258_stc_2023h2_supply_sidefilter_open,s258_stc,execution_supply_parameter_release_no_feature_order_change,sidefilter_open,run267dh_04_s258_stc_2023h2_thin_supply_impulse,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,Feature(피처)와 model(모델)은 유지하고 set(설정)에서 공급을 넓혀 trade count(거래 수)를 압박한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_mutation_run267dl_05_s258_stc_2025h1_supply_threshold_release,run267dl_05_s258_stc_2025h1_supply_threshold_release,s258_stc,execution_supply_parameter_release_no_feature_order_change,threshold_release,run267dh_05_s258_stc_2025h1_thin_supply_impulse,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,Feature(피처)와 model(모델)은 유지하고 set(설정)에서 공급을 넓혀 trade count(거래 수)를 압박한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_mutation_run267dl_06_s258_stc_2025h1_supply_sidefilter_open,run267dl_06_s258_stc_2025h1_supply_sidefilter_open,s258_stc,execution_supply_parameter_release_no_feature_order_change,sidefilter_open,run267dh_05_s258_stc_2025h1_thin_supply_impulse,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,Feature(피처)와 model(모델)은 유지하고 set(설정)에서 공급을 넓혀 trade count(거래 수)를 압박한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_mutation_run267dl_07_s258_stc_2025h2_supply_threshold_release,run267dl_07_s258_stc_2025h2_supply_threshold_release,s258_stc,execution_supply_parameter_release_no_feature_order_change,threshold_release,run267dh_06_s258_stc_2025h2_thin_supply_impulse,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,Feature(피처)와 model(모델)은 유지하고 set(설정)에서 공급을 넓혀 trade count(거래 수)를 압박한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_mutation_run267dl_08_s258_stc_2025h2_supply_sidefilter_open,run267dl_08_s258_stc_2025h2_supply_sidefilter_open,s258_stc,execution_supply_parameter_release_no_feature_order_change,sidefilter_open,run267dh_06_s258_stc_2025h2_thin_supply_impulse,bf253081e72e5e3aba136ab4ac537e0cd0afaf7b9ae41873ac012aa5818869ed,Feature(피처)와 model(모델)은 유지하고 set(설정)에서 공급을 넓혀 trade count(거래 수)를 압박한다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_mutation_run267dl_09_s262_lih_validation_guardrail_crosscheck,run267dl_09_s262_lih_validation_guardrail_crosscheck,s262_lih,source_replay_no_signal_mutation,guardrail_replay,run267dh_03_s262_lih_validation_control_crosscheck,c4888e6881df4313ec47f6021274acb1e5833074a8f947122ce2ce453f2c014c,Source feature/model(원천 피처/모델)을 보존하고 연구 역할과 handoff identity(인계 정체성)만 바꾼다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_mutation_run267dl_10_s264_lc_one_stage_dd_demote_audit,run267dl_10_s264_lc_one_stage_dd_demote_audit,s264_lc,source_replay_no_signal_mutation,demote_audit_replay,run267dh_07_s264_lc_weekday_dd_deescalation,49d5799544950b0a59ed0df05f2362b142a554e690aa63f7b0ab148332178232,Source feature/model(원천 피처/모델)을 보존하고 연구 역할과 handoff identity(인계 정체성)만 바꾼다.,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
