plan_id,plan_order,queue_id,priority,workstream,candidate_id,candidate_alias,candidate_role,source_run_id,source_variant_id,source_profile_label,source_feature_file,source_model_file,variant_id,profile_label,profile_token,materialization_type,set_mode,known_difference,materialization_decision,materialization_boundary,claim_boundary
run267dl_01_s264_aia_similar_dual_session_month_survivor,1,dk_q01_s264_aia_dual_survivor_ablation_replacement,P0_survivor_gate(P0 생존 관문),s264_aia_dual_survivor_gate,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_01_s264_aia_similar_survivor_gate,s264_aia_similar_survivor_gate,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/features/s264_aia/run267dh_01_s264_aia_similar_survivor_gate/run267dh_01_s264_aia_similar_survivor_gate_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/variants/s264_aia/run267dh_01_s264_aia_similar_survivor_gate/models/run267dh_01_s264_aia_similar_survivor_gate_model.csv,run267dl_01_s264_aia_similar_dual_session_month_survivor,s264_aia_similar_dual_session_month_survivor,aia_similar_dual_survivor,source_replay_dual_survivor_gate_no_signal_mutation,survivor_replay,Rebinds run267DH similar replacement survivor to run267DK dual session/month survivor gate; no calendar-only filter.,materialize_feature_model_set_ini_inputs,materialization_only_no_candidate_selection_no_selected_research_baseline_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_02_s264_aia_ablation_dual_session_month_survivor,2,dk_q01_s264_aia_dual_survivor_ablation_replacement,P0_survivor_gate(P0 생존 관문),s264_aia_dual_survivor_gate,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_02_s264_aia_ablation_survivor_gate,s264_aia_ablation_survivor_gate,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/features/s264_aia/run267dh_02_s264_aia_ablation_survivor_gate/run267dh_02_s264_aia_ablation_survivor_gate_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/variants/s264_aia/run267dh_02_s264_aia_ablation_survivor_gate/models/run267dh_02_s264_aia_ablation_survivor_gate_model.csv,run267dl_02_s264_aia_ablation_dual_session_month_survivor,s264_aia_ablation_dual_session_month_survivor,aia_ablation_dual_survivor,source_replay_dual_ablation_survivor_gate_no_signal_mutation,survivor_replay,Rebinds run267DH ablation survivor to run267DK dual session/month survivor gate; no new safety filter.,materialize_feature_model_set_ini_inputs,materialization_only_no_candidate_selection_no_selected_research_baseline_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_03_s258_stc_2023h2_supply_threshold_release,3,dk_q02_s258_explosive_supply_expansion_stress,P0_aggressive_explosive(P0 공격적 폭발형),s258_explosive_supply_expansion,s258_short_tight_control,s258_stc,stress_challenger,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_04_s258_stc_2023h2_thin_supply_impulse,s258_stc_thin_supply_impulse_stress,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/features/s258_stc/run267dh_04_s258_stc_2023h2_thin_supply_impulse/run267dh_04_s258_stc_2023h2_thin_supply_impulse_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/variants/s258_stc/run267dh_04_s258_stc_2023h2_thin_supply_impulse/models/run267dh_04_s258_stc_2023h2_thin_supply_impulse_model.csv,run267dl_03_s258_stc_2023h2_supply_threshold_release,s258_stc_explosive_supply_threshold_release,s258_threshold_release,execution_supply_expansion_threshold_release,threshold_release,"Aggressively lowers entry thresholds and same-direction cooldown to test trade supply, without adding defensive filters.",materialize_feature_model_set_ini_inputs,materialization_only_no_candidate_selection_no_selected_research_baseline_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_04_s258_stc_2023h2_supply_sidefilter_open,4,dk_q02_s258_explosive_supply_expansion_stress,P0_aggressive_explosive(P0 공격적 폭발형),s258_explosive_supply_expansion,s258_short_tight_control,s258_stc,stress_challenger,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_04_s258_stc_2023h2_thin_supply_impulse,s258_stc_thin_supply_impulse_stress,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/features/s258_stc/run267dh_04_s258_stc_2023h2_thin_supply_impulse/run267dh_04_s258_stc_2023h2_thin_supply_impulse_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/variants/s258_stc/run267dh_04_s258_stc_2023h2_thin_supply_impulse/models/run267dh_04_s258_stc_2023h2_thin_supply_impulse_model.csv,run267dl_04_s258_stc_2023h2_supply_sidefilter_open,s258_stc_explosive_supply_sidefilter_open,s258_sidefilter_open,execution_supply_expansion_sidefilter_open,sidefilter_open,Opens the side filter and cooldown to test whether sparse high-PF rows can become real supply.,materialize_feature_model_set_ini_inputs,materialization_only_no_candidate_selection_no_selected_research_baseline_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_05_s258_stc_2025h1_supply_threshold_release,5,dk_q02_s258_explosive_supply_expansion_stress,P0_aggressive_explosive(P0 공격적 폭발형),s258_explosive_supply_expansion,s258_short_tight_control,s258_stc,stress_challenger,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_05_s258_stc_2025h1_thin_supply_impulse,s258_stc_thin_supply_impulse_stress,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/features/s258_stc/run267dh_05_s258_stc_2025h1_thin_supply_impulse/run267dh_05_s258_stc_2025h1_thin_supply_impulse_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/variants/s258_stc/run267dh_05_s258_stc_2025h1_thin_supply_impulse/models/run267dh_05_s258_stc_2025h1_thin_supply_impulse_model.csv,run267dl_05_s258_stc_2025h1_supply_threshold_release,s258_stc_explosive_supply_threshold_release,s258_threshold_release,execution_supply_expansion_threshold_release,threshold_release,Aggressively lowers entry thresholds and same-direction cooldown to test 2025H1 trade supply.,materialize_feature_model_set_ini_inputs,materialization_only_no_candidate_selection_no_selected_research_baseline_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_06_s258_stc_2025h1_supply_sidefilter_open,6,dk_q02_s258_explosive_supply_expansion_stress,P0_aggressive_explosive(P0 공격적 폭발형),s258_explosive_supply_expansion,s258_short_tight_control,s258_stc,stress_challenger,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_05_s258_stc_2025h1_thin_supply_impulse,s258_stc_thin_supply_impulse_stress,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/features/s258_stc/run267dh_05_s258_stc_2025h1_thin_supply_impulse/run267dh_05_s258_stc_2025h1_thin_supply_impulse_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/variants/s258_stc/run267dh_05_s258_stc_2025h1_thin_supply_impulse/models/run267dh_05_s258_stc_2025h1_thin_supply_impulse_model.csv,run267dl_06_s258_stc_2025h1_supply_sidefilter_open,s258_stc_explosive_supply_sidefilter_open,s258_sidefilter_open,execution_supply_expansion_sidefilter_open,sidefilter_open,"Opens the side filter and cooldown for 2025H1; this is an aggressive stress, not a safety patch.",materialize_feature_model_set_ini_inputs,materialization_only_no_candidate_selection_no_selected_research_baseline_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_07_s258_stc_2025h2_supply_threshold_release,7,dk_q02_s258_explosive_supply_expansion_stress,P0_aggressive_explosive(P0 공격적 폭발형),s258_explosive_supply_expansion,s258_short_tight_control,s258_stc,stress_challenger,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_06_s258_stc_2025h2_thin_supply_impulse,s258_stc_thin_supply_impulse_stress,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/features/s258_stc/run267dh_06_s258_stc_2025h2_thin_supply_impulse/run267dh_06_s258_stc_2025h2_thin_supply_impulse_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/variants/s258_stc/run267dh_06_s258_stc_2025h2_thin_supply_impulse/models/run267dh_06_s258_stc_2025h2_thin_supply_impulse_model.csv,run267dl_07_s258_stc_2025h2_supply_threshold_release,s258_stc_explosive_supply_threshold_release,s258_threshold_release,execution_supply_expansion_threshold_release,threshold_release,Aggressively lowers entry thresholds and same-direction cooldown to test 2025H2 trade supply.,materialize_feature_model_set_ini_inputs,materialization_only_no_candidate_selection_no_selected_research_baseline_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_08_s258_stc_2025h2_supply_sidefilter_open,8,dk_q02_s258_explosive_supply_expansion_stress,P0_aggressive_explosive(P0 공격적 폭발형),s258_explosive_supply_expansion,s258_short_tight_control,s258_stc,stress_challenger,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_06_s258_stc_2025h2_thin_supply_impulse,s258_stc_thin_supply_impulse_stress,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/features/s258_stc/run267dh_06_s258_stc_2025h2_thin_supply_impulse/run267dh_06_s258_stc_2025h2_thin_supply_impulse_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/variants/s258_stc/run267dh_06_s258_stc_2025h2_thin_supply_impulse/models/run267dh_06_s258_stc_2025h2_thin_supply_impulse_model.csv,run267dl_08_s258_stc_2025h2_supply_sidefilter_open,s258_stc_explosive_supply_sidefilter_open,s258_sidefilter_open,execution_supply_expansion_sidefilter_open,sidefilter_open,Opens the side filter and cooldown for 2025H2; no defensive filter is added.,materialize_feature_model_set_ini_inputs,materialization_only_no_candidate_selection_no_selected_research_baseline_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_09_s262_lih_validation_guardrail_crosscheck,9,dk_q03_s262_lih_validation_guardrail_crosscheck,P0_control_guardrail(P0 대조 가드레일),s262_lih_validation_guardrail,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_03_s262_lih_validation_control_crosscheck,s262_lih_validation_control_crosscheck,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/features/s262_lih/run267dh_03_s262_lih_validation_control_crosscheck/run267dh_03_s262_lih_validation_control_crosscheck_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/variants/s262_lih/run267dh_03_s262_lih_validation_control_crosscheck/models/run267dh_03_s262_lih_validation_control_crosscheck_model.csv,run267dl_09_s262_lih_validation_guardrail_crosscheck,s262_lih_validation_guardrail_crosscheck,s262_guardrail,source_replay_validation_guardrail_no_signal_mutation,guardrail_replay,"Keeps s262_lih beside the aggressive branch as a validation-heavy guardrail, not a selected candidate.",materialize_feature_model_set_ini_inputs,materialization_only_no_candidate_selection_no_selected_research_baseline_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267dl_10_s264_lc_one_stage_dd_demote_audit,10,dk_q04_s264_lc_one_stage_dd_demote_audit,P1_bounded_demote_audit(P1 제한 강등 감사),s264_lc_weekday_dd_demote,s264_lowrank_control,s264_lc,defensive_control,run267DH_stage267_shared_weakness_breakout_second_followup_or_prune_materialization_v1,run267dh_07_s264_lc_weekday_dd_deescalation,s264_lc_weekday_dd_deescalation,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/features/s264_lc/run267dh_07_s264_lc_weekday_dd_deescalation/run267dh_07_s264_lc_weekday_dd_deescalation_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267DH/shared_weakness_breakout_second_followup_or_prune_materialization/variants/s264_lc/run267dh_07_s264_lc_weekday_dd_deescalation/models/run267dh_07_s264_lc_weekday_dd_deescalation_model.csv,run267dl_10_s264_lc_one_stage_dd_demote_audit,s264_lc_one_stage_dd_demote_audit,s264_lc_demote_audit,source_replay_one_stage_dd_demote_audit_no_signal_mutation,demote_audit_replay,Runs only one bounded DD/Monday audit for s264_lc and does not preserve a safe-control claim.,materialize_feature_model_set_ini_inputs,materialization_only_no_candidate_selection_no_selected_research_baseline_no_onnx,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
