run_id,gate(게이트),status,evidence(근거),effect(효과),claim_boundary(주장 경계)
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,scope_completion_gate(범위 완료 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AL/final_decision.json,run364AL materialization(구체화)을 완료했다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,input_parent_gate(부모 입력 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AL/input_manifest.csv,run364AK 산출물과 queue(대기열)를 확인했다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,queue_materialization_gate(대기열 구체화 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AL/run364AM_scout_queue.csv,run364AM scout queue(정찰 대기열)를 만들었다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,density_requirement_gate(밀도 요구 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AL/density_restore_profile.csv,density floor(밀도 하한) 3/day 기준을 명시했다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,topn_absence_gate(top_n 부재 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AL/run364AM_scout_queue.csv,top_n 금지를 모든 행에 기록했다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,trade_splitting_absence_gate(거래 쪼개기 부재 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AL/run364AM_scout_queue.csv,거래 쪼개기 없음 상태를 모든 행에 기록했다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,data_integrity_audit(데이터 무결성 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AL/data_integrity_receipt.json,timestamp-safe(시점 안전) 경계를 기록했다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,experiment_design_gate(실험 설계 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AL/experiment_design_receipt.json,다음 scout(정찰)의 가설과 실패 조건을 기록했다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,artifact_lineage_audit(산출물 계보 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AL/artifact_lineage_receipt.json,입력/출력 hash(해시)를 연결했다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,claim_boundary_audit(주장 경계 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AL/claim_boundary_receipt.json,운영 승격을 주장하지 않았다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,required_gate_coverage_audit(필수 게이트 커버리지 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AL/required_gate_coverage_audit.csv,필수 gate(게이트)를 종료 기록에 연결했다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
