run_id,input_path,exists,sha256,role(역할),claim_boundary(주장 경계)
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AK/final_decision.json,True,93fdfe4d208dd75cd3e07851ef2005db6cef3a23870882082764d87d3e638d48,supporting evidence(보조 근거),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AK/required_gate_coverage_audit.csv,True,294d37cc47d5578a5da1f9d675e1937edddf39cbcaedca7e10faddb3a2688d14,supporting evidence(보조 근거),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AK/run364AL_offensive_queue.csv,True,c6c053c5bff74140bc295bda3607d097871a24cbd6e6ea8a7dfb9d45b9c14419,parent offensive queue(부모 공격 대기열),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AK/surface_review.csv,True,05dea29472c69313cb106f888b2bb818e0611be3278baa1c739baab22668482f,parent reviewed surface(부모 검토 표면),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AK/package_gate_audit.csv,True,c0385c1b03435076ff686b3e245f6e8c260205fd39daaac1d248f70250e337ba,supporting evidence(보조 근거),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AK/policy_review.csv,True,583b337064af0bbb68ab0471c30085ee5a26d69ddbde26073243c3be5bc1e09d,supporting evidence(보조 근거),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AK/positive_clues.csv,True,5c1c915416d9c380dde38eb8f36e0b17a55ef790676b2333ff3d80db9be7edac,supporting evidence(보조 근거),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AK/failure_memory.csv,True,985ca7c83f763b7581ac4ad68b3051c3c2e97d64d6bf8e1304d4f64fa52ad88b,supporting evidence(보조 근거),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AK/session_side_review.csv,True,38edd58972d6256f8cb3599e58cae82e2735756d8d8e7c93027ca82c397d674f,supporting evidence(보조 근거),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AK/month_side_review.csv,True,0e24232060cbaf85139899eb636a80f30f0752f3109384cc89c03d8fb154ae9e,supporting evidence(보조 근거),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AJ/session_side_pf_lift_density_repair_proxy_scout_surface.csv,True,0480dd121e8d640ba1653a0d60ef475715d311d4ac78ebb206a9279608eed4b3,seed replay surface(씨앗 재생 표면),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/03_reviews/run364AK_session_side_pf_lift_density_repair_review.md,True,ffc54c39f1c1c8cb39d0da5131fd0e90d81f606946b928a82235101952335052,supporting evidence(보조 근거),research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
