run_id,queue_id,variant_id,axis_id,seed_variant_id,seed_profit_factor,seed_density,density_gap_to_3day,density_restore_budget,session_policy,side_policy,restore_policy,effect(효과),claim_boundary(주장 경계)
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,control_replay_density_anchor(대조 재생 밀도 기준점),control_replay_density_anchor_대조_재생_밀도_기준점__seed_selected_control_full_session_선택_대조_전체_세션_ps0_45_floor0_0_hold8__ps0_45__floor0_00__hold8,control_anchor(대조 기준),selected_control_full_session_선택_대조_전체_세션__ps0_45__floor0_0__hold8,1.2739357721,3.006006006,0.0,0.0,all_sessions(전체 세션),all_sides(전체 방향),none(없음),next scout(다음 정찰)에서 KPI(핵심 성과 지표) 변화 원인을 정책별로 나누게 한다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,pfpass_core_short_restore_budget_010(PF통과 핵심 숏 0.10 복원),pfpass_core_short_restore_budget_010_PF통과_핵심_숏_0_10_복원__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_50__floor0_00__hold8,short_restore(숏 복원),pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원__ps0_5__floor0_0__hold8,1.3287468527,2.6636636637,0.3363363363,0.1,pfpass_base_plus_core_short_budget(피에프 통과 기준 + 핵심 숏 예산),long_seed_short_core_budget_010(롱 씨앗 + 핵심 숏 0.10),restore_core_short_from_control_budget_010(대조에서 핵심 숏 0.10 복원),next scout(다음 정찰)에서 KPI(핵심 성과 지표) 변화 원인을 정책별로 나누게 한다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,pfpass_core_short_restore_budget_020(PF통과 핵심 숏 0.20 복원),pfpass_core_short_restore_budget_020_PF통과_핵심_숏_0_20_복원__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_49__floor0_02__hold8,short_restore(숏 복원),pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원__ps0_5__floor0_0__hold8,1.3287468527,2.6636636637,0.3363363363,0.2,pfpass_base_plus_core_short_budget(피에프 통과 기준 + 핵심 숏 예산),long_seed_short_core_budget_020(롱 씨앗 + 핵심 숏 0.20),restore_core_short_with_margin_budget_020(마진 포함 핵심 숏 0.20 복원),next scout(다음 정찰)에서 KPI(핵심 성과 지표) 변화 원인을 정책별로 나누게 한다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,pfpass_late_long_density_patch(PF통과 후반 롱 밀도 패치),pfpass_late_long_density_patch_PF통과_후반_롱_밀도_패치__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_50__floor0_00__hold8,late_long_restore(후반 롱 복원),pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원__ps0_5__floor0_0__hold8,1.3287468527,2.6636636637,0.3363363363,0.16,pfpass_base_plus_post_cash_late_long(PF 통과 기준 + 현금장 후반 롱),long_late_patch_short_seed(후반 롱 패치 + 숏 씨앗),restore_sparse_late_long_from_control(대조에서 희소 후반 롱 복원),next scout(다음 정찰)에서 KPI(핵심 성과 지표) 변화 원인을 정책별로 나누게 한다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,pfpass_non_drag_session_restore(PF통과 비끌림 세션 복원),pfpass_non_drag_session_restore_PF통과_비끌림_세션_복원__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_50__floor0_01__hold8,session_restore(세션 복원),pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원__ps0_5__floor0_0__hold8,1.3287468527,2.6636636637,0.3363363363,0.24,all_sessions_except_premarket_short(프리마켓 숏 제외 전체),"long_all_short_no_premarket(롱 전체, 숏 프리마켓 제외)",restore_non_drag_core_late_from_control(대조에서 비끌림 핵심/후반 복원),next scout(다음 정찰)에서 KPI(핵심 성과 지표) 변화 원인을 정책별로 나누게 한다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,density_anchor_pf_floor_012(밀도 기준 PF 하한 0.12),density_anchor_pf_floor_012_밀도_기준_PF_하한_0_12__seed_selected_control_full_session_선택_대조_전체_세션_ps0_45_floor0_0_hold8__ps0_45__floor0_12__hold8,pf_floor(수익 팩터 하한),selected_control_full_session_선택_대조_전체_세션__ps0_45__floor0_0__hold8,1.2739357721,3.006006006,0.0,0.04,all_sessions(전체 세션),all_sides(전체 방향),remove_low_margin_from_control(대조에서 낮은 마진 제거),next scout(다음 정찰)에서 KPI(핵심 성과 지표) 변화 원인을 정책별로 나누게 한다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,density_anchor_hold6_pf_probe(밀도 기준 보유6 PF 탐침),density_anchor_hold6_pf_probe_밀도_기준_보유6_PF_탐침__seed_selected_control_full_session_선택_대조_전체_세션_ps0_45_floor0_0_hold8__ps0_45__floor0_00__hold6,hold_shape(보유 형태),selected_control_full_session_선택_대조_전체_세션__ps0_45__floor0_0__hold8,1.2739357721,3.006006006,0.0,0.0,all_sessions(전체 세션),all_sides(전체 방향),max_hold6_trade_shape_probe(최대 보유 6 거래 형태 탐침),next scout(다음 정찰)에서 KPI(핵심 성과 지표) 변화 원인을 정책별로 나누게 한다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,dd_seed_density_restore_core_late(낙폭 씨앗 핵심후반 밀도 복원),dd_seed_density_restore_core_late_낙폭_씨앗_핵심후반_밀도_복원__seed_pfpass_core_plus_premarket_long_restore_PF_통과_핵심_프리마켓_롱_복원_ps0_5_floor0_0_hold8__ps0_45__floor0_00__hold8,dd_restore(낙폭 복원),pfpass_core_plus_premarket_long_restore_PF_통과_핵심_프리마켓_롱_복원__ps0_5__floor0_0__hold8,1.2958707973,2.6576576577,0.3423423423,0.29,us_cash_core_plus_post_cash_late_long(핵심 + 현금장 후반 롱),core_both_sides_late_long(핵심 양방향 + 후반 롱),restore_core_late_density_from_dd_seed(낙폭 씨앗에서 핵심/후반 밀도 복원),next scout(다음 정찰)에서 KPI(핵심 성과 지표) 변화 원인을 정책별로 나누게 한다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,pfpass_validation_balance_patch(PF통과 검증 균형 패치),pfpass_validation_balance_patch_PF통과_검증_균형_패치__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_50__floor0_01__hold8,split_balance(분할 균형),pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원__ps0_5__floor0_0__hold8,1.3287468527,2.6636636637,0.3363363363,0.18,"all_sessions_with_validation_report(전체 세션, 검증 분리 보고)",all_sides(전체 방향),validation_balance_report_only(검증 균형 보고 전용),next scout(다음 정찰)에서 KPI(핵심 성과 지표) 변화 원인을 정책별로 나누게 한다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,pfpass_month_pocket_observation(PF통과 월 포켓 관찰),pfpass_month_pocket_observation_PF통과_월_포켓_관찰__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_50__floor0_00__hold8,market_behavior(시장 현상),pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원__ps0_5__floor0_0__hold8,1.3287468527,2.6636636637,0.3363363363,0.0,all_sessions(전체 세션),all_sides(전체 방향),"month_pockets_report_only_not_filter(월 포켓은 보고 전용, 필터 아님)",next scout(다음 정찰)에서 KPI(핵심 성과 지표) 변화 원인을 정책별로 나누게 한다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,density_anchor_short0455_edge(밀도 기준 숏0.455 경계),density_anchor_short0455_edge_밀도_기준_숏0_455_경계__seed_selected_control_full_session_선택_대조_전체_세션_ps0_45_floor0_0_hold8__ps0_455__floor0_00__hold8,threshold_edge(임계값 경계),selected_control_full_session_선택_대조_전체_세션__ps0_45__floor0_0__hold8,1.2739357721,3.006006006,0.0,0.0,all_sessions_except_premarket_short(프리마켓 숏 제외 전체),"long_all_short_no_premarket(롱 전체, 숏 프리마켓 제외)",recover_density_edge_0_455(밀도 경계 0.455 복원),next scout(다음 정찰)에서 KPI(핵심 성과 지표) 변화 원인을 정책별로 나누게 한다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,pfpass_guardrail_no_trade_split(PF통과 거래쪼개기 금지 가드),pfpass_guardrail_no_trade_split_PF통과_거래쪼개기_금지_가드__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_50__floor0_00__hold8,guardrail(가드레일),pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원__ps0_5__floor0_0__hold8,1.3287468527,2.6636636637,0.3363363363,0.0,"guardrail_only_same_as_seed(가드레일 전용, 씨앗 동일)","guardrail_only_same_as_seed(가드레일 전용, 씨앗 동일)",no_trade_split_no_topn_guardrail(거래 쪼개기와 top_n 금지 가드),next scout(다음 정찰)에서 KPI(핵심 성과 지표) 변화 원인을 정책별로 나누게 한다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
