run_id,next_run_id,queue_id,axis_id,queue_type,queue_rank,seed_variant_id,source_queue_id,variant_id,short_probability_threshold,long_threshold,min_margin,entry_margin_floor,long_block_feature,long_block_min,max_hold_m5,bridge_policy,bridge_policy_value,materialized_policy,session_policy,side_policy,restore_policy,density_gap_to_3day,density_restore_budget,density_restore_status,seed_net_profit,seed_profit_factor,seed_trade_count,seed_trade_per_business_day,seed_max_drawdown,seed_short_count,min_density_requirement,target_profit_factor,validation_guardrail,oos_guardrail,trade_splitting_status,top_n_status,timestamp_boundary,forbidden(금지),expected_effect(기대 효과),claim_boundary(주장 경계)
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,control_replay_density_anchor(대조 재생 밀도 기준점),control_anchor(대조 기준),control(대조),1,selected_control_full_session_선택_대조_전체_세션__ps0_45__floor0_0__hold8,selected_control_full_session(선택 대조 전체 세션),control_replay_density_anchor_대조_재생_밀도_기준점__seed_selected_control_full_session_선택_대조_전체_세션_ps0_45_floor0_0_hold8__ps0_45__floor0_00__hold8,0.45,0.0,-0.000562137088,0.00,adx_14,40.0,8,restore_march_non_hour16_margin,0.10,control_replay_density_anchor(대조 재생 밀도 기준),all_sessions(전체 세션),all_sides(전체 방향),none(없음),0.0,0.0,density_anchor(밀도 기준),840.055,1.2739357721,1001.0,3.006006006,-142.323,119.0,3.0,1.3,validation_net_positive_report_separate(검증 순수익 양수 분리 보고),"oos_locked_no_threshold_selection(표본외 잠금, 임계값 선택 없음)",not_used(거래 쪼개기 없음),forbidden(금지),entry_time_known_only(진입 시점에 알려진 값만 사용),top_n forbidden(상위 N개 금지); trade_splitting forbidden(거래 쪼개기 금지); OOS threshold selection forbidden(표본외 임계값 선택 금지),density-safe baseline(밀도 안전 기준)을 다시 재현한다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,pfpass_core_short_restore_budget_010(PF통과 핵심 숏 0.10 복원),short_restore(숏 복원),candidate(후보),2,pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원__ps0_5__floor0_0__hold8,pfpass_block_premarket_short_restore_density(PF 통과 프리마켓 숏 차단 밀도 복원),pfpass_core_short_restore_budget_010_PF통과_핵심_숏_0_10_복원__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_50__floor0_00__hold8,0.50,0.0,-0.000562137088,0.00,adx_14,40.0,8,block_march_long_restore_core_short_budget,0.10,pf_pass_core_short_density_restore_budget_010(PF 통과 핵심 숏 밀도 복원 0.10),pfpass_base_plus_core_short_budget(피에프 통과 기준 + 핵심 숏 예산),long_seed_short_core_budget_010(롱 씨앗 + 핵심 숏 0.10),restore_core_short_from_control_budget_010(대조에서 핵심 숏 0.10 복원),0.3363363363,0.1,needs_restore(복원 필요),845.554,1.3287468527,887.0,2.6636636637,-120.303,6.0,3.0,1.3,validation_net_positive_report_separate(검증 순수익 양수 분리 보고),"oos_locked_no_threshold_selection(표본외 잠금, 임계값 선택 없음)",not_used(거래 쪼개기 없음),forbidden(금지),entry_time_known_only(진입 시점에 알려진 값만 사용),top_n forbidden(상위 N개 금지); trade_splitting forbidden(거래 쪼개기 금지); OOS threshold selection forbidden(표본외 임계값 선택 금지),PF-pass row(PF 통과 행)에 core short(핵심 숏)만 소량 복원해 density gap(밀도 격차)을 줄인다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,pfpass_core_short_restore_budget_020(PF통과 핵심 숏 0.20 복원),short_restore(숏 복원),candidate(후보),3,pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원__ps0_5__floor0_0__hold8,pfpass_block_premarket_short_restore_density(PF 통과 프리마켓 숏 차단 밀도 복원),pfpass_core_short_restore_budget_020_PF통과_핵심_숏_0_20_복원__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_49__floor0_02__hold8,0.49,0.0,-0.000562137088,0.02,adx_14,40.0,8,block_march_long_restore_core_short_budget,0.20,pf_pass_core_short_density_restore_budget_020(PF 통과 핵심 숏 밀도 복원 0.20),pfpass_base_plus_core_short_budget(피에프 통과 기준 + 핵심 숏 예산),long_seed_short_core_budget_020(롱 씨앗 + 핵심 숏 0.20),restore_core_short_with_margin_budget_020(마진 포함 핵심 숏 0.20 복원),0.3363363363,0.2,needs_restore(복원 필요),845.554,1.3287468527,887.0,2.6636636637,-120.303,6.0,3.0,1.3,validation_net_positive_report_separate(검증 순수익 양수 분리 보고),"oos_locked_no_threshold_selection(표본외 잠금, 임계값 선택 없음)",not_used(거래 쪼개기 없음),forbidden(금지),entry_time_known_only(진입 시점에 알려진 값만 사용),top_n forbidden(상위 N개 금지); trade_splitting forbidden(거래 쪼개기 금지); OOS threshold selection forbidden(표본외 임계값 선택 금지),short collapse(숏 붕괴)를 과하게 풀지 않고 0.20/day 예산으로 시험한다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,pfpass_late_long_density_patch(PF통과 후반 롱 밀도 패치),late_long_restore(후반 롱 복원),candidate(후보),4,pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원__ps0_5__floor0_0__hold8,pfpass_block_premarket_short_restore_density(PF 통과 프리마켓 숏 차단 밀도 복원),pfpass_late_long_density_patch_PF통과_후반_롱_밀도_패치__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_50__floor0_00__hold8,0.50,0.0,-0.000562137088,0.00,adx_14,40.0,8,block_march_long_restore_late_long,0.16,pf_pass_late_long_density_patch(PF 통과 후반 롱 밀도 패치),pfpass_base_plus_post_cash_late_long(PF 통과 기준 + 현금장 후반 롱),long_late_patch_short_seed(후반 롱 패치 + 숏 씨앗),restore_sparse_late_long_from_control(대조에서 희소 후반 롱 복원),0.3363363363,0.16,needs_restore(복원 필요),845.554,1.3287468527,887.0,2.6636636637,-120.303,6.0,3.0,1.3,validation_net_positive_report_separate(검증 순수익 양수 분리 보고),"oos_locked_no_threshold_selection(표본외 잠금, 임계값 선택 없음)",not_used(거래 쪼개기 없음),forbidden(금지),entry_time_known_only(진입 시점에 알려진 값만 사용),top_n forbidden(상위 N개 금지); trade_splitting forbidden(거래 쪼개기 금지); OOS threshold selection forbidden(표본외 임계값 선택 금지),late long(후반 롱)의 drawdown(낙폭) 개선 단서를 PF-pass row(PF 통과 행)에 붙인다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,pfpass_non_drag_session_restore(PF통과 비끌림 세션 복원),session_restore(세션 복원),candidate(후보),5,pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원__ps0_5__floor0_0__hold8,pfpass_block_premarket_short_restore_density(PF 통과 프리마켓 숏 차단 밀도 복원),pfpass_non_drag_session_restore_PF통과_비끌림_세션_복원__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_50__floor0_01__hold8,0.50,0.0,-0.000562137088,0.01,adx_14,40.0,8,block_march_long_restore_non_drag_sessions,0.24,pf_pass_non_drag_session_restore(PF 통과 비끌림 세션 복원),all_sessions_except_premarket_short(프리마켓 숏 제외 전체),"long_all_short_no_premarket(롱 전체, 숏 프리마켓 제외)",restore_non_drag_core_late_from_control(대조에서 비끌림 핵심/후반 복원),0.3363363363,0.24,needs_restore(복원 필요),845.554,1.3287468527,887.0,2.6636636637,-120.303,6.0,3.0,1.3,validation_net_positive_report_separate(검증 순수익 양수 분리 보고),"oos_locked_no_threshold_selection(표본외 잠금, 임계값 선택 없음)",not_used(거래 쪼개기 없음),forbidden(금지),entry_time_known_only(진입 시점에 알려진 값만 사용),top_n forbidden(상위 N개 금지); trade_splitting forbidden(거래 쪼개기 금지); OOS threshold selection forbidden(표본외 임계값 선택 금지),premarket short(프리마켓 숏)은 막고 core/late(핵심/후반)만 복원한다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,density_anchor_pf_floor_012(밀도 기준 PF 하한 0.12),pf_floor(수익 팩터 하한),candidate(후보),6,selected_control_full_session_선택_대조_전체_세션__ps0_45__floor0_0__hold8,selected_control_full_session(선택 대조 전체 세션),density_anchor_pf_floor_012_밀도_기준_PF_하한_0_12__seed_selected_control_full_session_선택_대조_전체_세션_ps0_45_floor0_0_hold8__ps0_45__floor0_12__hold8,0.45,0.0,-0.000562137088,0.12,adx_14,40.0,8,restore_march_non_hour16_margin,0.12,density_anchor_margin_floor_012(밀도 기준 마진 하한 0.12),all_sessions(전체 세션),all_sides(전체 방향),remove_low_margin_from_control(대조에서 낮은 마진 제거),0.0,0.04,density_anchor(밀도 기준),840.055,1.2739357721,1001.0,3.006006006,-142.323,119.0,3.0,1.3,validation_net_positive_report_separate(검증 순수익 양수 분리 보고),"oos_locked_no_threshold_selection(표본외 잠금, 임계값 선택 없음)",not_used(거래 쪼개기 없음),forbidden(금지),entry_time_known_only(진입 시점에 알려진 값만 사용),top_n forbidden(상위 N개 금지); trade_splitting forbidden(거래 쪼개기 금지); OOS threshold selection forbidden(표본외 임계값 선택 금지),control(대조)의 density(밀도)를 거의 유지하면서 low-margin trade(낮은 마진 거래)를 제거한다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,density_anchor_hold6_pf_probe(밀도 기준 보유6 PF 탐침),hold_shape(보유 형태),candidate(후보),7,selected_control_full_session_선택_대조_전체_세션__ps0_45__floor0_0__hold8,selected_control_full_session(선택 대조 전체 세션),density_anchor_hold6_pf_probe_밀도_기준_보유6_PF_탐침__seed_selected_control_full_session_선택_대조_전체_세션_ps0_45_floor0_0_hold8__ps0_45__floor0_00__hold6,0.45,0.0,-0.000562137088,0.00,adx_14,40.0,6,restore_march_non_hour16_margin,0.10,density_anchor_hold6_pf_probe(밀도 기준 보유 6 PF 탐침),all_sessions(전체 세션),all_sides(전체 방향),max_hold6_trade_shape_probe(최대 보유 6 거래 형태 탐침),0.0,0.0,density_anchor(밀도 기준),840.055,1.2739357721,1001.0,3.006006006,-142.323,119.0,3.0,1.3,validation_net_positive_report_separate(검증 순수익 양수 분리 보고),"oos_locked_no_threshold_selection(표본외 잠금, 임계값 선택 없음)",not_used(거래 쪼개기 없음),forbidden(금지),entry_time_known_only(진입 시점에 알려진 값만 사용),top_n forbidden(상위 N개 금지); trade_splitting forbidden(거래 쪼개기 금지); OOS threshold selection forbidden(표본외 임계값 선택 금지),hold time(보유 시간)을 줄여 drawdown(낙폭)을 낮추는지 확인한다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,dd_seed_density_restore_core_late(낙폭 씨앗 핵심후반 밀도 복원),dd_restore(낙폭 복원),candidate(후보),8,pfpass_core_plus_premarket_long_restore_PF_통과_핵심_프리마켓_롱_복원__ps0_5__floor0_0__hold8,pfpass_core_plus_premarket_long_restore(PF 통과 핵심 + 프리마켓 롱 복원),dd_seed_density_restore_core_late_낙폭_씨앗_핵심후반_밀도_복원__seed_pfpass_core_plus_premarket_long_restore_PF_통과_핵심_프리마켓_롱_복원_ps0_5_floor0_0_hold8__ps0_45__floor0_00__hold8,0.45,0.0,-0.000562137088,0.00,adx_14,40.0,8,block_march_long_restore_core_late,0.29,dd_seed_core_late_density_restore(낙폭 씨앗 핵심/후반 밀도 복원),us_cash_core_plus_post_cash_late_long(핵심 + 현금장 후반 롱),core_both_sides_late_long(핵심 양방향 + 후반 롱),restore_core_late_density_from_dd_seed(낙폭 씨앗에서 핵심/후반 밀도 복원),0.3423423423,0.29,needs_restore(복원 필요),761.975,1.2958707973,885.0,2.6576576577,-120.303,6.0,3.0,1.3,validation_net_positive_report_separate(검증 순수익 양수 분리 보고),"oos_locked_no_threshold_selection(표본외 잠금, 임계값 선택 없음)",not_used(거래 쪼개기 없음),forbidden(금지),entry_time_known_only(진입 시점에 알려진 값만 사용),top_n forbidden(상위 N개 금지); trade_splitting forbidden(거래 쪼개기 금지); OOS threshold selection forbidden(표본외 임계값 선택 금지),drawdown(낙폭) 개선 seed(씨앗)에 density(밀도) 복원 규칙을 붙인다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,pfpass_validation_balance_patch(PF통과 검증 균형 패치),split_balance(분할 균형),candidate(후보),9,pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원__ps0_5__floor0_0__hold8,pfpass_block_premarket_short_restore_density(PF 통과 프리마켓 숏 차단 밀도 복원),pfpass_validation_balance_patch_PF통과_검증_균형_패치__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_50__floor0_01__hold8,0.50,0.0,-0.000562137088,0.01,adx_14,40.0,8,block_march_long_restore_validation_balance,0.18,pf_pass_validation_balance_patch(PF 통과 검증 균형 패치),"all_sessions_with_validation_report(전체 세션, 검증 분리 보고)",all_sides(전체 방향),validation_balance_report_only(검증 균형 보고 전용),0.3363363363,0.18,needs_restore(복원 필요),845.554,1.3287468527,887.0,2.6636636637,-120.303,6.0,3.0,1.3,validation_net_positive_report_separate(검증 순수익 양수 분리 보고),"oos_locked_no_threshold_selection(표본외 잠금, 임계값 선택 없음)",not_used(거래 쪼개기 없음),forbidden(금지),entry_time_known_only(진입 시점에 알려진 값만 사용),top_n forbidden(상위 N개 금지); trade_splitting forbidden(거래 쪼개기 금지); OOS threshold selection forbidden(표본외 임계값 선택 금지),validation(검증) 약세를 OOS(표본외) 선택 없이 따로 기록한다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AL_materialize_pf_pass_density_restore_offensive_inputs_without_db_v1,run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,pfpass_month_pocket_observation(PF통과 월 포켓 관찰),market_behavior(시장 현상),observation(관찰),10,pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원__ps0_5__floor0_0__hold8,pfpass_block_premarket_short_restore_density(PF 통과 프리마켓 숏 차단 밀도 복원),pfpass_month_pocket_observation_PF통과_월_포켓_관찰__seed_pfpass_block_premarket_short_restore_density_PF_통과_프리마켓_숏_차단_밀도_복원_ps0_5_floor0___ps0_50__floor0_00__hold8,0.50,0.0,-0.000562137088,0.00,adx_14,40.0,8,block_march_long_restore_non_hour16_margin,0.08,"month_pocket_observation_no_filter(월 포켓 관찰, 필터 아님)",all_sessions(전체 세션),all_sides(전체 방향),"month_pockets_report_only_not_filter(월 포켓은 보고 전용, 필터 아님)",0.3363363363,0.0,needs_restore(복원 필요),845.554,1.3287468527,887.0,2.6636636637,-120.303,6.0,3.0,1.3,validation_net_positive_report_separate(검증 순수익 양수 분리 보고),"oos_locked_no_threshold_selection(표본외 잠금, 임계값 선택 없음)",not_used(거래 쪼개기 없음),forbidden(금지),entry_time_known_only(진입 시점에 알려진 값만 사용),top_n forbidden(상위 N개 금지); trade_splitting forbidden(거래 쪼개기 금지); OOS threshold selection forbidden(표본외 임계값 선택 금지),month side pocket(월 방향 포켓)을 필터가 아닌 attribution(귀속)으로만 사용한다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
