candidate_alias,candidate_role,source_axis,guard_variant,guard_variant_id,guard_family,comparison_anchor,run267d_net_profit,run267d_profit_factor,run267d_trade_count,run267d_equity_dd_percent,run267e_net_delta,run267e_pf_delta,run267e_trade_delta,run267e_dd_delta,weakest_month_after_run267e,weakest_month_net_after_run267e,blocked_signal_rows,kept_signal_rows,signal_retention,common_feature_path,common_model_path,design_read,next_validation,claim_boundary
s264_aih,challenger_core,atrcomp,adx2025,atrcomp_adx20_25_noncalendar_guard,trend_strength_non_calendar,run267E_atrcomp_monday_guard,269.2,1.16028,314,28.73,151.91,0.144072,-56.0,-6.91,2024-08,-55.9,86,360,0.807174887892,OPV2/s267f/run267F_atrcomp_guard_robustness/adx2025/s264_aih/features/s264_aih_adx2025.csv,OPV2/s267f/run267F_atrcomp_guard_robustness/adx2025/s264_aih/models/s264_aih_adx2025_model.csv,non_calendar_mirror_test(비달력 거울 시험),"MT5 batch(묶음 실행), guard comparison(방어 비교), time-slice KPI(시간 구간 핵심 성과 지표), curve diagnostics(곡선 진단)",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
s264_aia,oos_anchor,atrcomp,adx2025,atrcomp_adx20_25_noncalendar_guard,trend_strength_non_calendar,run267E_atrcomp_monday_guard,261.08,1.156383,315,28.89,146.41,0.140515,-56.0,-6.95,2024-08,-55.69,86,360,0.807174887892,OPV2/s267f/run267F_atrcomp_guard_robustness/adx2025/s264_aia/features/s264_aia_adx2025.csv,OPV2/s267f/run267F_atrcomp_guard_robustness/adx2025/s264_aia/models/s264_aia_adx2025_model.csv,non_calendar_mirror_test(비달력 거울 시험),"MT5 batch(묶음 실행), guard comparison(방어 비교), time-slice KPI(시간 구간 핵심 성과 지표), curve diagnostics(곡선 진단)",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
s258_stc,stress_challenger,atrcomp,adx2025,atrcomp_adx20_25_noncalendar_guard,trend_strength_non_calendar,run267E_atrcomp_monday_guard,260.91,1.138808,334,29.99,164.66,0.141462,-60.0,-5.4,2024-08,-49.21,86,360,0.807174887892,OPV2/s267f/run267F_atrcomp_guard_robustness/adx2025/s258_stc/features/s258_stc_adx2025.csv,OPV2/s267f/run267F_atrcomp_guard_robustness/adx2025/s258_stc/models/s258_stc_adx2025_model.csv,non_calendar_mirror_test(비달력 거울 시험),"MT5 batch(묶음 실행), guard comparison(방어 비교), time-slice KPI(시간 구간 핵심 성과 지표), curve diagnostics(곡선 진단)",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
s264_lc,defensive_control,atrcomp,adx2025,atrcomp_adx20_25_noncalendar_guard,trend_strength_non_calendar,run267E_atrcomp_monday_guard,240.12,1.147474,311,28.78,166.07,0.149334,-55.0,-6.88,2024-08,-55.32,86,360,0.807174887892,OPV2/s267f/run267F_atrcomp_guard_robustness/adx2025/s264_lc/features/s264_lc_adx2025.csv,OPV2/s267f/run267F_atrcomp_guard_robustness/adx2025/s264_lc/models/s264_lc_adx2025_model.csv,non_calendar_mirror_test(비달력 거울 시험),"MT5 batch(묶음 실행), guard comparison(방어 비교), time-slice KPI(시간 구간 핵심 성과 지표), curve diagnostics(곡선 진단)",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
s262_lih,validation_heavy,atrcomp,adx2025,atrcomp_adx20_25_noncalendar_guard,trend_strength_non_calendar,run267E_atrcomp_monday_guard,201.92,1.124029,313,30.48,160.41,0.138326,-55.0,-6.91,2024-08,-53.29,86,360,0.807174887892,OPV2/s267f/run267F_atrcomp_guard_robustness/adx2025/s262_lih/features/s262_lih_adx2025.csv,OPV2/s267f/run267F_atrcomp_guard_robustness/adx2025/s262_lih/models/s262_lih_adx2025_model.csv,non_calendar_mirror_test(비달력 거울 시험),"MT5 batch(묶음 실행), guard comparison(방어 비교), time-slice KPI(시간 구간 핵심 성과 지표), curve diagnostics(곡선 진단)",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
s264_aih,challenger_core,atrcomp,dilowq33,atrcomp_di_low_q33_replacement_guard,directional_imbalance_replacement,run267E_atrcomp_monday_guard,269.2,1.16028,314,28.73,151.91,0.144072,-56.0,-6.91,2024-08,-55.9,123,323,0.724215246637,OPV2/s267f/run267F_atrcomp_guard_robustness/dilowq33/s264_aih/features/s264_aih_dilowq33.csv,OPV2/s267f/run267F_atrcomp_guard_robustness/dilowq33/s264_aih/models/s264_aih_dilowq33_model.csv,similar_feature_replacement_stress(유사 피처 대체 압박),"MT5 batch(묶음 실행), guard comparison(방어 비교), time-slice KPI(시간 구간 핵심 성과 지표), curve diagnostics(곡선 진단)",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
s264_aia,oos_anchor,atrcomp,dilowq33,atrcomp_di_low_q33_replacement_guard,directional_imbalance_replacement,run267E_atrcomp_monday_guard,261.08,1.156383,315,28.89,146.41,0.140515,-56.0,-6.95,2024-08,-55.69,123,323,0.724215246637,OPV2/s267f/run267F_atrcomp_guard_robustness/dilowq33/s264_aia/features/s264_aia_dilowq33.csv,OPV2/s267f/run267F_atrcomp_guard_robustness/dilowq33/s264_aia/models/s264_aia_dilowq33_model.csv,similar_feature_replacement_stress(유사 피처 대체 압박),"MT5 batch(묶음 실행), guard comparison(방어 비교), time-slice KPI(시간 구간 핵심 성과 지표), curve diagnostics(곡선 진단)",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
s258_stc,stress_challenger,atrcomp,dilowq33,atrcomp_di_low_q33_replacement_guard,directional_imbalance_replacement,run267E_atrcomp_monday_guard,260.91,1.138808,334,29.99,164.66,0.141462,-60.0,-5.4,2024-08,-49.21,123,323,0.724215246637,OPV2/s267f/run267F_atrcomp_guard_robustness/dilowq33/s258_stc/features/s258_stc_dilowq33.csv,OPV2/s267f/run267F_atrcomp_guard_robustness/dilowq33/s258_stc/models/s258_stc_dilowq33_model.csv,similar_feature_replacement_stress(유사 피처 대체 압박),"MT5 batch(묶음 실행), guard comparison(방어 비교), time-slice KPI(시간 구간 핵심 성과 지표), curve diagnostics(곡선 진단)",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
s264_lc,defensive_control,atrcomp,dilowq33,atrcomp_di_low_q33_replacement_guard,directional_imbalance_replacement,run267E_atrcomp_monday_guard,240.12,1.147474,311,28.78,166.07,0.149334,-55.0,-6.88,2024-08,-55.32,123,323,0.724215246637,OPV2/s267f/run267F_atrcomp_guard_robustness/dilowq33/s264_lc/features/s264_lc_dilowq33.csv,OPV2/s267f/run267F_atrcomp_guard_robustness/dilowq33/s264_lc/models/s264_lc_dilowq33_model.csv,similar_feature_replacement_stress(유사 피처 대체 압박),"MT5 batch(묶음 실행), guard comparison(방어 비교), time-slice KPI(시간 구간 핵심 성과 지표), curve diagnostics(곡선 진단)",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
s262_lih,validation_heavy,atrcomp,dilowq33,atrcomp_di_low_q33_replacement_guard,directional_imbalance_replacement,run267E_atrcomp_monday_guard,201.92,1.124029,313,30.48,160.41,0.138326,-55.0,-6.91,2024-08,-53.29,123,323,0.724215246637,OPV2/s267f/run267F_atrcomp_guard_robustness/dilowq33/s262_lih/features/s262_lih_dilowq33.csv,OPV2/s267f/run267F_atrcomp_guard_robustness/dilowq33/s262_lih/models/s262_lih_dilowq33_model.csv,similar_feature_replacement_stress(유사 피처 대체 압박),"MT5 batch(묶음 실행), guard comparison(방어 비교), time-slice KPI(시간 구간 핵심 성과 지표), curve diagnostics(곡선 진단)",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
