run_id,gate,status,evidence,effect,claim_boundary
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,scope_completion_gate(범위 완료 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AM/final_decision.json,run364AM proxy scout(364AM 프록시 정찰)를 닫음,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,input_parent_gate(부모 입력 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AM/input_manifest.csv,run364AL 대기열과 부모 산출물을 확인함,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,data_integrity_audit(데이터 무결성 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AM/data_integrity_receipt.json,시점 안전 프록시 재생 경계를 기록함,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,queue_replay_gate(대기열 재생 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AM/pf_pass_density_restore_proxy_scout_surface.csv,12개 대기열 행을 재생함,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,topn_absence_gate(top_n 부재 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AM/queue_replay_audit.csv,top_n 재생 없음,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,trade_splitting_absence_gate(거래 쪼개기 부재 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AM/pf_pass_density_restore_proxy_scout_surface.csv,거래 쪼개기 없음,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,kpi_contract_audit(KPI 계약 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AM/pf_pass_density_restore_proxy_scout_surface.csv,net/PF/expectancy/DD/RF/trades/side/density 기록,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,model_boundary_audit(모델 경계 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AM/model_boundary_receipt.json,새 모델 학습 없음과 threshold(임계값) 경계를 기록,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,performance_attribution_gate(성과 귀속 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AM/performance_attribution_receipt.json,복원 정책별 성과 귀속 연결,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,result_judgment_gate(결과 판정 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AM/result_judgment_receipt.json,MT5 필요 경계로 판정,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,artifact_lineage_audit(산출물 계보 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AM/artifact_lineage_receipt.json,입력/출력 해시 연결,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,claim_boundary_audit(주장 경계 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AM/claim_boundary_receipt.json,런타임 권위 주장 없음,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AM_train_pf_pass_density_restore_offensive_scout_without_db_v1,required_gate_coverage_audit(필수 게이트 커버리지 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AM/required_gate_coverage_audit.csv,필수 게이트를 종료 기록에 연결,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
