source_label,path,exists,required,availability,sha256,size_bytes,producer,consumer,claim_boundary
run356C final decision(356C 최종 결정),stages/356_density_recovery_training__proxy_model_queue_scout/02_runs/run356C/final_decision.json,true,true,ignored_with_manifest,8f2125b1e7cb5bf8ff663e92465daf7bafd44dd6eb0b657f97de1f931884f2a8,4024,run356C_expand_density_recovery_proxy_training_search_without_db_v1,run357A_branch_stage356_to_high_density_label_pivot_without_db_v1,state_sync_stage_branch_user_requested_high_density_label_pivot_handoff_only_no_new_model_training_no_new_proxy_execution_no_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run356C best expansion scorecard(356C 최선 확장 점수표),stages/356_density_recovery_training__proxy_model_queue_scout/02_runs/run356C/best_expansion_scorecard.csv,true,true,ignored_with_manifest,9949fa376fe09b1520147ba04b0b133f7495fb6506a7a11bad23f67b7e00c00e,65362,run356C_expand_density_recovery_proxy_training_search_without_db_v1,run357A_branch_stage356_to_high_density_label_pivot_without_db_v1,state_sync_stage_branch_user_requested_high_density_label_pivot_handoff_only_no_new_model_training_no_new_proxy_execution_no_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run356C MT5 probe queue(356C MT5 탐침 대기열),stages/356_density_recovery_training__proxy_model_queue_scout/02_runs/run356C/mt5_probe_candidate_queue.csv,true,true,ignored_with_manifest,f01a374e9c81e3db89b3a42940c4d6a5447684986a1296e42bf13f196eed6295,5,run356C_expand_density_recovery_proxy_training_search_without_db_v1,run357A_branch_stage356_to_high_density_label_pivot_without_db_v1,state_sync_stage_branch_user_requested_high_density_label_pivot_handoff_only_no_new_model_training_no_new_proxy_execution_no_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run356C gate audit(356C 게이트 감사),stages/356_density_recovery_training__proxy_model_queue_scout/02_runs/run356C/required_gate_coverage_audit.csv,true,true,ignored_with_manifest,8323db596994a52860344a4c0163ea9229e15a6bb8a70ee69f0b83149e397bcc,4618,run356C_expand_density_recovery_proxy_training_search_without_db_v1,run357A_branch_stage356_to_high_density_label_pivot_without_db_v1,state_sync_stage_branch_user_requested_high_density_label_pivot_handoff_only_no_new_model_training_no_new_proxy_execution_no_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run356C regression sweep(356C 회귀 탐색),stages/356_density_recovery_training__proxy_model_queue_scout/02_runs/run356C/regression_density_sweep_scorecard.csv,true,true,ignored_with_manifest,91c882fe1e2b89a5f9f2105ce987310726b17544d5a74cab3b4020b74d54d42f,2847407,run356C_expand_density_recovery_proxy_training_search_without_db_v1,run357A_branch_stage356_to_high_density_label_pivot_without_db_v1,state_sync_stage_branch_user_requested_high_density_label_pivot_handoff_only_no_new_model_training_no_new_proxy_execution_no_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run356C union sweep(356C 합집합 탐색),stages/356_density_recovery_training__proxy_model_queue_scout/02_runs/run356C/union_density_sweep_scorecard.csv,true,true,ignored_with_manifest,6b4f82eda117f31284e89a2e952b21c4cfe5dc12d8bf06f5dbdbced77a9015ee,1444,run356C_expand_density_recovery_proxy_training_search_without_db_v1,run357A_branch_stage356_to_high_density_label_pivot_without_db_v1,state_sync_stage_branch_user_requested_high_density_label_pivot_handoff_only_no_new_model_training_no_new_proxy_execution_no_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run356C ONNX parity(356C 온엑스 동등성),stages/356_density_recovery_training__proxy_model_queue_scout/02_runs/run356C/onnx_regression_parity_matrix.csv,true,true,ignored_with_manifest,cd0a1c7cd561ed9eb8805f8ab29efcd87d2655d771d287941c94649c24382378,6282,run356C_expand_density_recovery_proxy_training_search_without_db_v1,run357A_branch_stage356_to_high_density_label_pivot_without_db_v1,state_sync_stage_branch_user_requested_high_density_label_pivot_handoff_only_no_new_model_training_no_new_proxy_execution_no_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run356C review report(356C 검토 보고서),stages/356_density_recovery_training__proxy_model_queue_scout/03_reviews/run356C_density_recovery_proxy_expansion.md,true,true,tracked,d8947346ac6d2016c674ae00dcfd2e25cf9956738b36c5efddd0eb8621ae8fc5,2243,run356C_expand_density_recovery_proxy_training_search_without_db_v1,run357A_branch_stage356_to_high_density_label_pivot_without_db_v1,state_sync_stage_branch_user_requested_high_density_label_pivot_handoff_only_no_new_model_training_no_new_proxy_execution_no_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
Stage356 ledger(356단계 장부),stages/356_density_recovery_training__proxy_model_queue_scout/03_reviews/stage_run_ledger.csv,true,true,tracked,2c313e2fc5445b5173ce2d27e62aeced755542f18db81ea19dd5dd2f144eabd4,24225,run356C_expand_density_recovery_proxy_training_search_without_db_v1,run357A_branch_stage356_to_high_density_label_pivot_without_db_v1,state_sync_stage_branch_user_requested_high_density_label_pivot_handoff_only_no_new_model_training_no_new_proxy_execution_no_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
Stage356 selection status(356단계 선택 상태),stages/356_density_recovery_training__proxy_model_queue_scout/04_selected/selection_status.md,true,true,tracked,985865e235cdbc875ab10561f397600073da5b87bbc3893dae4ba298d30e4555,950,run356C_expand_density_recovery_proxy_training_search_without_db_v1,run357A_branch_stage356_to_high_density_label_pivot_without_db_v1,state_sync_stage_branch_user_requested_high_density_label_pivot_handoff_only_no_new_model_training_no_new_proxy_execution_no_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
