ledger_row_id,stage_id,run_id,work_family,evidence_scope,kpi_scope,status,judgment,claim_boundary,path,notes,decision,run_key,family,question,metric_scope,primary_artifact,report_path,next_action,run_number,date,parent_run_id,next_run_id,rows,gate_passes,gate_total,trained_models,onnx_parity,best_proxy,candidate_rows,positive_proxy_rows,best_model_id,best_proxy_net,attempt_rows,feature_matrix_rows,runtime_completed_rows,matched_rows,mismatch_rows,positive_net_rows,best_net_profit,best_profit_factor,operating_ready_rows,run_date,view,tier,net_profit,profit_factor,expectancy,drawdown,recovery_factor,trade_count,candidate_model_id,result_status,expected_probability_rows,long_trade_count,short_trade_count,feature_count,task_seed_rows,eligible_task_rows,trained_model_rows,best_inner_holdout_proxy_net,best_inner_holdout_profit_factor,candidate_model_ids,probe_priority_model,raw_top_model,lane,primary_report,balance_control_model,cost_control_model,primary_proxy_net,primary_profit_factor,primary_recovery_factor
run337A_design_cost_buffer_direction_curve_rebuild_packet_v1__design_packet,337_onnx_research_packet__cost_buffer_direction_curve_rebuild,run337A_design_cost_buffer_direction_curve_rebuild_packet_v1,experiment_design,run336P_failure_memory_run336O_cost_direction_curve_run336N_parity,design_only_no_new_forward_kpi,completed_cost_direction_curve_rebuild_packet_design_no_selection,stage337A_predeclared_cost_direction_curve_proxy_mt5_packet_ready_no_selection,research_development_only_stage337A_cost_direction_curve_rebuild_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/03_reviews/run337A_cost_direction_curve_rebuild_packet_design.md,next_action=run337B_materialize_cost_direction_curve_rebuild_inputs_v1;proxy_expected_and_mt5_runtime_probe_required;goal_achieve_not_claimed.,stage337A_cost_direction_curve_rebuild_design_ready_no_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run337B_materialize_cost_direction_curve_rebuild_inputs_v1__materialized_inputs,337_onnx_research_packet__cost_buffer_direction_curve_rebuild,run337B_materialize_cost_direction_curve_rebuild_inputs_v1,input_materialization,run337A_contracts_run336M_N_O_P_existing_runtime_forward_evidence,proxy_signal_usability_context_only_no_new_candidate_kpi,completed_cost_direction_curve_rebuild_inputs_materialized_no_selection,stage337B_proxy_mt5_signal_usability_context_only_inputs_ready_no_selection,research_development_only_stage337B_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/03_reviews/run337B_materialized_inputs_proxy_mt5_usability.md,next_action=run337C_review_materialized_inputs_and_proxy_mt5_usability_v1;proxy_expected_and_mt5_runtime_difference_materialized;goal_achieve_not_claimed.,stage337B_materialized_inputs_ready_proxy_mt5_context_only_no_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run337C_review_materialized_inputs_and_proxy_mt5_usability_v1__proxy_mt5_usability_review,337_onnx_research_packet__cost_buffer_direction_curve_rebuild,run337C_review_materialized_inputs_and_proxy_mt5_usability_v1,review,run337B_materialized_inputs_existing_run336M_N_runtime_evidence,review_only_no_new_candidate_kpi,completed_materialized_inputs_proxy_mt5_usability_review_no_selection,stage337C_proxy_mt5_context_only_branch_protocol_queue_ready_no_selection,research_development_only_stage337C_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/03_reviews/run337C_review_materialized_inputs_proxy_mt5_usability.md,next_action=run337D_materialize_research_execution_protocols_v1;proxy_not_kpi_authority;goal_achieve_not_claimed.,stage337C_review_accepts_protocol_queue_proxy_not_kpi_no_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run337D_materialize_research_execution_protocols_v1__research_execution_protocols,337_onnx_research_packet__cost_buffer_direction_curve_rebuild,run337D_materialize_research_execution_protocols_v1,experiment_design,run337C_protocol_queue_proxy_mt5_core56_branch_reviews,protocol_only_no_new_candidate_kpi,completed_research_execution_protocols_materialized_no_selection,stage337D_protocols_ready_for_review_no_training_no_selection,research_development_only_stage337D_protocol_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/03_reviews/run337D_research_execution_protocols.md,next_action=run337E_review_research_execution_protocols_v1;training_not_allowed;goal_achieve_not_claimed.,stage337D_materialized_execution_protocols_review_next_no_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run337E_review_research_execution_protocols_v1__research_execution_protocol_review,337_onnx_research_packet__cost_buffer_direction_curve_rebuild,run337E_review_research_execution_protocols_v1,review,run337D_protocols_and_gate_audit,protocol_review_only_no_new_candidate_kpi,completed_research_execution_protocol_review_accepts_blueprint_queue_no_training,stage337E_protocol_review_accepts_blueprint_materialization_no_selection,research_development_only_stage337E_protocol_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/03_reviews/run337E_review_research_execution_protocols.md,next_action=run337F_materialize_protocol_bound_execution_blueprints_v1;blueprint_queue_opened;training_not_allowed;goal_achieve_not_claimed.,stage337E_protocols_reviewed_open_run337F_blueprints_no_training_no_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run337F_materialize_protocol_bound_execution_blueprints_v1__protocol_bound_execution_blueprints,337_onnx_research_packet__cost_buffer_direction_curve_rebuild,run337F_materialize_protocol_bound_execution_blueprints_v1,experiment_design,run337E_accepted_protocols_and_review_queue,blueprint_only_no_new_candidate_kpi,completed_protocol_bound_execution_blueprints_materialized_no_training,stage337F_blueprints_materialized_for_review_no_training_no_selection,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/03_reviews/run337F_protocol_bound_execution_blueprints.md,next_action=run337G_review_protocol_bound_execution_blueprints_v1;blueprints_materialized;training_not_allowed;mt5_not_executed;goal_achieve_not_claimed.,stage337F_blueprints_ready_for_review_no_training_no_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run337G_review_protocol_bound_execution_blueprints_v1__protocol_bound_execution_blueprint_review,337_onnx_research_packet__cost_buffer_direction_curve_rebuild,run337G_review_protocol_bound_execution_blueprints_v1,result_judgment,run337F_protocol_bound_execution_blueprints,blueprint_review_only_no_new_candidate_kpi,completed_protocol_bound_execution_blueprint_review_accepts_package_queue_no_training,stage337G_blueprints_reviewed_accept_package_materialization_no_selection,research_development_only_stage337G_blueprint_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/03_reviews/run337G_review_protocol_bound_execution_blueprints.md,next_action=run337H_materialize_reviewed_execution_packages_v1;blueprints_reviewed;training_not_allowed;mt5_not_executed;goal_achieve_not_claimed.,stage337G_blueprints_reviewed_open_run337H_packages_no_training_no_mt5_no_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run337H_materialize_reviewed_execution_packages_v1__reviewed_execution_packages,337_onnx_research_packet__cost_buffer_direction_curve_rebuild,run337H_materialize_reviewed_execution_packages_v1,artifact_materialization,run337G_accepted_blueprints_and_run337F_source_blueprints,package_spec_only_no_new_candidate_kpi,completed_reviewed_execution_packages_materialized_no_training_no_mt5,stage337H_packages_materialized_for_review_no_selection,research_development_only_stage337H_package_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/03_reviews/run337H_materialize_reviewed_execution_packages.md,next_action=run337I_review_materialized_execution_packages_v1;packages_materialized;training_not_allowed;mt5_not_executed;goal_achieve_not_claimed.,stage337H_packages_ready_for_review_no_training_no_mt5_no_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run337I_review_materialized_execution_packages_v1__materialized_execution_package_review,337_onnx_research_packet__cost_buffer_direction_curve_rebuild,run337I_review_materialized_execution_packages_v1,result_judgment,run337H_reviewed_execution_packages,package_review_only_no_new_candidate_kpi,completed_materialized_execution_package_review_accepts_runner_scaffold_queue_no_training_no_mt5,stage337I_packages_reviewed_accept_runner_scaffold_materialization_no_selection,research_development_only_stage337I_package_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/03_reviews/run337I_review_materialized_execution_packages.md,next_action=run337J_materialize_runner_scaffolds_v1;packages_reviewed;training_not_allowed;mt5_not_executed;goal_achieve_not_claimed.,stage337I_packages_reviewed_open_run337J_runner_scaffolds_no_training_no_mt5_no_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run337J_materialize_runner_scaffolds_v1__runner_scaffold_materialization,337_onnx_research_packet__cost_buffer_direction_curve_rebuild,run337J_materialize_runner_scaffolds_v1,runtime_parity_scaffold,run337I_accepted_packages_and_run337H_package_specs,scaffold_only_no_new_candidate_kpi,completed_runner_scaffolds_materialized_no_training_no_mt5,stage337J_runner_scaffolds_materialized_for_review_no_execution_no_selection,research_development_only_stage337J_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/03_reviews/run337J_materialize_runner_scaffolds.md,next_action=run337K_review_runner_scaffolds_v1;scaffolds_materialized;training_not_allowed;mt5_not_executed;goal_achieve_not_claimed.,stage337J_runner_scaffolds_ready_for_run337K_review_no_training_no_mt5_no_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run337K_review_runner_scaffolds_v1__runner_scaffold_review,337_onnx_research_packet__cost_buffer_direction_curve_rebuild,run337K_review_runner_scaffolds_v1,runtime_parity_scaffold_review,run337J_runner_scaffolds,scaffold_review_only_no_new_candidate_kpi,completed_runner_scaffold_review_accepts_run337L_materialization_no_training_no_mt5,stage337K_runner_scaffolds_reviewed_accept_proxy_mt5_input_materialization_no_execution_no_selection,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/03_reviews/run337K_review_runner_scaffolds.md,next_action=run337L_materialize_proxy_expected_fresh_mt5_probe_inputs_v1;scaffolds_reviewed;training_not_allowed;mt5_not_executed;goal_achieve_not_claimed.,stage337K_runner_scaffolds_reviewed_open_run337L_proxy_mt5_inputs_no_training_no_mt5_no_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run337L_materialize_proxy_expected_fresh_mt5_probe_inputs_v1__proxy_mt5_input_materialization,337_onnx_research_packet__cost_buffer_direction_curve_rebuild,run337L_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,runtime_parity_input_materialization,run337K_accepted_scaffolds_to_run337M_review_queue,input_materialization_only_no_new_candidate_kpi,completed_proxy_expected_fresh_mt5_probe_inputs_materialized_no_mt5_execution,stage337L_proxy_mt5_input_packages_materialized_for_review_no_execution_no_selection,research_development_only_stage337L_proxy_mt5_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/03_reviews/run337L_proxy_expected_fresh_mt5_probe_inputs.md,next_action=run337M_review_proxy_expected_fresh_mt5_probe_inputs_v1;proxy_mt5_inputs_materialized;mt5_not_executed;goal_achieve_not_claimed.,stage337L_proxy_mt5_inputs_ready_for_run337M_review_no_training_no_mt5_no_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run337M_review_proxy_expected_fresh_mt5_probe_inputs_v1__proxy_mt5_input_review,337_onnx_research_packet__cost_buffer_direction_curve_rebuild,run337M_review_proxy_expected_fresh_mt5_probe_inputs_v1,runtime_parity_input_review,run337L_materialized_inputs_to_run337N_runtime_probe_queue,input_review_only_no_new_candidate_kpi,completed_proxy_expected_fresh_mt5_probe_input_review_accepts_runtime_probe_attempt_queue_no_training_no_mt5,stage337M_inputs_reviewed_open_run337N_runtime_probe_attempt_no_selection,research_development_only_stage337M_proxy_mt5_input_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/03_reviews/run337M_review_proxy_expected_fresh_mt5_probe_inputs.md,next_action=run337N_attempt_fresh_mt5_runtime_probe_or_block_v1;run337N_queue_opened;mt5_not_executed;goal_achieve_not_claimed.,stage337M_proxy_mt5_inputs_reviewed_accept_runtime_probe_attempt_queue_no_training_no_mt5_no_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run337N_attempt_fresh_mt5_runtime_probe_or_block_v1__fresh_mt5_runtime_probe_or_block,337_onnx_research_packet__cost_buffer_direction_curve_rebuild,run337N_attempt_fresh_mt5_runtime_probe_or_block_v1,runtime_parity_feature_handoff_repair,latest_feature_handoff_repair_runtime_probe_core56_blocker,runtime_diagnostic_no_forward_kpi_decision,completed_stage337N_fresh_mt5_runtime_probe_attempt_partial_or_block_no_forward_decision,fresh_mt5_runtime_probe_attempt_has_runtime_or_feature_gap_requires_repair,research_development_only_stage337N_fresh_mt5_runtime_probe_attempt_same_onnx_same_feature_order_same_threshold_same_risk_same_lot_live_safe_handoff_refresh_only_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/03_reviews/run337N_fresh_mt5_runtime_probe_or_block.md,next_action=run337O_review_fresh_mt5_runtime_probe_and_core56_repair_or_attribution_queue_v1;goal_achieve_not_claimed.,stage337N_runtime_probe_needs_repair_before_forward_or_selection_judgment,run337N_attempt_fresh_mt5_runtime_probe_or_block_v1__fresh_mt5_runtime_probe_or_block,runtime_parity_feature_handoff_repair,can latest m48/u42 feature handoff survive fresh MT5 runtime while core56 remains blocked,fresh_mt5_runtime_probe_no_forward_decision,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/03_reviews/run337N_fresh_mt5_runtime_probe_or_block.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run337O_review_fresh_mt5_runtime_probe_and_core56_repair_or_attribution_queue_v1__timestamp_aligned_runtime_review,337_onnx_research_packet__cost_buffer_direction_curve_rebuild,run337O_review_fresh_mt5_runtime_probe_and_core56_repair_or_attribution_queue_v1,runtime_parity_review,run337N_runtime_probe_review,diagnostic_runtime_parity_not_forward_kpi,completed_stage337O_timestamp_aligned_runtime_review_repair_queue_no_forward_decision,timestamp_aligned_parity_passed_on_tester_observed_window_latest_forward_blocked_by_current_day_tester_gap_macro_source_gap_core56_source_gap,research_development_only_stage337O_timestamp_aligned_runtime_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/03_reviews/run337O_fresh_mt5_runtime_probe_review.md,next_action=run337P_materialize_runtime_data_and_feature_source_repair_probe_v1;goal_achieve_not_claimed.,stage337O_open_run337P_runtime_data_and_feature_source_repair_no_selection,run337O_review_fresh_mt5_runtime_probe_and_core56_repair_or_attribution_queue_v1__timestamp_aligned_runtime_review,runtime_parity_review,does run337N raw proxy-MT5 mismatch remain after tester-observed timestamp alignment,timestamp_alignment_and_repair_queue_no_forward_decision,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/03_reviews/run337O_fresh_mt5_runtime_probe_review.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run337P_materialize_runtime_data_and_feature_source_repair_probe_v1__runtime_data_feature_source_repair_probe,337_onnx_research_packet__cost_buffer_direction_curve_rebuild,run337P_materialize_runtime_data_and_feature_source_repair_probe_v1,runtime_parity_repair,asof_feature_source_repair_and_mt5_probe,diagnostic_repair_probe_not_forward_kpi,completed_stage337P_asof_feature_source_repair_probe_runtime_completed_tester_gap_remains_no_forward_decision,asof_macro_core56_source_repair_runtime_probe_completed_current_day_tester_gap_requires_review,research_development_only_stage337P_runtime_data_and_feature_source_repair_probe_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/03_reviews/run337P_runtime_data_and_feature_source_repair_probe.md,next_action=run337Q_review_runtime_data_and_feature_source_repair_probe_v1;goal_achieve_not_claimed.,stage337P_open_run337Q_repair_probe_review_no_selection,run337P_materialize_runtime_data_and_feature_source_repair_probe_v1__runtime_data_feature_source_repair_probe,runtime_data_feature_source_repair_probe,can tester/macro/core56 gaps be reduced with no-lookahead source repair probes,repair_probe_runtime_no_forward_decision,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/03_reviews/run337P_runtime_data_and_feature_source_repair_probe.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run337Q_review_runtime_data_and_feature_source_repair_probe_v1__tester_date_boundary_repair_review,337_onnx_research_packet__cost_buffer_direction_curve_rebuild,run337Q_review_runtime_data_and_feature_source_repair_probe_v1,runtime_parity_repair,MT5 tester logs telemetry and proxy parity,diagnostic_runtime_probe_not_forward_kpi,completed_stage337Q_tester_date_boundary_probe_partial_no_forward_decision,tester_date_boundary_gap_or_runtime_partial_requires_repair,research_development_only_stage337Q_tester_date_boundary_repair_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/03_reviews/run337Q_tester_date_boundary_repair_review.md,next_action=run337R_fresh_boundary_repaired_forward_attribution_and_asof_policy_review_v1;goal_achieve_not_claimed.,stage337Q_open_run337R_tester_boundary_or_source_policy_repair_no_selection,run337Q_review_runtime_data_and_feature_source_repair_probe_v1__tester_date_boundary_repair_review,tester_date_boundary_repair_review,can ToDate boundary repair make MT5 tester reach repaired feature last without retuning,runtime_boundary_repair_probe_no_forward_decision,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/03_reviews/run337Q_tester_date_boundary_repair_review.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run337R_fresh_boundary_repaired_forward_attribution_and_asof_policy_review_v1__boundary_forward_attribution_stress,337_onnx_research_packet__cost_buffer_direction_curve_rebuild,run337R_fresh_boundary_repaired_forward_attribution_and_asof_policy_review_v1,runtime_backtest_attribution,run337Q MT5 reports and telemetry,diagnostic_forward_blocked,completed_stage337R_boundary_attribution_stress_forward_blocked_no_goal_achieve,forward_blocked_by_tester_current_day_gap_and_asof_source_policy_after_attribution_review,research_development_only_stage337R_boundary_forward_attribution_stress_no_model_training_no_threshold_retuning_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/03_reviews/run337R_boundary_forward_attribution_stress_review.md,next_action=run337S_tester_visible_source_policy_repair_or_next_data_boundary_probe_v1;goal_achieve_not_claimed.,stage337R_open_run337S_tester_visible_source_policy_repair_or_next_data_boundary_probe_no_selection,run337R_fresh_boundary_repaired_forward_attribution_and_asof_policy_review_v1__boundary_forward_attribution_stress,boundary_forward_attribution_stress,where does tester-visible forward robustness hold or break under frozen handoff,trade_level_attribution_cost_stress_curve_pocket_no_forward_decision,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/03_reviews/run337R_boundary_forward_attribution_stress_review.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
