memory_id,pattern,evidence,affected_scope,why_failed_or_fragile,do_not_repeat,salvage_angle,reopen_condition,boundary
run267cd_branch_positive_but_dd_watch,positive_net_not_selection(양수 순익은 선택이 아님),stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CC/aggressive_impulse_dd_shape_followup_balance_timeslice_trade_quality_review/candidate_followup_summary.csv,s264_aih;s258_stc,"PF and net improved in 2025H2, but worst DD stayed at or above 15 percent(PF와 순익은 2025H2에서 개선됐지만 최악 손실폭은 15% 이상)",do not promote or ONNX-review from one positive follow-up period(양수 후속 한 기간으로 승격 또는 ONNX 검토 금지),use as clue for loss-shape feature engineering(손실형태 피처 엔지니어링 단서로 사용),multi-period curve and DD shape improve together(다기간 곡선과 DD 형태가 함께 개선),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267cd_calendar_slice_temptation,calendar_bucket_overfit_risk(달력 구간 과적합 위험),stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CC/aggressive_impulse_dd_shape_followup_balance_timeslice_trade_quality_review/negative_slice_summary.csv,Monday;close_hour_19_22;session_21_23,weak buckets are small and easy to overfit(약한 버킷은 작고 과적합하기 쉬움),do not hard-delete a clock bucket as cosmetic curve repair(그래프 보기용으로 시간 버킷을 하드 삭제하지 않음),convert into state feature ideas such as adverse excursion or giveback(불리한 이동 또는 수익 반납 같은 상태 피처 아이디어로 전환),state feature still leaves the same bucket as residual diagnostic(상태 피처 후에도 같은 버킷이 잔여 진단으로 남을 때),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267cd_two_candidate_narrowing,pool_narrowing_requires_reanchor(후보군 축소는 재고정 필요),stages/267_adapter_research__baseline_candidate_racing_protocol/03_reviews/stage267_run267CC_aggressive_impulse_dd_shape_followup_balance_timeslice_trade_quality_review.md,all_five_baseline_candidates(다섯 기준 후보),"latest follow-up only tested two candidates, so controls can be underweighted(최신 후속은 두 후보만 시험해 대조군 비중이 낮아질 수 있음)",do not let a narrowed branch silently define the research pool(좁아진 분기가 조용히 연구 후보군을 정의하지 않게 함),run267CE reanchors controls and OOS anchor(267CE에서 대조군과 표본외 앵커 재고정),a future branch explicitly documents why a candidate role is excluded(향후 분기가 후보 역할 제외 이유를 명시),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267cd_s258_stress_not_deep_repair,stress_candidate_requires_dd_mechanism(압박 후보는 DD 메커니즘 필요),stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CC/aggressive_impulse_dd_shape_followup_balance_timeslice_trade_quality_review/candidate_followup_summary.csv,s258_stc,strong net is not enough while DD remains worst in the pair(순익이 강해도 짝 안에서 손실폭이 최악이면 충분하지 않음),do not keep polishing s258-only thresholds from this branch(이 분기에서 s258 단독 임계값 다듬기 지속 금지),use only as stress comparator until cross-candidate loss-shape feature exists(후보 공통 손실형태 피처가 생길 때까지 압박 비교군으로만 사용),new feature lowers DD without collapsing trade count(새 피처가 거래 수 붕괴 없이 DD를 낮춤),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
source_run267cc_headline_positive_not_selection,,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CC/aggressive_impulse_dd_shape_followup_balance_timeslice_trade_quality_review/candidate_followup_summary.csv,,,"do not claim selected candidate, research baseline, ONNX readiness, or goal achievement from headline positives",,,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
source_run267cc_dd_watch_candidates,,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CC/aggressive_impulse_dd_shape_followup_balance_timeslice_trade_quality_review/candidate_followup_summary.csv,,,do not chase net profit with only threshold or filter stacking,,,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
source_run267cc_2025h2_dd_watch,,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CC/aggressive_impulse_dd_shape_followup_balance_timeslice_trade_quality_review/period_summary.csv,,,do not micro-tune only 2025H2 loss without broader candidate comparison,,,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ce_calendar_not_state_guard,calendar-looking weakness must be converted to state evidence(달력처럼 보이는 약점은 상태 근거로 바꿔야 함),run267CD closed repeated calendar/segment-like repair drift(267CD가 반복 달력/구간형 수리 드리프트 종료),all candidates(전체 후보),calendar deletes can make a pretty number while hiding market meaning(달력 삭제는 시장 의미를 숨기고 숫자만 예쁘게 만들 수 있음),no weekday/month/hour hard cut(요일/월/시간 강제 삭제 금지),session_state_not_calendar(달력 필터가 아닌 세션 상태),state feature explains weakness without hard deletion(강제 삭제 없이 상태 피처가 약점 설명),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ce_feature_order_before_materialization,new feature without feature-order audit is invalid risk(피처 순서 감사 없는 새 피처는 무효 위험),run267P/run267Q showed feature order matters for Adapter/MT5 handoff(267P/267Q가 어댑터/MT5 인계에서 피처 순서 중요성을 보임),run267CF materialization(267CF 물질화),candidate differences can collapse if handoff order is wrong(인계 순서가 틀리면 후보 차이가 접힐 수 있음),no MT5 batch before manifest/order audit(목록/순서 감사 전 MT5 묶음 금지),q06 feature order/data audit(q06 피처 순서/데이터 감사),"manifest, order, and hashes are present(목록/순서/해시 존재)",research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267ce_control_reanchor_required,challenger-only comparison overstates progress(도전자만 비교하면 진전이 과장됨),run267CD kept controls and OOS anchor as diagnostic roles(267CD가 대조군과 표본외 앵커를 진단 역할로 유지),s264_lc;s262_lih;s264_aia,a better challenger can still be brittle if controls break too(대조군도 깨지면 더 나은 도전자도 취약할 수 있음),no two-candidate quiet baseline(조용한 두 후보 기준화 금지),q03 control reanchor(q03 대조군 재앵커),controls explain candidate-specific failure(대조군이 후보별 실패를 설명),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
