run_id,source_run_id,adapter_id,split,segment,role,trade_count,net_profit,profit_factor,expectancy,max_closed_trade_drawdown,mfe_capture_ratio,net_contribution_of_split,pf_flag,stage170_note
run170A_stage170_stage169_net_density_followup_review_v1,run169A_stage169_net_density_lift_pf_preservation_v1,s169_short_pre_risk0300_h3_cd5_sht54_lng52,validation_is,early,lower_risk_backup,81.0,160.82,1.46605,1.985432,47.72,0.193381,0.2069,below_34d_pf,below_34d_pf; comparison row(비교 행) for Stage171 bounded audit(171단계 경계 감사).
run170A_stage170_stage169_net_density_followup_review_v1,run169A_stage169_net_density_lift_pf_preservation_v1,s169_short_pre_risk0300_h3_cd5_sht54_lng52,validation_is,mid,lower_risk_backup,81.0,200.29,1.495571,2.472716,105.98,0.188355,0.2577,below_34d_pf,below_34d_pf; comparison row(비교 행) for Stage171 bounded audit(171단계 경계 감사).
run170A_stage170_stage169_net_density_followup_review_v1,run169A_stage169_net_density_lift_pf_preservation_v1,s169_short_pre_risk0300_h3_cd5_sht54_lng52,validation_is,late,lower_risk_backup,81.0,416.17,1.802689,5.137901,70.88,0.260665,0.5354,pf_ok_vs_34d,pf_ok_vs_34d; comparison row(비교 행) for Stage171 bounded audit(171단계 경계 감사).
run170A_stage170_stage169_net_density_followup_review_v1,run169A_stage169_net_density_lift_pf_preservation_v1,s169_short_pre_risk0300_h3_cd5_sht54_lng52,oos,early,lower_risk_backup,60.0,173.43,1.7578,2.8905,49.38,0.260148,0.2596,pf_ok_vs_34d,pf_ok_vs_34d; comparison row(비교 행) for Stage171 bounded audit(171단계 경계 감사).
run170A_stage170_stage169_net_density_followup_review_v1,run169A_stage169_net_density_lift_pf_preservation_v1,s169_short_pre_risk0300_h3_cd5_sht54_lng52,oos,mid,lower_risk_backup,59.0,165.3,1.630098,2.801695,52.49,0.213868,0.2475,pf_ok_vs_34d,pf_ok_vs_34d; comparison row(비교 행) for Stage171 bounded audit(171단계 경계 감사).
run170A_stage170_stage169_net_density_followup_review_v1,run169A_stage169_net_density_lift_pf_preservation_v1,s169_short_pre_risk0300_h3_cd5_sht54_lng52,oos,late,lower_risk_backup,59.0,329.26,2.036909,5.580678,46.29,0.307113,0.4929,pf_ok_vs_34d,pf_ok_vs_34d; comparison row(비교 행) for Stage171 bounded audit(171단계 경계 감사).
run170A_stage170_stage169_net_density_followup_review_v1,run169A_stage169_net_density_lift_pf_preservation_v1,s169_short_pre_risk0350_h3_cd5_sht54_lng52,validation_is,early,primary_audit_anchor,81.0,197.72,1.481586,2.440988,57.28,0.198122,0.2009,below_34d_pf,primary(주 후보)는 near-34D total net(34D 근접 전체 순손익)이지만 이 validation segment(검증 구간) PF(수익요인)가 34D 아래라서 repair(수리) 전에 audit(감사)가 필요하다.
run170A_stage170_stage169_net_density_followup_review_v1,run169A_stage169_net_density_lift_pf_preservation_v1,s169_short_pre_risk0350_h3_cd5_sht54_lng52,validation_is,mid,primary_audit_anchor,81.0,244.29,1.477427,3.015926,135.28,0.18319,0.2483,below_34d_pf,primary(주 후보)는 near-34D total net(34D 근접 전체 순손익)이지만 이 validation segment(검증 구간) PF(수익요인)가 34D 아래라서 repair(수리) 전에 audit(감사)가 필요하다.
run170A_stage170_stage169_net_density_followup_review_v1,run169A_stage169_net_density_lift_pf_preservation_v1,s169_short_pre_risk0350_h3_cd5_sht54_lng52,validation_is,late,primary_audit_anchor,81.0,541.95,1.788234,6.690741,94.57,0.257762,0.5508,pf_ok_vs_34d,primary late validation(주 후보 검증 후반)이 validation net(검증 순손익)의 0.5508를 차지하므로 concentration(집중도)과 equity shape(자산 곡선 모양)을 확인한다.
run170A_stage170_stage169_net_density_followup_review_v1,run169A_stage169_net_density_lift_pf_preservation_v1,s169_short_pre_risk0350_h3_cd5_sht54_lng52,oos,early,primary_audit_anchor,60.0,208.22,1.749262,3.470333,58.01,0.258654,0.2491,pf_ok_vs_34d,primary OOS segment(주 후보 표본외 구간)는 PF-positive(수익요인 양호)지만 late contribution(후반 기여)이 concentration risk(집중 위험)인지 감사한다.
