ledger_row_id,stage_id,run_id,work_family,evidence_scope,kpi_scope,status,judgment,claim_boundary,path,notes,decision
run335A_design_failure_memory_constrained_research_packet_v1__research_packet_design,335_overfit_guard__failure_memory_constrained_research_handoff,run335A_design_failure_memory_constrained_research_packet_v1,experiment_design,failure_memory_constrained_research_packet,design_only_no_new_trading_kpi,completed_failure_memory_constrained_research_packet_design_no_selection,stage335A_predeclared_research_constraints_ready_no_goal_achieve,research_development_only_stage335A_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/335_overfit_guard__failure_memory_constrained_research_handoff/03_reviews/run335A_failure_memory_constrained_research_packet_design.md,no_candidate_selected;goal_achieve_not_claimed.,stage335A_failure_memory_axes_converted_to_predeclared_research_contract_no_selection
run335B_materialize_failure_memory_guard_inputs_v1__guard_input_materialization,335_overfit_guard__failure_memory_constrained_research_handoff,run335B_materialize_failure_memory_guard_inputs_v1,experiment_execution,failure_memory_guard_input_materialization,manifest_only_no_new_trading_kpi,completed_failure_memory_guard_inputs_materialized_no_selection,guard_inputs_materialized_research_only_no_goal_achieve,research_development_only_stage335B_guard_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/335_overfit_guard__failure_memory_constrained_research_handoff/03_reviews/run335B_failure_memory_guard_input_materialization.md,no_candidate_selected;goal_achieve_not_claimed.,stage335B_guard_inputs_materialized_ready_for_branch_design_no_selection
run335C_design_guarded_failure_memory_research_branches_v1__guarded_branch_design,335_overfit_guard__failure_memory_constrained_research_handoff,run335C_design_guarded_failure_memory_research_branches_v1,experiment_design,guarded_failure_memory_branch_design,design_only_no_new_trading_kpi,completed_guarded_failure_memory_research_branch_design_no_selection,guarded_branch_design_ready_research_only_no_goal_achieve,research_development_only_stage335C_branch_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/335_overfit_guard__failure_memory_constrained_research_handoff/03_reviews/run335C_guarded_failure_memory_branch_design.md,no_candidate_selected;goal_achieve_not_claimed.,stage335C_guarded_failure_memory_branches_designed_no_selection
run335D_materialize_guarded_branch_research_inputs_v1__branch_input_materialization,335_overfit_guard__failure_memory_constrained_research_handoff,run335D_materialize_guarded_branch_research_inputs_v1,experiment_execution,guarded_branch_research_input_materialization,manifest_only_no_new_trading_kpi,completed_guarded_branch_research_inputs_materialized_no_selection,guarded_branch_inputs_materialized_research_only_no_goal_achieve,research_development_only_stage335D_branch_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/335_overfit_guard__failure_memory_constrained_research_handoff/03_reviews/run335D_guarded_branch_research_input_materialization.md,no_candidate_selected;goal_achieve_not_claimed.,stage335D_guarded_branch_inputs_materialized_ready_for_review_no_selection
run335E_review_guarded_branch_input_materialization_v1__branch_input_review,335_overfit_guard__failure_memory_constrained_research_handoff,run335E_review_guarded_branch_input_materialization_v1,experiment_execution,guarded_branch_input_materialization_review,review_only_no_new_trading_kpi,completed_guarded_branch_input_materialization_review_no_selection,branch_input_packages_reviewed_research_only_no_goal_achieve,research_development_only_stage335E_branch_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/335_overfit_guard__failure_memory_constrained_research_handoff/03_reviews/run335E_guarded_branch_input_materialization_review.md,no_candidate_selected;goal_achieve_not_claimed.,stage335E_branch_input_packages_reviewed_ready_for_probe_protocol_design_no_selection
run335F_design_guarded_branch_probe_protocols_v1__probe_protocol_design,335_overfit_guard__failure_memory_constrained_research_handoff,run335F_design_guarded_branch_probe_protocols_v1,experiment_design,guarded_branch_probe_protocol_design,design_only_no_new_trading_kpi,completed_guarded_branch_probe_protocol_design_no_selection,probe_protocols_designed_research_only_no_goal_achieve,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/335_overfit_guard__failure_memory_constrained_research_handoff/03_reviews/run335F_guarded_branch_probe_protocol_design.md,no_candidate_selected;goal_achieve_not_claimed.,stage335F_probe_protocols_designed_ready_for_materialization_no_selection
run335G_materialize_guarded_branch_probe_inputs_v1__probe_input_materialization,335_overfit_guard__failure_memory_constrained_research_handoff,run335G_materialize_guarded_branch_probe_inputs_v1,experiment_execution,guarded_branch_probe_input_materialization,manifest_only_no_new_trading_kpi,completed_guarded_branch_probe_inputs_materialized_no_selection,probe_inputs_materialized_research_only_no_goal_achieve,research_development_only_stage335G_probe_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/335_overfit_guard__failure_memory_constrained_research_handoff/03_reviews/run335G_guarded_branch_probe_input_materialization.md,no_candidate_selected;proxy_mt5_usability_not_claimed;goal_achieve_not_claimed.,stage335G_probe_inputs_materialized_ready_for_review_no_selection
run335H_review_guarded_branch_probe_input_materialization_v1__probe_input_review,335_overfit_guard__failure_memory_constrained_research_handoff,run335H_review_guarded_branch_probe_input_materialization_v1,experiment_execution,guarded_branch_probe_input_materialization_review,review_only_no_new_trading_kpi,completed_guarded_branch_probe_input_materialization_review_no_selection,probe_input_packages_reviewed_proxy_mt5_results_missing_no_goal_achieve,research_development_only_stage335H_probe_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/335_overfit_guard__failure_memory_constrained_research_handoff/03_reviews/run335H_probe_input_materialization_review.md,no_candidate_selected;proxy_mt5_not_usable_yet;goal_achieve_not_claimed.,stage335H_probe_inputs_reviewed_proxy_mt5_not_usable_ready_for_execution_or_block_design_no_selection
run335I_design_proxy_expected_and_mt5_runtime_probe_or_block_v1__proxy_mt5_design,335_overfit_guard__failure_memory_constrained_research_handoff,run335I_design_proxy_expected_and_mt5_runtime_probe_or_block_v1,experiment_execution,proxy_expected_mt5_runtime_probe_or_block_design,design_only_no_new_trading_kpi,completed_proxy_expected_mt5_runtime_probe_or_block_design_no_selection,proxy_mt5_execution_or_block_design_completed_no_goal_achieve,research_development_only_stage335I_proxy_mt5_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/335_overfit_guard__failure_memory_constrained_research_handoff/03_reviews/run335I_proxy_expected_mt5_runtime_probe_or_block_design.md,no_candidate_selected;proxy_mt5_not_usable_yet;goal_achieve_not_claimed.,stage335I_proxy_mt5_design_ready_for_materialization_no_selection
run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1__proxy_mt5_existing_runtime_comparison,335_overfit_guard__failure_memory_constrained_research_handoff,run335J_materialize_proxy_expected_values_and_mt5_runtime_probe_attempts_or_block_v1,kpi_evidence,proxy_mt5_existing_runtime_comparison,diagnostic_comparison_existing_runtime_evidence,completed_proxy_expected_and_existing_mt5_runtime_result_comparison_no_selection,proxy_mt5_comparison_completed_diagnostic_only_no_forward_decision,research_development_only_stage335J_proxy_mt5_existing_runtime_comparison_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/335_overfit_guard__failure_memory_constrained_research_handoff/03_reviews/run335J_proxy_mt5_existing_runtime_comparison.md,no_candidate_selected;diagnostic_usable_not_forward_usable;goal_achieve_not_claimed.,stage335J_proxy_mt5_existing_runtime_comparison_diagnostic_usable_not_forward_usable_no_selection
run335K_repair_independent_proxy_mt5_runtime_probe_materialization_v1__independent_proxy_mt5_runtime_probe,335_overfit_guard__failure_memory_constrained_research_handoff,run335K_repair_independent_proxy_mt5_runtime_probe_materialization_v1,runtime_parity,independent_proxy_signal_and_fresh_mt5_runtime_probe,diagnostic_runtime_signal_parity_existing_numeric_proxy_comparison,completed_independent_proxy_signal_and_mt5_runtime_probe_materialized_no_forward_decision,independent_runtime_probe_completed_signal_parity_diagnostic_only_no_forward_decision,research_development_only_stage335K_independent_proxy_mt5_probe_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/335_overfit_guard__failure_memory_constrained_research_handoff/03_reviews/run335K_independent_proxy_mt5_runtime_probe.md,no_candidate_selected;forward_usability_not_claimed;goal_achieve_not_claimed;next_action=run335L_independent_runtime_parity_and_proxy_usability_review_v1.,stage335K_independent_proxy_signal_mt5_runtime_probe_diagnostic_usable_not_forward_usable_no_selection
run335L_independent_runtime_parity_and_proxy_usability_review_v1__runtime_parity_proxy_usability,335_overfit_guard__failure_memory_constrained_research_handoff,run335L_independent_runtime_parity_and_proxy_usability_review_v1,runtime_parity_review,row_level_proxy_vs_fresh_mt5_runtime_and_numeric_proxy_usability,diagnostic_runtime_signal_parity_no_forward_decision,completed_independent_runtime_parity_and_proxy_usability_review_no_forward_decision,row_level_runtime_parity_confirmed_proxy_numeric_branch_specificity_insufficient_no_forward_decision,research_development_only_stage335L_runtime_parity_proxy_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/335_overfit_guard__failure_memory_constrained_research_handoff/03_reviews/run335L_independent_runtime_parity_proxy_usability_review.md,overlap_rows=30404;decision_mismatch_rows=0;numeric_proxy_not_branch_specific;goal_achieve_not_claimed.,stage335L_runtime_parity_usable_proxy_numeric_not_branch_specific_no_selection;next_action=run335M_branch_specific_runtime_metric_extraction_design_v1
